lapse,pooled_cv_selection_nll
0.0,1.626246999274991
0.01,1.3973532680328564
0.025,1.4451665754142897
0.05,1.500026946533882
0.1,1.6022823816096754
0.15,1.6926179117324152
0.2,1.775957540492865
0.3,1.9354672868975542
0.4,2.101493201889673
0.5,2.2702268775121954
0.55,2.359049805513224
0.6,2.4527926961953535
0.65,2.5513289792094134
0.7,2.6558797185854908
0.8,2.8833342944061213
