variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv
additive_prototype,additive,prototype,0.01,4.0,nan,0.025,0.0,0,0.05,1.292731434045483,0.3197627043979011,0.4,0.4,0.0,0.14617495350897294,0.9,0.27639673103514995,1.3326574797265744,0.3297728587316223,0.4,0.4,0.0,0.1510989110621625,0.9,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,1
base_exemplar,base,exemplar,0.01,0.5,0.0,0.05,0.0,1,0.1,1.2744055447713678,0.3245095587712593,0.3,0.3,0.0,0.1405820322440969,0.9,0.27639673103514995,1.5358806504178957,0.29782346030043244,0.4,0.4,0.0,0.19634239438179513,0.9,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0
base_prototype,base,prototype,0.01,0.5,nan,0.05,0.0,1,0.1,1.2744055447713678,0.3245095587712593,0.3,0.3,0.0,0.1405820322440969,0.9,0.27639673103514995,1.5093066831507849,0.29855054773291057,0.3,0.3,0.0,0.1824108090971666,0.9,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0
counterfactual_exemplar,counterfactual,exemplar,0.01,4.0,0.0,0.05,0.25,0,0.05,1.3404895602768403,0.34454922012934214,0.55,0.55,0.0,0.1490953152800432,0.85,0.27639673103514995,1.4829306861566849,0.3144037045735897,0.55,0.55,0.0,0.18545268441953996,0.8,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0
counterfactual_prototype,counterfactual,prototype,0.01,4.0,nan,0.05,0.25,0,0.05,1.3404895602768403,0.34454922012934214,0.55,0.55,0.0,0.1490953152800432,0.85,0.27639673103514995,1.4795583109978634,0.31604684860122767,0.55,0.55,0.0,0.18757972861313632,0.8,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0
additive_exemplar,additive,exemplar,0.01,4.0,24.0,0.025,0.0,0,0.05,1.8295845105335338,0.2332826508414844,0.25,0.25,0.0,0.3355842541450861,0.55,0.40971145188961994,1.8487560995254946,0.230919501729894,0.25,0.25,0.0,0.36201887431618895,0.55,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,0
additive_prototype,additive,prototype,0.01,0.0,nan,0.025,0.0,0,0.1,1.9617739923864825,0.20100120202325394,0.2,0.2,0.0,0.3137927769639931,0.65,0.40971145188961994,1.9617739923864825,0.20100120202325394,0.2,0.2,0.0,0.37123469178155744,0.65,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,0
base_exemplar,base,exemplar,0.01,2.0,0.0,0.025,0.0,0,0.1,1.4265498156529333,0.276783823002631,0.35,0.35,0.0,0.35179433107213776,0.65,0.40971145188961994,1.484168924645671,0.2644496880453838,0.3,0.3,0.0,0.4208125298637026,0.65,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,0
base_prototype,base,prototype,0.01,2.0,nan,0.025,0.0,0,0.1,1.4265498156529333,0.276783823002631,0.35,0.35,0.0,0.35179433107213776,0.65,0.40971145188961994,1.484168924645671,0.2644496880453838,0.3,0.3,0.0,0.4208125298637026,0.65,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,1
base_exemplar,base,exemplar,0.01,0.0,12.0,0.025,0.0,1,0.1,1.5159717525710639,0.26611097372255776,0.35,0.35,0.0,0.13591422227582775,0.9,0.21846499242653503,1.6065486746168927,0.248379602358056,0.3,0.3,0.0,0.14852203094817812,0.9,0.218464992426535,R_50DGG380VPVbOcp,none,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.025,0.0,1,0.0,1.5681424568707303,0.24704408197013344,0.3,0.3,0.0,0.15100375185822082,0.9,0.21846499242653503,1.5681424568707305,0.24704408197013344,0.3,0.3,0.0,0.17133607896336428,0.9,0.218464992426535,R_50DGG380VPVbOcp,none,20,1
