participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,weighted examples,observed per instance,0.0,,0.1,0.0,0.0,0,4,0.3988663226072733,0.2678531659085535,0.0655858111231002,1.0,1.8082506058422023,0.3988663226072733,0.2678531659085535,0.0655858111231002,1.0,1.8082506058422017,0
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.1,,,0,4,0.3487338060764932,0.5572191197557698,0.254686731908756,0.8,1.5269340193722536,0.3518962322875448,0.5572191197557698,0.2610115843308594,0.8,1.5269340193722538,1
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,,0.15,6.0,0.5,0,4,0.3101622678193557,0.5412381473655906,0.161562683004302,0.75,1.5320191200621491,0.3580650654560499,0.469879284402045,0.186009415314145,0.75,1.9510268938555653,0
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,1.0,0.0,,,1,4,0.3842342219710762,0.4866259203064784,0.2550943642486308,0.5,1.3579731917077145,0.3842342219710762,0.4866259203064783,0.2550943642486308,0.5,1.3579731917077138,1
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,,0.0,6.0,1.0,1,4,0.4696878862445889,0.2500151724276131,0.1893909449167908,0.4333333333333334,2.4675037754911804,0.4736596750412034,0.2426271777272499,0.1899465278096568,0.4333333333333333,2.524924575823193,0
R_5gkJQXcSCkjRBmu,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.25,,,0,4,0.2561373712330952,0.6295591511054808,0.1418338935716712,1.0,1.2842260753682422,0.2589255428540314,0.6295591511054809,0.1474102368135437,1.0,1.2842260753682422,0
R_5gkJQXcSCkjRBmu,diabetes,none,20,weighted examples,observed per instance,0.0,,0.1,6.0,0.0,0,4,0.2138008547345407,0.6577312831708382,0.0853329926399198,0.975,1.1999643937477364,0.2171177278488586,0.6577312831708384,0.0919667388685556,0.975,1.199964393747737,1
R_61hCu6g2tcWoJo7,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,0.15,,,0,4,0.2918233885782273,0.534253371233546,0.1179001483900006,1.0,1.5024029034779267,0.2937179925381591,0.534253371233546,0.1216893563098643,1.0,1.5024029034779267,1
R_61hCu6g2tcWoJo7,diabetes,attribution,20,weighted examples,observed per instance,1.0,,0.15,6.0,0.0,0,4,0.314698855248233,0.5404985076129485,0.1698962181094143,0.8833333333333332,1.4815786918174672,0.3211137026368194,0.5320428944997119,0.1742702997733505,0.9083333333333332,1.5337037447380184,0
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.0,0.15,,,0,4,0.2274610709670411,0.6914570157399734,0.1463791576740557,1.0,0.8972148537664598,0.2430452598534931,0.6727474870272345,0.1588380067342206,1.0,0.9257050481626332,1
