participant,xai,selected model family,testing cases,mean selection F1,mean amount MAE,mean direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,simulated boundary improvement,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1
R_156Kmlz4ECsrHQR,attribution,feature contribution,20,0.6,0.2234032042539388,0.4166666666666667,0.45,0.35,0.421630281814086,0.3695293580826137,-0.0143569356703149,0.0089559282689493,0.9205818370589,0.9507685236533844,0.75,0.75,0.5849339783502601,0.240957414582313
R_1Fh1UMJw1me9wFr,none,feature contribution,20,0.8583333333333332,0.1509722937544886,1.0,0.75,0.6,0.6638408662943901,0.5876538874829214,0.045095555764225,-0.0576938134862289,0.9404827779917,0.930015065216914,1.0,1.0,0.55580976624311,0.6900642071650658
R_1QfQiW4jahDRgtB,attribution,weighted examples,20,0.3,0.2411831801787302,0.8333333333333334,0.45,0.5,0.4273004105719848,0.4838151382161539,0.0088951909660395,0.0575311093991116,0.9485299032142,0.9493420679501772,1.0,1.0,0.2771912021905499,0.3221842397579197
R_1TZbMIIo6RtFnsb,attribution,feature contribution,20,0.875,0.1512633008898226,1.0,0.55,0.7,0.5479826032418258,0.6547049509930603,0.018005909610329,-0.0089967703303852,0.93934016107835,0.9350873460420658,1.0,1.0,0.60771887236664,0.5761944518502692
R_1WAqgPTkRSdmI9W,counterfactual,feature contribution,20,0.9583333333333331,0.114939730836807,0.95,0.85,0.8,0.8085433565259658,0.7563206270658842,-0.04474299899884,-0.0619511163012545,0.9209095735036,0.9181382956328354,0.25,0.2,0.7406346860096,0.7746562620132601
R_1hF6UnZQsvvwBCX,counterfactual,weighted examples,20,0.7249999999999999,0.1199362894072734,0.8842592592592592,0.7,0.7,0.5885855016641334,0.6714574135875199,0.059903692547995,0.0571055814759079,0.9509116395353,0.9453179620307052,1.0,1.0,0.3621775731113525,0.4370302418017454
R_1ihbKBZG0EAXF8D,counterfactual,feature contribution,20,0.75,0.1556686602931367,1.0,0.55,0.45,0.5452308441429966,0.4777968863871934,0.030592220334761,0.0474175029256517,0.93880241896785,0.946288578575144,1.0,1.0,0.47910472836855,0.4773655251394245
R_1myAGA2v3gStUIS,attribution,feature contribution,20,0.525,0.232715462547815,1.0,0.55,0.55,0.530826221440069,0.545740543055093,0.0055684327748614,-0.0330772786412513,0.9199573126471,0.932616262170944,0.8,1.0,0.73163349734655,0.6441894502866242
R_3ENoszlL5q7JglI,none,weighted examples,20,0.8916666666666666,0.2249812163281772,0.8375,0.95,0.7,0.9102752599962,0.67879059775468,-0.0482581007085349,-0.0075883625619475,0.9171115408537,0.9235643977344588,1.0,1.0,0.897849999470365,1.1082693191321824
R_3Qv0QTQ49yAIRot,attribution,feature contribution,20,0.4,0.168194349849985,1.0,0.55,0.65,0.5267191584124719,0.6067012839155238,0.0054516493142478,0.0011680667982728,0.94313979033475,0.9450914251449236,1.0,1.0,0.2908554693741,0.2722421570846369
R_5ASRudX4WuOaMDD,counterfactual,feature contribution,20,0.6416666666666666,0.2153436014385007,1.0,0.5,0.6,0.4867151013971433,0.5669458716385065,-0.011473944750275,0.0027268882796601,0.94873539592725,0.9394628507818727,1.0,1.0,0.51973018277537,0.5902431289687555
R_5L0xQQar3o8Bvr3,counterfactual,feature contribution,20,0.7583333333333333,0.2372413049661502,0.5294117647058824,0.35,0.45,0.3066877153545294,0.4058388997933993,-0.0076854426262574,0.0083686511167146,0.9431552136363,0.942051244797804,0.9,1.0,0.28131281515434,0.2926213264862112
R_5gkJQXcSCkjRBmu,none,weighted examples,20,0.7833333333333333,0.1303282642218921,0.9444444444444444,0.75,0.4,0.700782878107974,0.4800872676868785,0.02043589556543,0.0559790428813564,0.94044390689275,0.9374706159641306,1.0,1.0,0.74119082406725,0.7522409985459967
R_61hCu6g2tcWoJo7,attribution,feature contribution,20,0.6,0.2454460147875257,1.0,0.75,0.65,0.7101134291291451,0.6203984272036986,0.002278164012172,-0.0181952777471682,0.9289080375043,0.931035391927756,1.0,1.0,0.5911169079584051,0.537715026951032
R_6DD4Hjc7DAhjrhU,attribution,feature contribution,20,0.8,0.195085345764076,1.0,0.7,0.65,0.6785807751491812,0.6469267020699594,-0.0315080012434625,-0.0495427486941209,0.92657108194185,0.927830609079353,1.0,1.0,0.6639701800661749,0.6401198252317252
R_6I5GvkY1dba6Sm6,none,feature contribution,20,0.75,0.27026656127418,0.980392156862745,0.95,0.7,0.92233295064685,0.6903685582756997,-0.0842743456135845,-0.1214922380817597,0.90733327345675,0.9035799551533754,0.95,1.0,1.0423836847626995,1.1549724620397073
R_6KDvslaxG4W04I9,counterfactual,feature contribution,20,0.9083333333333332,0.3826197147407094,0.5263157894736842,0.5,0.75,0.5057773776340643,0.7354537617781103,-0.0238844517070389,-0.065497345375846,0.92976037033125,0.9203467244414634,1.0,1.0,0.6082668710484,0.5971193715686478
R_6upJU84Jtf3Faf5,none,weighted examples,20,0.7333333333333333,0.1540962911292017,1.0,0.4,0.35,0.4517751650266335,0.4221041692254544,0.051433592977982,0.0629358707934682,0.95074729516995,0.946840789308844,0.45,0.45,0.4063958750395199,0.6159743747131633
R_771uyV9h8uinmh3,attribution,feature contribution,20,0.6,0.2595530224358044,1.0,0.7,0.6,0.6520082764005145,0.5457414362057794,0.028565334073961,0.0179602966054265,0.9468004222278,0.945234714951592,1.0,1.0,0.3281760161405,0.3891958737557766
R_7DtIw0Gr58M4CAa,counterfactual,feature contribution,20,0.7333333333333332,0.211554697512105,0.5,0.5,0.65,0.4832388037287495,0.5021564878871232,-0.0712867129015144,0.0361715246076018,0.94382547545895,0.9505526221830332,1.0,1.0,0.4975655246689049,0.3586862702650649
R_7IXNpixLXSjItSq,none,feature contribution,20,0.325,0.2097449247219803,1.0,0.3,0.35,0.2776305040637021,0.3405172500334535,-0.009160366704504,-0.0252974944631745,0.9524411925198502,0.9461030044371432,0.85,0.95,0.241715028124955,0.2378526843177046
R_7PsMTUjq8Wa1btt,counterfactual,feature contribution,20,0.64,0.1400414044937474,1.0,0.6,0.65,0.5715269898448686,0.6301479486932042,0.0025037769109932,0.0485306988479074,0.9375542904559,0.944606134890852,0.65,1.0,0.520154395394355,0.4845980337952394
