variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv,locked_feature,fixed_cardinality
base_exemplar,base,exemplar,0.5,0.0,2.0,8.0,0.0,1,0.2,1.3467795268958733,0.27028822152956933,0.35,0.35,0.0,0.11722914289180016,0.95,0.3232026196576,1.6601028410447327,0.2144580800005802,0.25,0.25,0.0,0.1748324482907338,0.85,0.3232026196576,R_5CmrhV8y0KDd2Bn,attribution,20,0,glucose,1
base_prototype,base,prototype,0.5,0.0,nan,0.5,0.0,1,0.1,1.353567484476089,0.26860222318672833,0.4,0.4,0.0,0.12015037102462345,0.95,0.3232026196576,1.5073834957247332,0.2334258977530479,0.35,0.35,0.0,0.13330431145749844,0.95,0.3232026196576,R_5CmrhV8y0KDd2Bn,attribution,20,0,glucose,1
additive_exemplar,additive,exemplar,0.5,0.5,24.0,0.025,0.0,1,0.1,1.394973274684496,0.24790088974317856,0.15,0.15,0.0,0.16116438245960035,0.85,0.23123119522212,1.4019447887351038,0.2461470433971161,0.05,0.05,0.0,0.17147947638328093,0.85,0.23123119522212,R_5ESvZIgNxcvxeND,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.5,0.0,nan,0.025,0.0,1,0.1,1.3996515560675404,0.24670798827044438,0.05,0.05,0.0,0.12341514577688506,0.9,0.23123119522212,1.3996515560675404,0.24670798827044432,0.05,0.05,0.0,0.12341514577688506,0.9,0.23123119522212,R_5ESvZIgNxcvxeND,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.5,0.5,0.0,4.0,0.0,1,0.05,1.2166836478064238,0.31169944722695186,0.35,0.35,0.0,0.1345902174598048,0.9,0.23123119522212,1.2818209806131926,0.2956603643523595,0.35,0.35,0.0,0.13666978973716043,0.9,0.23123119522212,R_5ESvZIgNxcvxeND,attribution,20,0,glucose,1
base_prototype,base,prototype,0.5,0.5,nan,4.0,0.0,1,0.05,1.2166836478064238,0.31169944722695186,0.35,0.35,0.0,0.1345902174598048,0.9,0.23123119522212,1.272605964985091,0.2966921322270254,0.35,0.35,0.0,0.14196608264550764,0.9,0.23123119522212,R_5ESvZIgNxcvxeND,attribution,20,1,glucose,1
base_exemplar,base,exemplar,0.5,0.5,6.0,8.0,0.0,1,0.05,1.2888090184089636,0.2888801448624778,0.2,0.2,0.0,0.20878268374238548,0.7,0.27054530339474,1.4509607800099875,0.25880793863880747,0.25,0.25,0.0,0.2400893862768924,0.7,0.27054530339474,R_5q8160XAWyn72dP,none,20,0,glucose,1
base_prototype,base,prototype,0.5,0.25,nan,8.0,0.0,1,0.025,1.2939889778457285,0.28276152187163295,0.25,0.25,0.0,0.2223427033417252,0.7,0.27054530339474,1.4509607800099875,0.25880793863880747,0.25,0.25,0.0,0.2400893862768924,0.7,0.27054530339474,R_5q8160XAWyn72dP,none,20,1,glucose,1
additive_exemplar,additive,exemplar,0.5,0.0,0.0,0.5,0.0,1,0.1,1.3405639236590017,0.27571107275113227,0.3,0.3,0.0,0.10098341711133,0.95,0.31836251824322004,1.476233461877167,0.24062354596546598,0.3,0.3,0.0,0.10028294138656431,0.95,0.31836251824322,R_6Lp2YXeB5McOWhk,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.5,0.0,nan,0.5,0.0,1,0.1,1.3405639236590017,0.27571107275113227,0.3,0.3,0.0,0.10098341711133,0.95,0.31836251824322004,1.4434764611489843,0.24945209871788646,0.3,0.3,0.0,0.1058548049888753,0.95,0.31836251824322,R_6Lp2YXeB5McOWhk,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.5,0.5,6.0,4.0,0.0,1,0.1,1.2456594308688977,0.31381557373949065,0.45,0.45,0.0,0.13118681874980856,0.95,0.31836251824322004,1.337328054518729,0.29253354135361515,0.4,0.4,0.0,0.12870292573189568,0.95,0.31836251824322,R_6Lp2YXeB5McOWhk,counterfactual,20,0,glucose,1
base_prototype,base,prototype,0.5,0.5,nan,2.0,0.0,1,0.1,1.2547038663294914,0.3119323672126121,0.35,0.35,0.0,0.1422712703479911,0.95,0.31836251824322004,1.3025759973258673,0.2963436540304562,0.35,0.35,0.0,0.14924690090406822,0.95,0.31836251824322,R_6Lp2YXeB5McOWhk,counterfactual,20,0,glucose,1
counterfactual_exemplar,counterfactual,exemplar,0.5,0.0,0.0,2.0,0.0,1,0.05,1.1251402938985877,0.3573156641223816,0.55,0.55,0.0,0.20514678450722695,0.75,0.31836251824322004,1.1612061822312634,0.35084798478930673,0.55,0.55,0.0,0.20889067767215871,0.75,0.31836251824322,R_6Lp2YXeB5McOWhk,counterfactual,20,0,glucose,1
counterfactual_prototype,counterfactual,prototype,0.5,0.0,nan,2.0,0.0,1,0.05,1.1251402938985877,0.3573156641223816,0.55,0.55,0.0,0.20514678450722695,0.75,0.31836251824322004,1.1612061822312634,0.35084798478930673,0.55,0.55,0.0,0.20889067767215871,0.75,0.31836251824322,R_6Lp2YXeB5McOWhk,counterfactual,20,1,glucose,1
additive_exemplar,additive,exemplar,0.5,0.25,24.0,0.025,0.0,1,0.2,1.389336934791793,0.24931215494463435,0.2,0.2,0.0,0.2603663208752286,0.75,0.34255113303495,1.389682250374268,0.24922298804738582,0.15,0.15,0.0,0.27700041536841347,0.75,0.34255113303495,R_6RqEVVH9tSBi8ex,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.5,0.0,nan,0.025,0.0,1,0.1,1.4028913916565382,0.2458849853380555,0.0,0.0,0.0,0.2751013054810165,0.7,0.34255113303495,1.402891391656538,0.24588498533805545,0.0,0.0,0.0,0.3040285322301165,0.7,0.34255113303495,R_6RqEVVH9tSBi8ex,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.5,0.0,0.0,2.0,0.0,1,0.0,1.1892315993081088,0.3342615424470944,0.5,0.5,0.0,0.2463777477713538,0.7,0.34255113303495,1.2718905237764209,0.30388212290436856,0.25,0.25,0.0,0.24725952622983421,0.75,0.34255113303495,R_6RqEVVH9tSBi8ex,attribution,20,0,glucose,1
base_prototype,base,prototype,0.5,0.0,nan,2.0,0.0,1,0.0,1.1892315993081088,0.3342615424470944,0.5,0.5,0.0,0.2463777477713538,0.7,0.34255113303495,1.2327917658206027,0.3178515108778822,0.35,0.35,0.0,0.2438861711970754,0.7,0.34255113303495,R_6RqEVVH9tSBi8ex,attribution,20,1,glucose,1
base_exemplar,base,exemplar,0.5,4.0,0.0,2.0,0.0,1,0.025,1.1932675605581395,0.3461937214371393,0.45,0.45,0.0,0.16725084563789488,1.0,0.36064490949175,1.2101815340988353,0.33775500936615943,0.45,0.45,0.0,0.1872508456378949,1.0,0.36064490949175,R_6dgvDYKwNASMYJF,none,20,0,glucose,1
base_prototype,base,prototype,0.5,4.0,nan,2.0,0.0,1,0.025,1.1932675605581395,0.3461937214371393,0.45,0.45,0.0,0.16725084563789488,1.0,0.36064490949175,1.2101815340988353,0.33775500936615943,0.45,0.45,0.0,0.1872508456378949,1.0,0.36064490949175,R_6dgvDYKwNASMYJF,none,20,1,glucose,1
base_exemplar,base,exemplar,0.5,1.0,0.0,8.0,0.0,1,0.1,1.2803845863992884,0.2913499273320107,0.25,0.25,0.0,0.1761688790360157,0.7,0.28549641822610994,1.2851610767723034,0.29027855962203164,0.25,0.25,0.0,0.20268317169127514,0.7,0.28549641822611005,R_7fkaVj6Cj5a5aHy,none,20,0,glucose,1
base_prototype,base,prototype,0.5,1.0,nan,8.0,0.0,1,0.1,1.2803845863992884,0.2913499273320107,0.25,0.25,0.0,0.1761688790360157,0.7,0.28549641822610994,1.2803845863992886,0.2913499273320107,0.25,0.25,0.0,0.2053080131389331,0.7,0.28549641822611005,R_7fkaVj6Cj5a5aHy,none,20,1,glucose,1
base_exemplar,base,exemplar,0.5,0.5,0.0,8.0,0.0,1,0.0,1.3376400744532317,0.2781522021804514,0.15,0.15,0.0,0.2980721013168449,0.5,0.3477189251384001,1.4124282369532155,0.25801378568079175,0.15,0.15,0.0,0.32174679140024826,0.5,0.34771892513839997,R_7xvkPIyyZNbbKa5,none,20,0,glucose,1
base_prototype,base,prototype,0.5,0.5,nan,8.0,0.0,1,0.0,1.3376400744532317,0.2781522021804514,0.15,0.15,0.0,0.2980721013168449,0.5,0.3477189251384001,1.4124282369532155,0.25801378568079175,0.15,0.15,0.0,0.32174679140024826,0.5,0.34771892513839997,R_7xvkPIyyZNbbKa5,none,20,1,glucose,1
