participant,xai,mean_boundary_distance,median_boundary_distance,success_rate,mean_proximity,direction_rate,feature_change_prevalence_1,feature_change_prevalence_2,feature_change_prevalence_3,feature_change_prevalence_4,feature_change_prevalence_5,mean_signed_change_x1,mean_signed_change_x2,mean_signed_change_x3,mean_signed_change_x4,mean_signed_change_x5,PC1,PC2,PC3,kmeans_k2,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,agglomerative_k2
R_7IXNpixLXSjItSq,none,0.13203791230276,0.08966521787170001,0.3,0.241715028124955,0.6,0.1,0.15,0.35,0.3,0.15,0.04506036388365,-0.044565217391290005,0.032582694052635,0.0028477100309150017,0.04459459459459499,-0.44201586937704246,0.4797564873759155,2.859252983657482,1,1,2,2,6,2,4,1
R_7L78tZJ3cQDgpFH,counterfactual,0.3352399012387815,0.297419922985,0.1,1.5582995320753499,0.35,0.75,0.95,0.6,0.8,0.75,-0.013866689338475008,-0.09239130434779,0.22009816052132497,0.04784602416414998,-0.02567567567570499,-29.771844453156557,8.4642406385969,-9.472333210228376,2,2,4,3,3,3,6,2
R_7MBioYOD8gq6nT3,counterfactual,0.09565111355087999,0.05402833136905,0.2,0.20016968766148446,0.65,0.05,0.2,0.1,0.75,0.05,-0.021679986396850003,-0.04673913043475,-0.008042563721845,-0.11695125035118947,-0.00675675675675,-1.980561868078856,-2.2711716485795717,0.9452490470830328,1,3,2,2,6,2,4,1
R_7PsMTUjq8Wa1btt,counterfactual,0.12037376868734502,0.0914458868495,0.6,0.5201543953946001,0.9,0.65,0.7,0.45,0.25,0.35,0.01997959530699999,-0.08152173913039999,0.0879526519839,-0.03917167743749,-0.052702702702655,1.5311794815832682,-0.05973909122510204,0.5850553930054139,1,1,3,1,1,4,5,1
R_7QQowZQ43kZcCj7,counterfactual,0.07734927809822975,0.04462774524595,0.5,0.511297034303885,0.95,0.5,0.5,0.2,0.4,0.1,0.17216459785752253,0.007608695652180003,0.1194011383321,0.06756026973871002,-0.022972972972955,1.6443989037393143,4.205112130646594,0.42740902371933875,1,1,3,1,1,4,5,1
R_7Xi0pALCUOc3Fh1,attribution,0.1140676607002935,0.0626393414727,0.05,0.08767133457198249,0.75,0.4,0.45,0.0,0.1,0.05,-0.0263560618942425,-0.03695652173918,0.0,-0.0037638381567649997,-0.0081081081081,-2.3239146236177715,-0.7076947565123048,1.7670024649046894,1,3,2,2,6,2,4,1
R_7arfHhy57BRFG9z,none,0.11180026149061248,0.103640388022,0.3,0.23765903428274998,0.6,0.2,0.6,0.0,0.2,0.0,-0.06248937255570001,-0.1336956521738,0.0,-0.04147400955325,0.0,-2.9247462120392296,-2.8741842318644437,0.7684254709770583,1,3,1,2,6,2,4,1
R_7dLdPi0fchuvKbu,counterfactual,0.091574369155971,0.08781461389209999,0.5,0.38246911593370003,0.9,0.3,0.65,0.6,0.45,0.1,-0.009777248767249998,-0.054347826086899996,0.08619978553165,-0.01505507164932,-0.0013513513513499996,0.41624772945030264,0.3488003659090933,0.8092365487829476,1,1,3,2,1,2,5,1
R_7gJ0bylGgi6iHe1,counterfactual,0.10748976029538349,0.09922529584709999,0.4,0.34494698275085006,0.65,0.35,0.7,0.0,0.25,0.4,-0.08671994558754,-0.141304347826045,0.0,-0.04530106771565,-0.071621621621565,-3.106116817619587,-2.9224517111456154,0.7469929483963055,1,3,1,2,6,2,4,1
R_7ojrp9raD1YDwJj,none,0.10093423527958849,0.08313749710345,0.4,0.32977259027565,0.65,0.45,0.7,0.0,0.3,0.0,-0.12922972283625,-0.146739130434715,0.0,-0.053803737004749996,0.0,-2.679687702412601,-3.816441632788111,-0.2939559904074385,1,3,1,5,5,1,1,1
R_7xWlSJ5Zdqog9gt,none,0.23872968455759497,0.2127814709425,0.5,0.9527351838092499,0.75,0.7,1.0,0.65,0.8,0.0,-0.14240775378335,-0.41195652173905,-0.07300173224445501,-0.278239252599005,0.0,-1.065444208673469,-11.481127066249043,-3.871245811996972,1,3,1,5,5,1,1,1
