xai,participant_group,n_participants,mean_boundary,success_rate,mean_proximity,mean_sparsity,mean_n_features_changed,move_toward_target_rate,mean_helpful_shap,Glucose_change_prevalence,Blood Pressure_change_prevalence,Insulin_change_prevalence,BMI_change_prevalence,Age_change_prevalence,Glucose_mean_abs_change,Blood Pressure_mean_abs_change,Insulin_mean_abs_change,BMI_mean_abs_change,Age_mean_abs_change
attribution,top10,10,0.10403507948385152,0.475,0.37543576646166077,0.7160000000000001,1.42,0.835,0.4687242519800475,0.41,0.45499999999999996,0.16999999999999998,0.33999999999999997,0.045,0.11579663322563576,0.10913043478261948,0.0505341087189673,0.08713675189661149,0.01283783783783
attribution,rest,6,0.13808771817552112,0.6416666666666666,0.6028596600884992,0.5850000000000001,2.075,0.8083333333333332,0.6160615354907577,0.47500000000000003,0.5833333333333334,0.45,0.5,0.06666666666666667,0.16274159723401752,0.17192028985506333,0.11567200087985001,0.1349582045518533,0.01756756756755
counterfactual,top10,10,0.08765257336346267,0.4800000000000001,0.44409051249948295,0.575,2.1249999999999996,0.835,0.4721260665677227,0.515,0.49000000000000005,0.525,0.54,0.05500000000000001,0.14419316442784752,0.0849999999999775,0.10167656520664778,0.10376132340547047,0.0094594594594515
counterfactual,rest,17,0.15107718709032406,0.47058823529411764,0.5682224952759269,0.5700000000000001,2.1500000000000004,0.6970588235294117,0.4571528095459523,0.5235294117647059,0.4735294117647058,0.5,0.49705882352941183,0.15588235294117647,0.15527621352911264,0.13101023017901972,0.11399454609857618,0.1216775944994613,0.04626391096976676
none,top10,10,0.08881941646473687,0.5,0.4018913904332545,0.661,1.6949999999999998,0.8300000000000001,0.49474944563428186,0.445,0.34500000000000003,0.355,0.45999999999999996,0.09000000000000001,0.12064274783201201,0.07847826086953699,0.06680483378701249,0.11880338578253599,0.0171621621621465
none,rest,9,0.19121804027982797,0.6000000000000001,0.7122710573994833,0.5688888888888889,2.155555555555556,0.7944444444444445,0.5599658394732434,0.5833333333333334,0.45000000000000007,0.4833333333333333,0.5944444444444444,0.044444444444444446,0.21670539779704778,0.132004830917885,0.14609328457385168,0.20230237894538558,0.01516516516515611
