instance id,original label,target label,n_rows,n_participants,mean_boundary,median_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_sparsity,mean_n_features_changed,move_toward_target_rate,mean_helpful_shap,Glucose_change_prevalence,Glucose_mean_abs_change,Glucose_mean_signed_change,Blood Pressure_change_prevalence,Blood Pressure_mean_abs_change,Blood Pressure_mean_signed_change,Insulin_change_prevalence,Insulin_mean_abs_change,Insulin_mean_signed_change,BMI_change_prevalence,BMI_mean_abs_change,BMI_mean_signed_change,Age_change_prevalence,Age_mean_abs_change,Age_mean_signed_change,original_Glucose_norm,original_Blood Pressure_norm,original_Insulin_norm,original_BMI_norm,original_Age_norm,easy_rank
160218,No Diabetes,Diabetes,62,62,0.08813268265635714,0.0710283615512,0.08182222369119997,-0.006310458965157161,0.5161290322580645,0.3850183480357603,0.6548387096774192,1.7258064516129032,0.7258064516129032,0.4489151621101217,0.41935483870967744,0.10813116048949517,-0.06534712661333063,0.3225806451612903,0.06416549789618065,-0.023492286115019353,0.45161290322580644,0.09705624871941773,0.050290969178824196,0.4838709677419355,0.10215192741717484,0.0729413844049684,0.04838709677419355,0.013513513513501614,-0.013513513513501614,0.676245536473,0.565217391304,0.3237647447,0.312587805563,0.486486486486,1
160217,No Diabetes,Diabetes,62,62,0.0922639201574384,0.0740965137763,0.030760691058000007,-0.06150322909943838,0.2903225806451613,0.49288455062701286,0.632258064516129,1.8387096774193548,0.4838709677419355,0.2746687098995442,0.5,0.13767682696052902,0.11765609315948065,0.3225806451612903,0.06942496493687096,0.009817671809248385,0.43548387096774194,0.14335587113801448,0.1420919446639435,0.5,0.11670761993679837,-0.040425953285379033,0.08064516129032258,0.025719267654725805,0.025719267654725805,0.319163407584,0.434782608696,0.119607357915,0.481174487216,0.135135135135,2
160200,Diabetes,No Diabetes,62,62,0.09420452673149951,0.070352003463,0.0980127823706,0.0038082556391004856,0.6451612903225806,0.4849710898601,0.5838709677419354,2.0806451612903225,0.9516129032258065,0.6373443277122228,0.7741935483870968,0.23517505800527583,-0.21296027118495325,0.5161290322580645,0.11220196353435,-0.0862552594670274,0.27419354838709675,0.03835019012115323,0.014002974883785487,0.45161290322580644,0.08616628447650646,-0.05837585766217742,0.06451612903225806,0.01307759372274516,0.0017436791630322573,0.676245536473,0.521739130435,0.18559762435,0.382832256252,0.432432432432,3
160219,No Diabetes,Diabetes,62,62,0.09468298000593559,0.0858376106076,0.038863565943000014,-0.05581941406293555,0.3064516129032258,0.4994852515444823,0.5870967741935483,2.064516129032258,0.5645161290322581,0.2995329676097874,0.5161290322580645,0.13240287201544032,-0.006793336660924197,0.46774193548387094,0.11430575035065645,0.08204768583454031,0.4838709677419355,0.09838669763951774,0.07477122930819194,0.4838709677419355,0.11864450869685161,0.09257955750545806,0.11290322580645161,0.03574542284217903,0.03400174367914355,0.548716204727,0.347826086957,0.214468365916,0.288002247822,0.135135135135,4
160216,No Diabetes,Diabetes,62,62,0.10064197515384257,0.06809790922549999,0.03482127876700001,-0.06582069638684257,0.5645161290322581,0.4471231818196081,0.6258064516129032,1.8709677419354838,0.8387096774193549,0.5584944318459599,0.46774193548387094,0.11875311966917419,-0.05677112187414195,0.45161290322580644,0.10448807854137257,0.09116409537166935,0.4838709677419355,0.10839832576310483,0.10101433425669516,0.43548387096774194,0.1063293422399903,-0.038698891497112906,0.03225806451612903,0.009154315605919354,0.009154315605919354,0.650739670124,0.304347826087,0.173224449394,0.530345602697,0.189189189189,5
160215,No Diabetes,Diabetes,62,62,0.10122950155586695,0.08308154025985001,0.060676791196499984,-0.04055271035936694,0.41935483870967744,0.48512493959518543,0.6129032258064515,1.935483870967742,0.5483870967741935,0.3698956072859825,0.532258064516129,0.1282890226042645,0.09221330583452901,0.3709677419354839,0.10203366058904838,0.09081346423559676,0.5483870967741935,0.1464132427563613,0.14129101441407743,0.41935483870967744,0.0992346980394742,-0.01720295661149355,0.06451612903225806,0.009154315605922581,0.0039232781168258065,0.361673184833,0.260869565217,0.144353707828,0.470637819612,0.162162162162,6
160211,Diabetes,No Diabetes,62,62,0.10175278793527905,0.0775711113584,0.07471707231859999,-0.027035715616679033,0.532258064516129,0.6174055415382467,0.5451612903225806,2.274193548387097,0.8548387096774194,0.5108000218229038,0.6612903225806451,0.1770326529940468,-0.15564063605595,0.6451612903225806,0.18969144460029516,-0.17636746143058546,0.2903225806451613,0.04017689648842903,0.013035738518877418,0.6290322580645161,0.19568327456944357,-0.17727288382899195,0.04838709677419355,0.014821272885774193,0.0008718395815161289,0.599727937426,0.695652173913,0.193846407655,0.614638943523,0.513513513514,7
160213,Diabetes,No Diabetes,62,62,0.10625377273805355,0.0890795951385,0.09291709293750001,-0.013336679800553544,0.6290322580645161,0.5867942901271774,0.6225806451612901,1.8870967741935485,0.8225806451612904,0.5931053268032604,0.2903225806451613,0.05869091826602983,-0.009324725331973385,0.8064516129032258,0.3422159887798064,-0.33800841514725805,0.24193548387096775,0.0427712718825629,0.01669447304908871,0.5161290322580645,0.1296025976850387,-0.09576045282736774,0.03225806451612903,0.013513513513499999,0.0021795989537903232,0.361673184833,0.869565217391,0.224779345047,0.495223377353,0.513513513514,8
160214,Diabetes,No Diabetes,62,62,0.11246800749118212,0.0909241077131,0.050171796815599995,-0.06229621067558209,0.7741935483870968,0.3207396134193226,0.629032258064516,1.8548387096774193,0.9193548387096774,0.7460122762365476,0.27419354838709675,0.03647613144573144,0.0046623626660201615,0.5806451612903226,0.1328892005610081,-0.12798036465639517,0.4838709677419355,0.059271499389309035,-0.028804219119602587,0.3709677419354839,0.06289615604240968,-0.04119687480176452,0.14516129032258066,0.02920662598079516,-0.02920662598079516,0.251147763986,0.565217391304,0.247463499134,0.33366114077,0.540540540541,9
160210,Diabetes,No Diabetes,62,62,0.1187173820860016,0.0895380310355,0.0664632820126,-0.05225410007340161,0.5,0.5336450958086918,0.5870967741935482,2.064516129032258,0.7258064516129032,0.5140013165043279,0.16129032258064516,0.045115215209190325,0.03798454289649677,0.46774193548387094,0.11395511921455809,-0.09572230014021614,0.532258064516129,0.10037971012179193,-0.0476327322365629,0.8225806451612904,0.25893785858677093,-0.24586187675063545,0.08064516129032258,0.015257192676535485,-0.0021795989537935494,0.217139942187,0.565217391304,0.369133052875,0.66732228154,0.594594594595,10
