model family,model family label,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,mean change (high - low)
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),-0.041610320874173545
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,0.007754404094955314
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,0.05238095238095236
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,0.0587567228711367
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,actionability,Actionability rate,-0.17222222222222217
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,boundary improvement,Boundary-distance improvement,-0.0697817587973935
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,edit L1,Normalized edit distance (L1),0.8385121257218967
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,plausibility,Plausibility,-0.07209378556100321
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,success,Counterfactual success rate,0.7055555555555556
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,target confidence gain,Target-confidence gain,0.6762131023834762
feature contribution,Feature-contribution family,none,No XAI,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,-0.6547619047619048
feature contribution,Feature-contribution family,none,No XAI,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,0.05527875227466997
feature contribution,Feature-contribution family,none,No XAI,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),-0.03843533712395053
feature contribution,Feature-contribution family,none,No XAI,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,0.006117612381794535
feature contribution,Feature-contribution family,none,No XAI,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,-0.045238095238095244
feature contribution,Feature-contribution family,none,No XAI,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,-0.05444746599731415
feature contribution,Feature-contribution family,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,-0.04999999999999993
feature contribution,Feature-contribution family,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,-0.025073309685239614
feature contribution,Feature-contribution family,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),-0.08253257771630412
feature contribution,Feature-contribution family,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,-0.008547996128961732
feature contribution,Feature-contribution family,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,-0.03214285714285714
feature contribution,Feature-contribution family,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,-0.021484517423968785
feature contribution,Feature-contribution family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,actionability,Actionability rate,-0.3583333333333333
feature contribution,Feature-contribution family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,boundary improvement,Boundary-distance improvement,-0.058771331697546295
feature contribution,Feature-contribution family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,edit L1,Normalized edit distance (L1),0.8296908674303491
feature contribution,Feature-contribution family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,plausibility,Plausibility,-0.07461135802277818
feature contribution,Feature-contribution family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,success,Counterfactual success rate,0.6333333333333333
feature contribution,Feature-contribution family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,target confidence gain,Target-confidence gain,0.5884993059608287
weighted examples,Weighted-example family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,-0.6103174603174604
weighted examples,Weighted-example family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,0.001159265294453305
weighted examples,Weighted-example family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),0.11030095839164133
weighted examples,Weighted-example family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,-0.0032846310641587717
weighted examples,Weighted-example family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,0.03888888888888886
weighted examples,Weighted-example family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,0.02214279352769949
weighted examples,Weighted-example family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,actionability,Actionability rate,-0.0011904761904761862
weighted examples,Weighted-example family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,boundary improvement,Boundary-distance improvement,-0.004877252985169701
weighted examples,Weighted-example family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),-0.01642418371024268
weighted examples,Weighted-example family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,0.0012684153588740088
weighted examples,Weighted-example family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,-0.044047619047619
weighted examples,Weighted-example family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,-0.0406217598752715
weighted examples,Weighted-example family,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,0.04761904761904756
weighted examples,Weighted-example family,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,-0.0035666309914488235
weighted examples,Weighted-example family,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),-0.041263881621070087
weighted examples,Weighted-example family,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,0.002510675658982109
weighted examples,Weighted-example family,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,-0.09642857142857142
weighted examples,Weighted-example family,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,-0.07507009668269427
weighted examples,Weighted-example family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,actionability,Actionability rate,-0.09999999999999998
weighted examples,Weighted-example family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,boundary improvement,Boundary-distance improvement,-0.10471739046527725
weighted examples,Weighted-example family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,edit L1,Normalized edit distance (L1),1.043406613720865
weighted examples,Weighted-example family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,plausibility,Plausibility,-0.05989912259631458
