model family,model family label,xai,xai label,parameter,parameter label,parameter value,metric,metric label,factorial case-evaluations,mean,10th percentile,90th percentile
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,plausibility,Plausibility,840,0.9455185021253052,0.8934635734178595,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,success,Counterfactual success rate,840,0.37023809523809526,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,target confidence gain,Target-confidence gain,840,0.35015849315903746,-1.880527463209436e-05,0.9854774533498315
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.5,actionability,Actionability rate,840,0.8690476190476191,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.5,boundary improvement,Boundary-distance improvement,840,-0.0066792479960395305,-0.15882638438907531,0.12469814215519784
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.5,edit L1,Normalized edit distance (L1),840,0.36268558506918247,0.0,0.864715895625715
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.5,plausibility,Plausibility,840,0.9487729076191599,0.9041375009019937,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.5,success,Counterfactual success rate,840,0.3464285714285714,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.5,target confidence gain,Target-confidence gain,840,0.33296139543988496,-1.879736356293904e-05,0.9858764538629363
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),1.0,actionability,Actionability rate,840,0.9714285714285714,1.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),1.0,boundary improvement,Boundary-distance improvement,840,-0.005669248152235888,-0.1492488070172899,0.11354214846675591
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),1.0,edit L1,Normalized edit distance (L1),840,0.3085572598504762,0.0,0.7847863916103147
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),1.0,plausibility,Plausibility,840,0.9528937890503547,0.9090323993711725,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),1.0,success,Counterfactual success rate,840,0.3238095238095238,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),1.0,target confidence gain,Target-confidence gain,840,0.3134067074571292,-1.8015880019495165e-05,0.9906671544195136
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,actionability,Actionability rate,360,0.9555555555555556,1.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,boundary improvement,Boundary-distance improvement,360,0.0002525601703117821,-7.359399017353823e-06,0.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,edit L1,Normalized edit distance (L1),360,0.02177120418861263,0.0,0.07781575778861238
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,plausibility,Plausibility,360,0.9803117186012824,0.9339384191212899,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,success,Counterfactual success rate,360,0.008333333333333333,0.0,0.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,target confidence gain,Target-confidence gain,360,0.012563948081323578,0.0,0.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.2,actionability,Actionability rate,360,0.9166666666666666,1.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.2,boundary improvement,Boundary-distance improvement,360,0.008054393290487523,-0.004455924154659516,0.03714153772733564
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.2,edit L1,Normalized edit distance (L1),360,0.05567121116273212,0.0,0.20332480018792762
