xai,n_rows,n_participants,mean_boundary,mean_success,mean_target_helpful_shap_delta,sd_target_helpful_shap_delta,mean_abs_total_shap_delta,mean_boundary_improvement
none,380,19,0.1373240277455695,0.5473684210526316,0.5256414216632637,0.45467145282005894,0.5325975311880727,-0.01444648214722951
attribution,320,16,0.11680481899322762,0.5375,0.5239757332965639,0.45360042519970634,0.5297245641674406,0.0060727266051123895
counterfactual,540,27,0.12758658941370873,0.4740740740740741,0.4626984602947562,0.45765029880901764,0.47009273101212057,-0.004709043815368732
