instance id,comparison,outcome,cf_mean,other_mean,raw_difference,beneficial_difference,cohens_d_raw,n_cf,n_none,n_attribution
160206,counterfactual - attribution,boundary,0.20190322988160372,0.2686707917165625,-0.06676756183495877,0.06676756183495877,-0.42484846350002786,27,,16.0
160214,counterfactual - none,boundary,0.09442593774994851,0.14724928236625473,-0.05282334461630622,0.05282334461630622,-0.576217821244574,27,19.0,
160210,counterfactual - none,boundary,0.11483401495582667,0.15291446690403157,-0.038080451948204905,0.038080451948204905,-0.34577855889508524,27,19.0,
160216,counterfactual - none,boundary,0.09869900425579628,0.13250717623845001,-0.033808171982653734,0.033808171982653734,-0.32919294355861517,27,19.0,
160200,counterfactual - none,boundary,0.08660198525536629,0.11712488713590946,-0.03052290188054317,0.03052290188054317,-0.2931127170361235,27,19.0,
160206,counterfactual - none,boundary,0.20190322988160372,0.22318797119440528,-0.02128474131280156,0.02128474131280156,-0.12471751233067148,27,19.0,
160203,counterfactual - none,boundary,0.13425443232693685,0.15525940567681212,-0.021004973349875278,0.021004973349875278,-0.19367675591055863,27,19.0,
160204,counterfactual - none,boundary,0.1295728828983037,0.15047390037682104,-0.02090101747851733,0.02090101747851733,-0.23802263053328876,27,19.0,
160202,counterfactual - none,boundary,0.11659226260184816,0.1366408821442989,-0.02004861954245074,0.02004861954245074,-0.1825504245147796,27,19.0,
160213,counterfactual - none,boundary,0.10431550203703963,0.11880840852884998,-0.014492906491810356,0.014492906491810356,-0.13869692506529507,27,19.0,
160205,counterfactual - none,boundary,0.18018311044262839,0.19423371264102635,-0.01405060219839796,0.01405060219839796,-0.09218830989779987,27,19.0,
160209,counterfactual - none,boundary,0.16888862513395628,0.17824434636167896,-0.009355721227722685,0.009355721227722685,-0.07254596000310627,27,19.0,
160217,counterfactual - none,boundary,0.09578254194702704,0.10399206622864632,-0.00820952428161928,0.00820952428161928,-0.10478867095264784,27,19.0,
160214,counterfactual - attribution,boundary,0.09442593774994851,0.101611236265365,-0.007185298515416494,0.007185298515416494,-0.10917279071913065,27,,16.0
160205,counterfactual - attribution,boundary,0.18018311044262839,0.1862904284613544,-0.006107318018726021,0.006107318018726021,-0.04083214906761992,27,,16.0
160215,counterfactual - none,boundary,0.09930933782441297,0.10473591461796315,-0.005426576793550186,0.005426576793550186,-0.07884105595773494,27,19.0,
160207,counterfactual - none,boundary,0.1627961056957874,0.1679045030621343,-0.005108397366346912,0.005108397366346912,-0.04056150682839825,27,19.0,
160202,counterfactual - attribution,boundary,0.11659226260184816,0.1197614936570375,-0.0031692310551893477,0.0031692310551893477,-0.03300222143901657,27,,16.0
160219,counterfactual - none,boundary,0.0996435554711246,0.1025194938424,-0.002875938371275394,0.002875938371275394,-0.04167052532334082,27,19.0,
160215,counterfactual - attribution,boundary,0.09930933782441297,0.10030591234145625,-0.0009965745170432833,0.0009965745170432833,-0.013817206828396173,27,,16.0
160208,counterfactual - attribution,boundary,0.1456510007323748,0.14655492435928186,-0.000903923626907055,0.000903923626907055,-0.007186109862423446,27,,16.0
160207,counterfactual - attribution,boundary,0.1627961056957874,0.16256336103811037,0.0002327446576770309,-0.0002327446576770309,0.002479780974281749,27,,16.0
160204,counterfactual - attribution,boundary,0.1295728828983037,0.12871856732992687,0.00085431556837684,-0.00085431556837684,0.01011412998659512,27,,16.0
160218,counterfactual - attribution,boundary,0.09470843300749705,0.09094864792525251,0.003759785082244546,-0.003759785082244546,0.0528126131729907,27,,16.0
160209,counterfactual - attribution,boundary,0.16888862513395628,0.1633679157580625,0.005520709375893773,-0.005520709375893773,0.04792205494539126,27,,16.0
160200,counterfactual - attribution,boundary,0.08660198525536629,0.0798158874922375,0.006786097763128787,-0.006786097763128787,0.07759803376070522,27,,16.0
160212,counterfactual - none,boundary,0.14487451588134814,0.13685901622254576,0.008015499658802383,-0.008015499658802383,0.058181682378691264,27,19.0,
160213,counterfactual - attribution,boundary,0.10431550203703963,0.09461597454444375,0.00969952749259588,-0.00969952749259588,0.10641384543884885,27,,16.0
160203,counterfactual - attribution,boundary,0.13425443232693685,0.12239428143160001,0.011860150895336832,-0.011860150895336832,0.1363376196717458,27,,16.0
160218,counterfactual - none,boundary,0.09470843300749705,0.07641685614145706,0.018291576866039994,-0.018291576866039994,0.22406088752285355,27,19.0,
160208,counterfactual - none,boundary,0.1456510007323748,0.12575252936060105,0.01989847137177375,-0.01989847137177375,0.16044059062823932,27,19.0,
160219,counterfactual - attribution,boundary,0.0996435554711246,0.0770061487276275,0.02263740674349711,-0.02263740674349711,0.33905213162368514,27,,16.0
160211,counterfactual - none,boundary,0.11770404302705886,0.09452309144820054,0.023180951578858328,-0.023180951578858328,0.24094435774744033,27,19.0,
160217,counterfactual - attribution,boundary,0.09578254194702704,0.07239907242794813,0.02338346951907891,-0.02338346951907891,0.3339623975258135,27,,16.0
160210,counterfactual - attribution,boundary,0.11483401495582667,0.08466152589676125,0.030172489059065416,-0.030172489059065416,0.29685042030054715,27,,16.0
160216,counterfactual - attribution,boundary,0.09869900425579628,0.06608081225632438,0.0326181919994719,-0.0326181919994719,0.48220356884959553,27,,16.0
160201,counterfactual - none,boundary,0.16099126714828926,0.1271326444189037,0.03385862272938556,-0.03385862272938556,0.2622424104873963,27,19.0,
160211,counterfactual - attribution,boundary,0.11770404302705886,0.08342030954630625,0.034283733480752615,-0.034283733480752615,0.3846078825163112,27,,16.0
160201,counterfactual - attribution,boundary,0.16099126714828926,0.1061675808322,0.05482368631608926,-0.05482368631608926,0.452784397246483,27,,16.0
160212,counterfactual - attribution,boundary,0.14487451588134814,0.08074150785669376,0.06413300802465438,-0.06413300802465438,0.5747756493215039,27,,16.0
160206,counterfactual - attribution,boundary_improvement,0.35704316801139635,0.29027560617643755,0.0667675618349588,0.0667675618349588,0.42484846350002803,27,,16.0
160214,counterfactual - none,boundary_improvement,-0.04425414093434852,-0.09707748555065474,0.052823344616306216,0.052823344616306216,0.576217821244574,27,19.0,
160210,counterfactual - none,boundary_improvement,-0.04837073294322666,-0.0864511848914316,0.03808045194820493,0.03808045194820493,0.34577855889508546,27,19.0,
160216,counterfactual - none,boundary_improvement,-0.0638777254887963,-0.09768589747145,0.03380817198265369,0.03380817198265369,0.32919294355861484,27,19.0,
160200,counterfactual - none,boundary_improvement,0.011410797115233703,-0.01911210476530947,0.03052290188054317,0.03052290188054317,0.2931127170361235,27,19.0,
160206,counterfactual - none,boundary_improvement,0.35704316801139635,0.3357584266985948,0.02128474131280156,0.02128474131280156,0.12471751233067148,27,19.0,
160203,counterfactual - none,boundary_improvement,-0.07370249936283686,-0.0947074727127121,0.021004973349875236,0.021004973349875236,0.19367675591055825,27,19.0,
160204,counterfactual - none,boundary_improvement,-0.08999083375750372,-0.11089185123602106,0.020901017478517345,0.020901017478517345,0.23802263053328887,27,19.0,
160202,counterfactual - none,boundary_improvement,-0.05961961411874815,-0.07966823366119889,0.02004861954245074,0.02004861954245074,0.1825504245147796,27,19.0,
160213,counterfactual - none,boundary_improvement,-0.011398409099539628,-0.025891315591350005,0.014492906491810377,0.014492906491810377,0.13869692506529527,27,19.0,
160205,counterfactual - none,boundary_improvement,0.10425200837137165,0.09020140617297372,0.014050602198397932,0.014050602198397932,0.09218830989779969,27,19.0,
160209,counterfactual - none,boundary_improvement,0.0463312460120437,0.03697552478432104,0.009355721227722658,0.009355721227722658,0.07254596000310608,27,19.0,
160217,counterfactual - none,boundary_improvement,-0.06502185088902704,-0.07323137517064632,0.00820952428161928,0.00820952428161928,0.10478867095264784,27,19.0,
160214,counterfactual - attribution,boundary_improvement,-0.04425414093434852,-0.05143943944976499,0.007185298515416473,0.007185298515416473,0.10917279071913034,27,,16.0
160205,counterfactual - attribution,boundary_improvement,0.10425200837137165,0.09814469035264564,0.006107318018726007,0.006107318018726007,0.040832149067619825,27,,16.0
160215,counterfactual - none,boundary_improvement,-0.038632546627912975,-0.04405912342146316,0.005426576793550186,0.005426576793550186,0.07884105595773493,27,19.0,
160207,counterfactual - none,boundary_improvement,0.04133916952721261,0.0362307721608657,0.005108397366346912,0.005108397366346912,0.04056150682839825,27,19.0,
160202,counterfactual - attribution,boundary_improvement,-0.05961961411874815,-0.06278884517393751,0.0031692310551893615,0.0031692310551893615,0.03300222143901672,27,,16.0
160219,counterfactual - none,boundary_improvement,-0.060779989528124634,-0.06365592789940001,0.00287593837127538,0.00287593837127538,0.04167052532334062,27,19.0,
160215,counterfactual - attribution,boundary_improvement,-0.038632546627912975,-0.03962912114495626,0.0009965745170432833,0.0009965745170432833,0.013817206828396171,27,,16.0
160208,counterfactual - attribution,boundary_improvement,-0.055563920230674815,-0.05646784385758187,0.000903923626907055,0.000903923626907055,0.007186109862423446,27,,16.0
160207,counterfactual - attribution,boundary_improvement,0.04133916952721261,0.04157191418488963,-0.00023274465767702396,-0.00023274465767702396,-0.0024797809742816753,27,,16.0
160204,counterfactual - attribution,boundary_improvement,-0.08999083375750372,-0.08913651818912688,-0.00085431556837684,-0.00085431556837684,-0.01011412998659512,27,,16.0
160218,counterfactual - attribution,boundary_improvement,-0.012886209316297038,-0.0091264242340525,-0.0037597850822445374,-0.0037597850822445374,-0.05281261317299058,27,,16.0
160209,counterfactual - attribution,boundary_improvement,0.0463312460120437,0.05185195538793749,-0.005520709375893794,-0.005520709375893794,-0.04792205494539144,27,,16.0
160200,counterfactual - attribution,boundary_improvement,0.011410797115233703,0.0181968948783625,-0.006786097763128796,-0.006786097763128796,-0.07759803376070531,27,,16.0
160212,counterfactual - none,boundary_improvement,-0.10762267265984814,-0.09960717300104578,-0.008015499658802355,-0.008015499658802355,-0.05818168237869106,27,19.0,
160213,counterfactual - attribution,boundary_improvement,-0.011398409099539628,-0.0016988816069437498,-0.009699527492595878,-0.009699527492595878,-0.10641384543884884,27,,16.0
160203,counterfactual - attribution,boundary_improvement,-0.07370249936283686,-0.0618423484675,-0.01186015089533686,-0.01186015089533686,-0.1363376196717461,27,,16.0
160218,counterfactual - none,boundary_improvement,-0.012886209316297038,0.005405367549742946,-0.018291576866039983,-0.018291576866039983,-0.22406088752285339,27,19.0,
160208,counterfactual - none,boundary_improvement,-0.055563920230674815,-0.03566544885890106,-0.01989847137177376,-0.01989847137177376,-0.16044059062823937,27,19.0,
160219,counterfactual - attribution,boundary_improvement,-0.060779989528124634,-0.038142582784627496,-0.022637406743497138,-0.022637406743497138,-0.3390521316236855,27,,16.0
160211,counterfactual - none,boundary_improvement,-0.04298697070845889,-0.01980601912960052,-0.02318095157885837,-0.02318095157885837,-0.2409443577474408,27,19.0,
160217,counterfactual - attribution,boundary_improvement,-0.06502185088902704,-0.04163838136994813,-0.02338346951907891,-0.02338346951907891,-0.3339623975258135,27,,16.0
160210,counterfactual - attribution,boundary_improvement,-0.04837073294322666,-0.018198243884161244,-0.03017248905906542,-0.03017248905906542,-0.2968504203005472,27,,16.0
160216,counterfactual - attribution,boundary_improvement,-0.0638777254887963,-0.03125953348932437,-0.032618191999471934,-0.032618191999471934,-0.48220356884959603,27,,16.0
160201,counterfactual - none,boundary_improvement,0.12015085032071073,0.1540094730500963,-0.03385862272938557,-0.03385862272938557,-0.2622424104873964,27,19.0,
160211,counterfactual - attribution,boundary_improvement,-0.04298697070845889,-0.008703237227706249,-0.03428373348075264,-0.03428373348075264,-0.3846078825163115,27,,16.0
160201,counterfactual - attribution,boundary_improvement,0.12015085032071073,0.17497453663679996,-0.054823686316089235,-0.054823686316089235,-0.4527843972464828,27,,16.0
160212,counterfactual - attribution,boundary_improvement,-0.10762267265984814,-0.043489664635193756,-0.06413300802465438,-0.06413300802465438,-0.5747756493215039,27,,16.0
160210,counterfactual - attribution,target_helpful_shap_delta,0.5278888232126197,0.43289906483876756,0.0949897583738521,0.0949897583738521,0.2228030745868551,27,,16.0
160216,counterfactual - attribution,target_helpful_shap_delta,0.551010109237451,0.47176854400803925,0.07924156522941173,0.07924156522941173,0.18377031587153123,27,,16.0
160215,counterfactual - attribution,target_helpful_shap_delta,0.3960135083599293,0.317396326445193,0.07861718191473632,0.07861718191473632,0.17314501547631492,27,,16.0
160207,counterfactual - attribution,target_helpful_shap_delta,0.4728933123214946,0.3945365807447442,0.07835673157675044,0.07835673157675044,0.16307511840125233,27,,16.0
160206,counterfactual - attribution,target_helpful_shap_delta,0.13780288011939293,0.07003495212614468,0.06776792799324825,0.06776792799324825,0.22914598810332337,27,,16.0
160200,counterfactual - none,target_helpful_shap_delta,0.6226237930909018,0.562676229770384,0.05994756332051776,0.05994756332051776,0.14503188432536104,27,19.0,
160215,counterfactual - none,target_helpful_shap_delta,0.3960135083599293,0.37699061594156463,0.01902289241836469,0.01902289241836469,0.040136456060684556,27,19.0,
160219,counterfactual - attribution,target_helpful_shap_delta,0.26175175473641366,0.254652408543146,0.0070993461932676305,0.0070993461932676305,0.01834373009887143,27,,16.0
160207,counterfactual - none,target_helpful_shap_delta,0.4728933123214946,0.4667621825306057,0.006131129790888923,0.006131129790888923,0.012721080301666986,27,19.0,
160214,counterfactual - none,target_helpful_shap_delta,0.701976605135791,0.7009411464448285,0.001035458690962443,0.001035458690962443,0.0023887234120632005,27,19.0,
160211,counterfactual - none,target_helpful_shap_delta,0.4945947780586398,0.5011030457435901,-0.006508267684950331,-0.006508267684950331,-0.01428958266906208,27,19.0,
160209,counterfactual - none,target_helpful_shap_delta,0.42572359209152894,0.43937511760024334,-0.013651525508714402,-0.013651525508714402,-0.02939866088156746,27,19.0,
160208,counterfactual - none,target_helpful_shap_delta,0.254473493490842,0.2743251987567181,-0.01985170526587615,-0.01985170526587615,-0.05193127003171459,27,19.0,
160205,counterfactual - attribution,target_helpful_shap_delta,0.20629889214817418,0.23116234071428654,-0.02486344856611236,-0.02486344856611236,-0.06822829114164834,27,,16.0
160201,counterfactual - none,target_helpful_shap_delta,0.4648221574136135,0.49103511927686827,-0.02621296186325478,-0.02621296186325478,-0.05972254078049064,27,19.0,
160210,counterfactual - none,target_helpful_shap_delta,0.5278888232126197,0.562563071531964,-0.0346742483193444,-0.0346742483193444,-0.0757848108537281,27,19.0,
160212,counterfactual - attribution,target_helpful_shap_delta,0.5912319658156177,0.6354901010881057,-0.04425813527248801,-0.04425813527248801,-0.0903611189542411,27,,16.0
160206,counterfactual - none,target_helpful_shap_delta,0.13780288011939293,0.18393685501644189,-0.04613397489704896,-0.04613397489704896,-0.13986443188333508,27,19.0,
160201,counterfactual - attribution,target_helpful_shap_delta,0.4648221574136135,0.513126706665852,-0.04830454925223854,-0.04830454925223854,-0.10558045308851946,27,,16.0
160218,counterfactual - none,target_helpful_shap_delta,0.3928831989034232,0.4466779986914073,-0.05379479978798407,-0.05379479978798407,-0.12503562605468255,27,19.0,
160211,counterfactual - attribution,target_helpful_shap_delta,0.4945947780586398,0.5496615297692841,-0.05506675171064429,-0.05506675171064429,-0.11898060731814097,27,,16.0
160203,counterfactual - none,target_helpful_shap_delta,0.7129745605050545,0.7837961241890511,-0.07082156368399661,-0.07082156368399661,-0.1774350996415894,27,19.0,
160217,counterfactual - attribution,target_helpful_shap_delta,0.21568054122959635,0.29723067228565575,-0.0815501310560594,-0.0815501310560594,-0.20013615401897272,27,,16.0
160205,counterfactual - none,target_helpful_shap_delta,0.20629889214817418,0.2937049042684241,-0.08740601212024993,-0.08740601212024993,-0.2256042345659802,27,19.0,
160209,counterfactual - attribution,target_helpful_shap_delta,0.42572359209152894,0.51343416142976,-0.08771056933823101,-0.08771056933823101,-0.18897115992506747,27,,16.0
160212,counterfactual - none,target_helpful_shap_delta,0.5912319658156177,0.6816709520020023,-0.09043898618638468,-0.09043898618638468,-0.18603868429216538,27,19.0,
160216,counterfactual - none,target_helpful_shap_delta,0.551010109237451,0.642162374784721,-0.09115226554727007,-0.09115226554727007,-0.21055343891331385,27,19.0,
160217,counterfactual - none,target_helpful_shap_delta,0.21568054122959635,0.33949445494748137,-0.12381391371788503,-0.12381391371788503,-0.2940065516806714,27,19.0,
160200,counterfactual - attribution,target_helpful_shap_delta,0.6226237930909018,0.7508535961916356,-0.12822980310073384,-0.12822980310073384,-0.3551098016137214,27,,16.0
160219,counterfactual - none,target_helpful_shap_delta,0.26175175473641366,0.3910162145912274,-0.12926445985481372,-0.12926445985481372,-0.3086194454969627,27,19.0,
160202,counterfactual - none,target_helpful_shap_delta,0.6480407622065779,0.7803215532705765,-0.1322807910639986,-0.1322807910639986,-0.30919439243700847,27,19.0,
160213,counterfactual - attribution,target_helpful_shap_delta,0.47734505951343553,0.6305344574052808,-0.15318939789184527,-0.15318939789184527,-0.3343164579809711,27,,16.0
160218,counterfactual - attribution,target_helpful_shap_delta,0.3928831989034232,0.5461257315811489,-0.15324253267772564,-0.15324253267772564,-0.3401046941597209,27,,16.0
160204,counterfactual - attribution,target_helpful_shap_delta,0.6979394183046262,0.8609464450747661,-0.1630070267701399,-0.1630070267701399,-0.4118331228007119,27,,16.0
160208,counterfactual - attribution,target_helpful_shap_delta,0.254473493490842,0.41965774686580176,-0.1651842533749598,-0.1651842533749598,-0.3951621342588199,27,,16.0
160202,counterfactual - attribution,target_helpful_shap_delta,0.6480407622065779,0.8169269426927825,-0.16888618048620463,-0.16888618048620463,-0.3960288404550041,27,,16.0
160204,counterfactual - none,target_helpful_shap_delta,0.6979394183046262,0.8681877825148114,-0.1702483642101852,-0.1702483642101852,-0.4393199565031824,27,19.0,
160214,counterfactual - attribution,target_helpful_shap_delta,0.701976605135791,0.8738444378467409,-0.17186783271094996,-0.17186783271094996,-0.44620846524872576,27,,16.0
160203,counterfactual - attribution,target_helpful_shap_delta,0.7129745605050545,0.8992319196141421,-0.18625735910908758,-0.18625735910908758,-0.5060407316194763,27,,16.0
160213,counterfactual - none,target_helpful_shap_delta,0.47734505951343553,0.7260874913923626,-0.24874243187892708,-0.24874243187892708,-0.5764170716558052,27,19.0,
