participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_50DGG380VPVbOcp,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,2.0,0.0,1,4,0.3854509080717187,0.38796195894457686,0.1588637750880143,0.9,1.2600277776117839,0.3875218226846058,0.38198727172447017,0.1570309170936818,0.9,1.2967310363002977,0
R_5MWWICk2p3HwIcJ,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.25,nan,nan,1,4,0.3916964026901116,0.37919110578349463,0.16258391116371781,0.9,1.2578110433516174,0.3956802562451966,0.3791911057834947,0.17055161827388793,0.9,1.2578110433516172,1
R_5MWWICk2p3HwIcJ,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.2,0.0,0.0,1,4,0.4103044404704577,0.3495251223879354,0.17013400332885073,0.9,1.5069002391360617,0.415246355288022,0.3495251223879355,0.1800178329639795,0.9,1.5069002391360617,0
R_5dyiDVxpY3uvP1p,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.5,0.0,nan,nan,1,4,0.35982699080177655,0.3466977715016268,0.06635175310517989,1.0,1.389279109927101,0.42585857842540553,0.23459516987377396,0.08631232672458503,1.0,1.8399042661831324,0
R_5dyiDVxpY3uvP1p,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.46329583863156687,0.321655213809184,0.24824689107231776,0.7,1.42563914418689,0.463295838631567,0.32165521380918405,0.24824689107231776,0.7,1.42563914418689,1
R_5meYpVpIaQ4Mrnr,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.0,0.05,nan,nan,1,4,0.43920328106698997,0.2802995985606465,0.15870616069462634,0.8,1.725960642218268,0.47010084924704926,0.21949484665818178,0.15969654515228035,0.85,2.010994380300012,0
R_5meYpVpIaQ4Mrnr,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.5,1,4,0.4123140077880746,0.29832668099043474,0.1229546965665838,0.65,1.5397089757682374,0.4206582373410065,0.2872742929795199,0.1285907676615327,0.65,1.6190575195868049,1
R_60AvEj9fZiC8nae,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.0,0.15,nan,nan,1,4,0.3305587047941381,0.4554949687024446,0.11661237829072073,1.0,0.8869505357639215,0.3718024351730973,0.39100692793439445,0.13461179828058906,1.0,1.1325022084459744,1
R_60AvEj9fZiC8nae,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.05,2.0,0.0,1,4,0.35638521717752064,0.3797531016036039,0.0925235359586452,0.95,1.2727190523489251,0.37353333636927827,0.36160485390460384,0.1086715266431603,0.9,1.3647845097907183,0
R_61LUcA8btLtAme9,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.15,nan,nan,0,4,0.35640689859099345,0.4264677766091739,0.1392815737911607,0.95,1.064486438548711,0.393034489584604,0.364425122214285,0.1504941013834931,0.95,1.1930128085762255,1
R_61LUcA8btLtAme9,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.1,0.0,1.0,1,4,0.41807256034286444,0.24596009733081234,0.08210521801654133,0.95,1.4033669206499215,0.4239913612654072,0.2372179881355126,0.08520071066632706,0.95,1.444848082103367,0
R_68hRmSDsu9B7qfv,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.0,nan,nan,0,4,0.4464226291470344,0.3087954113828896,0.20164066967695832,0.65,1.080982269512591,0.4464226291470344,0.3087954113828896,0.2016406696769583,0.65,1.080982269512591,1
R_68hRmSDsu9B7qfv,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.40447067300372713,0.3033240337794888,0.11226537978694309,0.8,1.6009126746262783,0.4058857805240149,0.3015114717190325,0.11328303276706213,0.8,1.6153829828990325,0
