participant,xai,wave,slope_type,outcome,slope
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,target_helpful_shap,-0.22740120551280316
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,cf_demo_cosine,-0.19864457473101396
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,attribution_feature_overlap,-0.08634970113177698
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,response_time,2.062819933099101
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,boundary_new,0.005058500737464695
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,boundary_improvement,0.02585146489582183
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,success,-0.20377084283816832
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,confidence_gain,-0.1894141826101536
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,edit_l1,0.04564201793730137
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,target_helpful_shap,-0.13538810143822774
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,cf_demo_cosine,0.036805338392124555
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,attribution_feature_overlap,0.003251662385715397
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,response_time,-3.4474081257856732
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,boundary_new,-0.036782351145097696
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,boundary_improvement,0.06341596582557954
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,success,-0.06503324771430907
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,confidence_gain,-0.09342781993515013
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,edit_l1,-0.08539192902974976
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,target_helpful_shap,-0.01811867978211179
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,cf_demo_cosine,-0.037845679027494555
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,attribution_feature_overlap,-0.024206819982548398
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,response_time,4.369579578374574
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,boundary_new,-0.001729509962011126
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,boundary_improvement,0.04232416091594024
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,success,-0.19943529299054774
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,confidence_gain,-0.17381738094717208
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,edit_l1,0.010521001648806861
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,target_helpful_shap,-0.01984805221137703
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,cf_demo_cosine,0.1453632924389238
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,attribution_feature_overlap,0.02781977818889884
R_1bN1m4OYZIanJ5K,none,new_26,test_trial,response_time,-2.9128348295740536
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,boundary_new,0.01951447214073623
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,boundary_improvement,0.007454775803231093
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,success,-0.14740869481910052
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,confidence_gain,-0.05846281717219649
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,edit_l1,0.015883697886607765
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,target_helpful_shap,0.015126648126810355
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,cf_demo_cosine,-0.058756738916892336
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,attribution_feature_overlap,0.06431065607303886
R_1hF6UnZQsvvwBCX,counterfactual,original_36,test_trial,response_time,0.530046982170703
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,boundary_new,0.005070601529361934
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,boundary_improvement,0.05912481261537555
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,success,-0.09971764649527384
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,confidence_gain,-0.10982871786143791
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,edit_l1,0.10563142993055218
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,target_helpful_shap,-0.08206899791008831
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,cf_demo_cosine,0.009680555675194213
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,attribution_feature_overlap,0.005780733130160744
