xai,participants,n_changed,three_plus_feature_rate,insulin_selection,edit_l1,abs_change_per_changed_feature,median_response_time,log_response_time,high_global_strategy
attribution,16,1.665625,0.121875,0.275,0.4607197265716947,0.2759283708023225,10.79640625,2.4069315831306826,0.125
counterfactual,27,2.138888888888889,0.32962962962962966,0.5092592592592593,0.5222476868402124,0.23905501195013504,14.68487037037037,2.5994344499968656,0.37037037037037035
none,19,1.9131578947368422,0.2736842105263158,0.41578947368421054,0.5489133379435055,0.283306629030839,12.432526315789474,2.455376907790735,0.05263157894736842
