component,comparison,explained_variance,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q
structure_pc1,counterfactual - attribution,0.3840232006696429,27,16,0.45977765997848963,-0.7760083891134816,1.2357860490919712,0.1888777052837955,2.324987323556648,0.0318,0.03125306023945084,0.7036568718629805,0.2862
structure_pc3,attribution - none,0.12153540097841198,16,19,0.3405273754261907,-0.1482786346360388,0.4888060100622295,-0.0017092447265064895,1.0011834561707518,0.0732,0.07417512276735788,0.618906700529713,0.3294
structure_pc2,counterfactual - attribution,0.15800439129862037,27,16,0.2694023274086131,-0.23149374186811011,0.5008960692767233,-0.1353221084832333,1.1545031225027818,0.1858,0.13765239474357796,0.4230164254292271,0.37335
structure_pc1,attribution - none,0.3840232006696429,16,19,-0.7760083891134816,0.00011249507349931383,-0.7761208841869809,-2.029945022409499,0.4338220751508082,0.2319,0.23821988773371205,-0.392506569762957,0.37335
structure_pc3,counterfactual - attribution,0.12153540097841198,27,16,-0.09744977587904866,0.3405273754261907,-0.4379771513052394,-1.0318947609482718,0.21457602883368496,0.2459,0.18735153156743856,-0.36905505087135343,0.37335
structure_pc2,counterfactual - none,0.15800439129862037,27,19,0.2694023274086131,-0.1878927879022521,0.4572951153108652,-0.30538165207250034,1.1745945878921797,0.2489,0.24278629158091805,0.3475905958483212,0.37335
structure_pc1,counterfactual - none,0.3840232006696429,27,19,0.45977765997848963,0.00011249507349931383,0.4596651649049903,-0.6395953733223375,1.5686575869717039,0.4084,0.43147263388512147,0.24239340607506166,0.5250857142857143
structure_pc3,counterfactual - none,0.12153540097841198,27,19,-0.09744977587904866,-0.1482786346360388,0.05082885875699014,-0.5255031972053483,0.6215437815660844,0.8853,0.8685808830941967,0.04456823498008432,0.9127
structure_pc2,attribution - none,0.15800439129862037,16,19,-0.23149374186811011,-0.1878927879022521,-0.043600953965858,-0.7504353109295507,0.6082955593278033,0.9127,0.905212313856957,-0.03850390552417772,0.9127
