wave,metric,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_within_wave
new_26,n_changed,counterfactual - none,12,8,2.1875000000000004,1.55,0.6375000000000004,0.13119791666666722,1.1604687499999995,0.04925,0.034752993091413095,0.923928718518883,0.4728
new_26,n_changed,attribution - none,6,8,1.7416666666666665,1.55,0.19166666666666643,-0.34796875,0.7396874999999998,0.5335,0.5433422883846879,0.32727583806248195,0.849375
new_26,n_changed,counterfactual - attribution,12,6,2.1875000000000004,1.7416666666666665,0.44583333333333397,-0.12093750000000043,1.0459374999999995,0.2315,0.19696100582691262,0.604355783805821,0.8382857142857143
new_26,one_feature_rate,counterfactual - none,12,8,0.3,0.6,-0.3,-0.5458333333333334,-0.04989583333333378,0.04675,0.044352295390398366,-0.9622115216276056,0.4728
new_26,one_feature_rate,attribution - none,6,8,0.425,0.6,-0.175,-0.5646354166666666,0.21666666666666667,0.44175,0.44565889269265,-0.43226129544507214,0.8382857142857143
new_26,one_feature_rate,counterfactual - attribution,12,6,0.3,0.425,-0.125,-0.5083333333333333,0.23749999999999993,0.5215,0.5681918914939952,-0.33187833237416936,0.849375
new_26,two_feature_rate,counterfactual - none,12,8,0.3333333333333333,0.275,0.05833333333333329,-0.13546875000000003,0.24999999999999997,0.6085,0.5939011023173123,0.22582837316973978,0.8574857142857143
new_26,two_feature_rate,attribution - none,6,8,0.43333333333333335,0.275,0.15833333333333333,-0.15208333333333335,0.4667187499999998,0.35025,0.39374747319042036,0.49912182320280657,0.8382857142857143
new_26,two_feature_rate,counterfactual - attribution,12,6,0.3333333333333333,0.43333333333333335,-0.10000000000000003,-0.4208333333333333,0.22093749999999948,0.5615,0.586319751905949,-0.3069801767715736,0.849375
new_26,three_plus_feature_rate,counterfactual - none,12,8,0.3666666666666667,0.125,0.2416666666666667,0.027031249999999937,0.46041666666666664,0.07625,0.051829028297557464,0.8164307075136402,0.47850000000000004
new_26,three_plus_feature_rate,attribution - none,6,8,0.14166666666666666,0.125,0.016666666666666663,-0.15421875000000002,0.19999999999999996,0.885,0.869718481687431,0.08471348144630458,0.9879069767441861
new_26,three_plus_feature_rate,counterfactual - attribution,12,6,0.3666666666666667,0.14166666666666666,0.22500000000000003,0.01250000000000001,0.45416666666666666,0.15325,0.08248273042625001,0.7313063722177177,0.7356
new_26,edit_l1,counterfactual - none,12,8,0.5327174210087608,0.3686723274177762,0.16404509359098463,0.02270665431752024,0.3216416119305138,0.07975,0.054539485596661955,0.8081203483027287,0.47850000000000004
new_26,edit_l1,attribution - none,6,8,0.4395269071411358,0.3686723274177762,0.07085457972335957,-0.12326873570323332,0.2375533453506955,0.45925,0.5098527426850382,0.3785864326309057,0.8382857142857143
new_26,edit_l1,counterfactual - attribution,12,6,0.5327174210087608,0.4395269071411358,0.09319051386762506,-0.09703291581047617,0.3228062661487815,0.4245,0.426847118127359,0.39294039275310855,0.8382857142857143
new_26,abs_change_per_changed_feature,counterfactual - none,12,8,0.24304143380642287,0.2500939454483836,-0.007052511641960718,-0.06396932631749211,0.04335599313152418,0.7915,0.8159554162085857,-0.11504743735711229,0.9321951219512195
new_26,abs_change_per_changed_feature,attribution - none,6,8,0.24527505989443635,0.2500939454483836,-0.004818885553947244,-0.08232046042227718,0.0647146757134485,0.91075,0.9104738785961368,-0.058765135928648196,0.9894782608695654
new_26,abs_change_per_changed_feature,counterfactual - attribution,12,6,0.24304143380642287,0.24527505989443635,-0.002233626088013474,-0.05303365769833468,0.0631482456394717,0.942,0.9509513974158277,-0.03649448887566464,0.9894782608695654
new_26,feature_selection_entropy,counterfactual - none,12,8,0.8226705541213616,0.6778333236210334,0.14483723050032815,0.04198983416218455,0.23814434403949847,0.0105,0.02042490594455204,1.3406718803191757,0.30000000000000004
new_26,feature_selection_entropy,attribution - none,6,8,0.7501766682194347,0.6778333236210334,0.0723433445984013,-0.03973579656505495,0.1764482537097928,0.28225,0.26301050830607076,0.5637337504947462,0.8382857142857143
new_26,feature_selection_entropy,counterfactual - attribution,12,6,0.8226705541213616,0.7501766682194347,0.07249388590192685,-0.004054022995589842,0.15665625129699046,0.1025,0.14208265048769192,0.8322138054555693,0.5466666666666666
new_26,modal_subset_share,counterfactual - none,12,8,0.375,0.4375,-0.0625,-0.19593750000000001,0.0708333333333333,0.43675,0.40534619640100233,-0.37393717635300044,0.8382857142857143
new_26,modal_subset_share,attribution - none,6,8,0.43333333333333335,0.4375,-0.004166666666666652,-0.14999999999999997,0.1416666666666666,1.0,0.9610682478147174,-0.025002348923463612,1.0
new_26,modal_subset_share,counterfactual - attribution,12,6,0.375,0.43333333333333335,-0.05833333333333335,-0.18750000000000006,0.08343749999999953,0.489,0.46464385065632396,-0.35320862855067836,0.8382857142857143
new_26,global_sign_consistency,counterfactual - none,12,8,0.3160648854932904,0.5689717741935484,-0.25290688870025796,-0.5999938402982496,0.11536596518671258,0.18775,0.2161033311162698,-0.6130645910063638,0.8192727272727273
new_26,global_sign_consistency,attribution - none,6,8,0.49861111111111106,0.5689717741935484,-0.07036066308243732,-0.5399305555555556,0.3582854502688172,0.72275,0.7839117478138166,-0.1412630508971909,0.9321951219512195
new_26,global_sign_consistency,counterfactual - attribution,12,6,0.3160648854932904,0.49861111111111106,-0.18254622561782063,-0.5576647761384983,0.1996741168712454,0.32,0.4109552962649965,-0.4599601569138532,0.8382857142857143
new_26,median_response_time,counterfactual - none,12,8,16.270166666666665,11.351812500000001,4.9183541666666635,-3.1060874999999992,15.37555677083333,0.486,0.3429550535368008,0.36385618526130964,0.8382857142857143
new_26,median_response_time,attribution - none,6,8,11.418583333333332,11.351812500000001,0.06677083333333123,-5.154477604166667,5.366323437499997,0.98475,0.9826450417901835,0.011164458683647868,1.0
new_26,median_response_time,counterfactual - attribution,12,6,16.270166666666665,11.418583333333332,4.851583333333332,-3.767111458333331,16.28423645833333,0.56625,0.35710477838484456,0.34103339722286186,0.849375
new_26,log_response_time,counterfactual - none,12,8,2.655492233553742,2.405567175766196,0.24992505778754603,-0.26149783341414157,0.8208430736778082,0.41925,0.4098473179871782,0.3576998766175395,0.8382857142857143
new_26,log_response_time,attribution - none,6,8,2.385736029487354,2.405567175766196,-0.01983114627884186,-0.5745288095315085,0.5478100071899487,0.94825,0.9505532212637051,-0.03166364403802088,0.9894782608695654
new_26,log_response_time,counterfactual - attribution,12,6,2.655492233553742,2.385736029487354,0.2697562040663879,-0.2634491906104579,0.8127437215488823,0.432,0.3948857553832955,0.38672597108955026,0.8382857142857143
new_26,select_Glucose,counterfactual - none,12,8,0.5333333333333332,0.39375,0.13958333333333323,-0.07916666666666677,0.3708333333333333,0.30675,0.26320468589077256,0.46561265070952945,0.8382857142857143
new_26,select_Glucose,attribution - none,6,8,0.6083333333333333,0.39375,0.2145833333333333,0.03333333333333344,0.40624999999999994,0.0695,0.05729072085554827,1.0213056356333812,0.47850000000000004
new_26,select_Glucose,counterfactual - attribution,12,6,0.5333333333333332,0.6083333333333333,-0.07500000000000007,-0.2917708333333335,0.14166666666666672,0.62525,0.5252379249706602,-0.2511925612936334,0.8574857142857143
new_26,select_Blood Pressure,counterfactual - none,12,8,0.49583333333333335,0.45624999999999993,0.039583333333333415,-0.21671875000000004,0.3063020833333331,0.79625,0.7808957791849099,0.12195217892564401,0.9321951219512195
new_26,select_Blood Pressure,attribution - none,6,8,0.55,0.45624999999999993,0.09375000000000011,-0.19171874999999997,0.387552083333333,0.58875,0.5748434152171961,0.29293486574362726,0.8563636363636363
new_26,select_Blood Pressure,counterfactual - attribution,12,6,0.49583333333333335,0.55,-0.054166666666666696,-0.3334375,0.2333333333333333,0.74525,0.7314502780071458,-0.16456453484454187,0.9321951219512195
new_26,select_Insulin,counterfactual - none,12,8,0.5416666666666666,0.225,0.31666666666666665,0.024895833333333256,0.5958333333333333,0.04625,0.048171524822045356,0.9424249996167048,0.4728
new_26,select_Insulin,attribution - none,6,8,0.11666666666666665,0.225,-0.10833333333333335,-0.35,0.11666666666666665,0.4735,0.4213872826219376,-0.38256736053215407,0.8382857142857143
new_26,select_Insulin,counterfactual - attribution,12,6,0.5416666666666666,0.11666666666666665,0.425,0.2125,0.6125,0.0125,0.001408320418479998,1.4554155761111256,0.30000000000000004
new_26,select_BMI,counterfactual - none,12,8,0.5291666666666667,0.43125,0.09791666666666665,-0.13130208333333337,0.3166666666666667,0.43825,0.4415641366532347,0.35487826176734305,0.8382857142857143
new_26,select_BMI,attribution - none,6,8,0.39999999999999997,0.43125,-0.031250000000000056,-0.3145833333333334,0.23130208333333302,0.85025,0.8387171753493241,-0.10482436636694237,0.9717142857142856
new_26,select_BMI,counterfactual - attribution,12,6,0.5291666666666667,0.39999999999999997,0.1291666666666667,-0.1042708333333334,0.3833333333333333,0.35525,0.3570979811342777,0.4751871401447811,0.8382857142857143
new_26,select_Age,counterfactual - none,12,8,0.08750000000000001,0.04375,0.04375000000000001,-0.031302083333333335,0.12505208333333306,0.40625,0.3253064218745353,0.4157784060877694,0.8382857142857143
new_26,select_Age,attribution - none,6,8,0.06666666666666667,0.04375,0.02291666666666667,-0.05833333333333334,0.10625,0.675,0.6289686725504633,0.2541329204459462,0.9000000000000001
new_26,select_Age,counterfactual - attribution,12,6,0.08750000000000001,0.06666666666666667,0.020833333333333343,-0.06250000000000003,0.10833333333333334,0.7655,0.6717030135960713,0.19028599952464145,0.9321951219512195
original_36,n_changed,counterfactual - none,15,11,2.1,2.1772727272727277,-0.0772727272727276,-0.6203181818181819,0.5396969696969698,0.8025,0.8008292420435903,-0.10078277706738024,0.8754545454545454
original_36,n_changed,attribution - none,10,11,1.6200000000000003,2.1772727272727277,-0.5572727272727274,-1.0855000000000001,-0.03313636363636433,0.0705,0.06773072008537634,-0.8006555963619526,0.37599999999999995
original_36,n_changed,counterfactual - attribution,15,10,2.1,1.6200000000000003,0.47999999999999976,0.03495833333333348,0.8983333333333332,0.05875,0.04934973770331541,0.7572938547463108,0.37599999999999995
original_36,one_feature_rate,counterfactual - none,15,11,0.3133333333333333,0.3318181818181818,-0.018484848484848493,-0.2818636363636363,0.22030303030303022,0.90625,0.8932131501961256,-0.05368291706017267,0.9666666666666667
original_36,one_feature_rate,attribution - none,10,11,0.5,0.3318181818181818,0.1681818181818182,-0.14595454545454536,0.4591818181818177,0.30625,0.3101493795414887,0.4380286153411184,0.6091199999999999
original_36,one_feature_rate,counterfactual - attribution,15,10,0.3133333333333333,0.5,-0.1866666666666667,-0.44833333333333336,0.07337499999999975,0.18875,0.2072534186640511,-0.5382025836648534,0.56625
original_36,two_feature_rate,counterfactual - none,15,11,0.38666666666666666,0.2863636363636364,0.10030303030303028,-0.06606060606060604,0.2609696969696965,0.2895,0.2556300711399269,0.4251528800778984,0.6091199999999999
original_36,two_feature_rate,attribution - none,10,11,0.39,0.2863636363636364,0.10363636363636364,-0.10956818181818186,0.3050000000000001,0.37125,0.37928541000897753,0.39032165639919436,0.6538285714285714
original_36,two_feature_rate,counterfactual - attribution,15,10,0.38666666666666666,0.39,-0.003333333333333355,-0.22004166666666675,0.22170833333333304,1.0,0.9781389061448444,-0.011470600821724193,1.0
original_36,three_plus_feature_rate,counterfactual - none,15,11,0.29999999999999993,0.38181818181818183,-0.0818181818181819,-0.30459090909090913,0.14243181818181805,0.49175,0.5075063630888956,-0.27035995277212566,0.6556666666666666
original_36,three_plus_feature_rate,attribution - none,10,11,0.11000000000000001,0.38181818181818183,-0.27181818181818185,-0.47637500000000005,-0.07681818181818181,0.02625,0.025810600595333466,-1.0172047259747938,0.37599999999999995
original_36,three_plus_feature_rate,counterfactual - attribution,15,10,0.29999999999999993,0.11000000000000001,0.18999999999999992,0.04666666666666669,0.33504166666666646,0.037,0.022800203188028976,0.8482972838620391,0.37599999999999995
original_36,edit_l1,counterfactual - none,15,11,0.5138718995053736,0.6799977092349448,-0.16612580972957125,-0.4242159526288715,0.10237460532082454,0.24175,0.24856406296541772,-0.4668380619630965,0.5856
original_36,edit_l1,attribution - none,10,11,0.4734354182300301,0.6799977092349448,-0.20656229100491474,-0.44717041004698305,0.02928528745280627,0.12775,0.12234066526054105,-0.6665223356456313,0.492
original_36,edit_l1,counterfactual - attribution,15,10,0.5138718995053736,0.4734354182300301,0.040436481275343494,-0.12682679641424882,0.24655988927499284,0.7895,0.6955587595867299,0.14060974335824702,0.8754545454545454
