moderator,level_contrast,instances_level_a,instances_level_b,outcome,condition_comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_moderator
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,edit_l1,attribution - none,16,19,-0.12530837132528064,-0.16795801238933739,0.04264964106405675,-0.04939542058201905,0.14030735061708,0.4092,0.3891895308392048,0.2778813693308056,0.9349732620320855,0.7042105263157895
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,boundary_improvement,counterfactual - attribution,27,16,0.03908380072954145,0.02856872661339286,0.01051507411614859,-0.014429884504828872,0.033891532820592866,0.4104,0.39791426129843566,0.2566494864564781,0.9349732620320855,0.7128571428571429
pair_seen_in_training_group,novel_pair - seen_pair,12,8,edit_l1,counterfactual - none,27,19,-0.058051030987612065,-0.029226356376912937,-0.028824674610699128,-0.09341725090439766,0.03353575846380164,0.4122,0.39268581338612374,-0.2453816570078203,0.9349732620320855,0.7274117647058823
nearest_same_training_distance_bucket,far_training - near_training,10,10,boundary_new,counterfactual - none,27,19,-0.03308235115851852,-0.045699265480526316,0.012616914322007795,-0.016639269976589665,0.043540074013578935,0.413,0.41165908118713634,0.2382521354859016,0.9349732620320855,0.8743448275862068
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,confidence_gain,counterfactual - none,27,19,-0.001389657527297176,-0.04997843576438016,0.048588778237082984,-0.06798707487724942,0.15268805282668818,0.4134,0.39316414878355255,0.2489321168446827,0.9349732620320855,0.7128571428571429
control_empirical_difficulty_group,control_easy - control_hard,10,10,cf_demo_cosine,attribution - none,16,19,0.0007736870128293889,-0.052523441276109986,0.05329712828893937,-0.06643027377547868,0.16183257105469007,0.4168,0.3863646788824999,0.2846827597401929,0.9349732620320855,0.9362
design_cluster_group,cluster_1 - cluster_2,10,10,edit_l1,counterfactual - none,27,19,0.036568816063936686,0.07435760272849738,-0.037788786664560696,-0.12190980719327123,0.05420494921024677,0.42,0.4091022454393224,-0.24251422914991522,0.9349732620320855,0.7
nearest_same_training_distance_bucket,far_training - near_training,10,10,boundary_improvement,counterfactual - none,27,19,-0.05604384535148147,-0.04342693102947368,-0.012616914322007788,-0.042072679506677396,0.014479108389728062,0.427,0.4116590811871368,-0.23825213548590146,0.9349732620320855,0.8743448275862068
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,success,attribution - none,16,19,-0.11249999999999998,-0.15789473684210528,0.04539473684210531,-0.04507401315789472,0.13782894736842105,0.4296,0.3620448622745063,0.2994933063500611,0.9349732620320855,0.7484347826086956
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,cf_demo_cosine,counterfactual - none,27,19,-0.0591323454290379,-0.10264160229239096,0.04350925686335306,-0.06572109633681764,0.14903173708148454,0.4416,0.44568278949991,0.2297468016192854,0.9349732620320855,0.7042105263157895
pair_seen_in_training_group,novel_pair - seen_pair,12,8,target_helpful_shap,counterfactual - attribution,27,16,-0.017784262899537037,-0.0493347565965104,0.03155049369697336,-0.04064579855735962,0.10274216259398929,0.4432,0.42360257817975244,0.23560805921472472,0.9349732620320855,0.7386666666666666
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,attribution_feature_overlap,attribution - none,16,19,-0.011562500000000009,-0.0574561403508772,0.04589364035087719,-0.06932264254385966,0.14622203947368417,0.4434,0.4523874553398536,0.2574449118519386,0.9349732620320855,0.7042105263157895
nearest_same_training_distance_bucket,far_training - near_training,10,10,cf_demo_cosine,counterfactual - none,27,19,-0.020447085404103556,-0.0685627844255792,0.04811569902147564,-0.08010261633812286,0.1628393410502236,0.4448,0.46425522768823724,0.22470614970286923,0.9349732620320855,0.8743448275862068
