moderator,level_contrast,instances_level_a,instances_level_b,outcome,condition_comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_moderator
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,boundary_improvement,counterfactual - none,27,19,0.1136060948537037,0.10668857692947369,0.00691751792423001,-0.02258765438739572,0.035643011582490725,0.6338,0.6542958951085753,0.14137942028681313,0.9627272727272727,0.76056
nearest_same_training_distance_bucket,far_training - near_training,10,10,target_helpful_shap,counterfactual - none,27,19,-0.007792881014074071,0.007121794723684204,-0.014914675737758273,-0.07951012498180847,0.04408278594757262,0.6354,0.639918378102408,-0.12761964303445844,0.9627272727272727,0.8743448275862068
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,edit_l1,counterfactual - none,27,19,-0.04088270484860836,-0.029637305189622435,-0.011245399658985928,-0.055368287433469617,0.03147484006312252,0.6398,0.6261515895430207,-0.13955048269030876,0.9645226130653266,0.80475
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,target_helpful_shap,attribution - none,16,19,-0.019879846350580356,0.00202670938709273,-0.021906555737673087,-0.10164520099286785,0.05609432816550531,0.6438,0.6065395118922656,-0.16643406397945285,0.9657000000000001,0.80475
control_empirical_difficulty_group,control_easy - control_hard,10,10,confidence_gain,attribution - none,16,19,-0.11238074282189428,-0.0886453704303134,-0.023735372391580883,-0.11853068981791057,0.07992961108370084,0.6656,0.653429914974487,-0.15189295582550766,0.979515570934256,0.9362
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,confidence_gain,counterfactual - none,27,19,0.2396631003994831,0.279045513180075,-0.039382412780591874,-0.22910431243042007,0.13840284813239687,0.6754,0.6805220630797288,-0.12056934341969736,0.979515570934256,0.9566
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,target_helpful_shap,counterfactual - none,27,19,-0.023598565938518508,-0.007203858851052642,-0.016394707087465866,-0.09403278456795369,0.05829981061512616,0.6758,0.6815155021103982,-0.11795552471494894,0.979515570934256,0.9235000000000001
design_cluster_group,cluster_1 - cluster_2,10,10,target_centroid_progress,counterfactual - none,27,19,0.010356336603666956,0.023302045220161605,-0.012945708616494649,-0.07137974883127093,0.04684449473686935,0.6764,0.6711287715017411,-0.12812231944143462,0.979515570934256,0.8822608695652174
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,target_centroid_progress,attribution - none,16,19,0.024764928195896246,-0.0010170026778205373,0.025781930873716784,-0.10071023445621538,0.15122305679413753,0.681,0.702146516933765,0.1289209074238133,0.979515570934256,0.88075
nearest_same_training_distance_bucket,far_training - near_training,10,10,cf_demo_feature_jaccard,counterfactual - none,27,19,-0.00709876543209876,-0.033245614035087724,0.026146848602988965,-0.0956140350877193,0.14360120207927227,0.683,0.6752215005932497,0.12122200488044561,0.979515570934256,0.8743448275862068
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,target_helpful_shap,attribution - none,16,19,-0.0989784087063848,-0.07211544435180599,-0.026862964354578814,-0.14594578602522074,0.09834356653449476,0.6836,0.6856191835970264,-0.13595179294142487,0.979515570934256,0.88075
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,success,attribution - none,16,19,0.14999999999999997,0.17894736842105266,-0.028947368421052694,-0.17106907894736847,0.10889802631578935,0.6882,0.6934886388994688,-0.12879251961228783,0.979515570934256,0.9235000000000001
nearest_same_training_distance_bucket,far_training - near_training,10,10,confidence_gain,counterfactual - attribution,27,16,0.002863545377321828,-0.01904284782939428,0.02190639320671611,-0.07275566153298949,0.1183765564008185,0.6906,0.6741235264328225,0.12359046533976714,0.979515570934256,0.8743448275862068
target_label_group,Diabetes - No Diabetes,10,10,edit_l1,counterfactual - attribution,27,16,0.004600352912079625,-0.02880620727751689,0.033406560189596514,-0.11618907219279788,0.18721290967819926,0.699,0.6744678898808361,0.11211604734513157,0.979515570934256,0.9766
nearest_same_training_distance_bucket,far_training - near_training,10,10,attribution_feature_overlap,counterfactual - none,27,19,-0.00709876543209876,-0.033245614035087724,0.026146848602988965,-0.09549423326835606,0.14522977582846006,0.6998,0.6752215005932497,0.12122200488044561,0.979515570934256,0.8743448275862068
nearest_same_training_distance_bucket,far_training - near_training,10,10,confidence_gain,attribution - none,16,19,-0.01904284782939428,-0.001067075716629185,-0.017975772112765097,-0.10683925957805432,0.061061833360622784,0.7036,0.6926604738939042,-0.13573338194837695,0.979515570934256,0.8743448275862068
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,target_helpful_shap,counterfactual - attribution,27,16,-0.123716861934931,-0.0989784087063848,-0.024738453228546203,-0.14589542131832656,0.09273180817306916,0.7046,0.6974118478918427,-0.12043163151032135,0.979515570934256,0.88075
pair_seen_in_training_group,novel_pair - seen_pair,12,8,target_helpful_shap,counterfactual - none,27,19,-0.017784262899537037,-0.0013009266598684119,-0.016483336239668626,-0.10175882646390308,0.06470664029829372,0.7092,0.7070979275722855,-0.112293948519594,0.979515570934256,0.87696
target_label_group,Diabetes - No Diabetes,10,10,boundary_new,counterfactual - none,27,19,0.014339810048888887,0.0072508584510526325,0.007088951597836255,-0.033234407875426905,0.04643071222179382,0.718,0.7321574087443246,0.10343094304594701,0.979515570934256,0.9766
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.006975308641975303,-0.011562500000000009,0.018537808641975313,-0.08988184799382713,0.11985387731481477,0.7196,0.7411246248424443,0.11243989551651824,0.979515570934256,0.9235000000000001
control_empirical_difficulty_group,control_easy - control_hard,10,10,boundary_improvement,attribution - none,16,19,-0.018844368036249996,-0.01504551003157894,-0.0037988580046710557,-0.023935066792508224,0.015757519613321523,0.7196,0.718482718584353,-0.11843346540632808,0.979515570934256,0.9362
control_empirical_difficulty_group,control_easy - control_hard,10,10,boundary_new,attribution - none,16,19,-0.05014658389375,-0.05394544189842105,0.0037988580046710504,-0.01623823575197615,0.023355371836375816,0.7206,0.7184827185843534,0.11843346540632792,0.979515570934256,0.9362
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.006975308641975303,-0.011562500000000009,0.018537808641975313,-0.09217091049382715,0.1190580632716048,0.722,0.7411246248424443,0.11243989551651824,0.979515570934256,0.9235000000000001
pair_seen_in_training_group,novel_pair - seen_pair,12,8,cf_demo_feature_jaccard,counterfactual - none,27,19,0.012397119341563779,-0.0005116959064327467,0.012908815247996525,-0.05526082277452891,0.07994967646740306,0.7284,0.719980565615356,0.10393697751078848,0.979515570934256,0.87696
target_label_group,Diabetes - No Diabetes,10,10,boundary_improvement,counterfactual - none,27,19,0.05985875760111111,0.06694770919894737,-0.007088951597836256,-0.046894755443234896,0.03131448196456139,0.7308,0.7321574087443246,-0.10343094304594702,0.979515570934256,0.9766
pair_seen_in_training_group,novel_pair - seen_pair,12,8,attribution_feature_overlap,counterfactual - none,27,19,0.012397119341563779,-0.0005116959064327467,0.012908815247996525,-0.05614444579813733,0.08334778400476495,0.7308,0.719980565615356,0.10393697751078848,0.979515570934256,0.87696
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,success,counterfactual - attribution,27,16,0.1703703703703704,0.14999999999999997,0.020370370370370428,-0.0900520833333333,0.1351967592592592,0.7388,0.7348895376813691,0.10466812188674332,0.979515570934256,0.9235000000000001
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,target_helpful_shap,counterfactual - none,27,19,0.016199122369841275,0.00202670938709273,0.014172412982748545,-0.06941603615581081,0.09304669364271212,0.744,0.742109477792886,0.09978879738755508,0.979515570934256,0.8928
target_label_group,Diabetes - No Diabetes,10,10,confidence_gain,counterfactual - none,27,19,-0.28070529584250703,-0.3167147922907392,0.03600949644823215,-0.18761595779628024,0.2592299575330858,0.7558,0.7541260393195687,0.09219739233056179,0.979515570934256,0.9766
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,success,counterfactual - none,27,19,0.27654320987654324,0.3087719298245614,-0.03222871994801818,-0.2204028589993502,0.15763807667316443,0.7558,0.7452277957904241,-0.09663072765042566,0.979515570934256,0.9566
control_empirical_difficulty_group,control_easy - control_hard,10,10,confidence_gain,counterfactual - attribution,27,16,-0.09309264965527081,-0.11238074282189428,0.01928809316662347,-0.09275568856433711,0.1286932680006665,0.7644,0.7390115845703823,0.09707645328633459,0.979515570934256,0.9362
control_empirical_difficulty_group,control_easy - control_hard,10,10,edit_l1,counterfactual - none,27,19,-0.0015149845306196305,0.00989918780565106,-0.01141417233627069,-0.08524542530882659,0.06047881994065939,0.7742,0.7665954492710237,-0.08184652652116475,0.979515570934256,0.9362
control_empirical_difficulty_group,control_easy - control_hard,10,10,success,counterfactual - attribution,27,16,-0.08888888888888889,-0.11249999999999999,0.023611111111111097,-0.10486689814814819,0.143310185185185,0.7748,0.7226066138030791,0.10329239593563454,0.979515570934256,0.9362
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,target_helpful_shap,attribution - none,16,19,0.061975977892791675,0.08062454184105262,-0.01864856394826095,-0.14159778523942998,0.09930320483648851,0.779,0.7806078208071338,-0.0927210261517269,0.979515570934256,0.9566
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,cf_demo_cosine,counterfactual - attribution,27,16,-0.0591323454290379,-0.04351867233800576,-0.015613673091032142,-0.1291659635587488,0.1050877030816124,0.7848,0.807700355975792,-0.07941919735567954,0.979515570934256,0.9386666666666668
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,cf_demo_cosine,attribution - none,16,19,0.1250402434922729,0.1432571395371743,-0.0182168960449014,-0.1490197820569564,0.11383913212482456,0.7946,0.79585333409289,-0.08872003950690323,0.979515570934256,0.9101379310344828
pair_seen_in_training_group,novel_pair - seen_pair,12,8,target_centroid_progress,counterfactual - attribution,27,16,-0.10407278667080133,-0.09393033647968968,-0.010142450191111652,-0.07496713042438818,0.05285067884202961,0.7966,0.7703650556402976,-0.08300953887793082,0.979515570934256,0.9162857142857143
design_cluster_group,cluster_1 - cluster_2,10,10,success,counterfactual - none,27,19,-0.037037037037037035,-0.02105263157894736,-0.015984405458089674,-0.12769493177387914,0.0955604288499023,0.8016,0.7817953449288773,-0.08358185512122542,0.979515570934256,0.9212
nearest_same_training_distance_bucket,far_training - near_training,10,10,target_centroid_progress,counterfactual - none,27,19,-0.010596819687752345,-0.003944313057920524,-0.006652506629831821,-0.06749506905652727,0.051189242549346266,0.8136,0.8270837030164847,-0.0670067119982717,0.979515570934256,0.8743448275862068
nearest_same_training_distance_bucket,far_training - near_training,10,10,success,counterfactual - none,27,19,0.037037037037037035,0.02105263157894737,0.015984405458089664,-0.09181286549707604,0.11991228070175422,0.816,0.773097975979069,0.08151080710475303,0.979515570934256,0.8743448275862068
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,edit_l1,counterfactual - attribution,27,16,-0.06845452747936916,-0.047566439940793764,-0.020888087538575392,-0.17109269603818972,0.13017672511910866,0.8202,0.7998838270653639,-0.06660683493631614,0.979515570934256,0.9566
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,attribution_feature_overlap,counterfactual - attribution,27,16,0.03115226337448559,0.015902777777777776,0.015249485596707815,-0.1293002829218107,0.1622188143004115,0.8218,0.8434000760940094,0.06693747164612296,0.979515570934256,0.9566
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,success,attribution - none,16,19,0.3333333333333333,0.3087719298245614,0.024561403508771895,-0.15572368421052635,0.20439144736842096,0.8236,0.8016657982205581,0.08171603446871192,0.979515570934256,0.9566
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.03115226337448559,0.015902777777777776,0.015249485596707815,-0.13282510288065844,0.16211599794238676,0.827,0.8434000760940094,0.06693747164612296,0.979515570934256,0.9566
control_empirical_difficulty_group,control_easy - control_hard,10,10,success,counterfactual - none,27,19,-0.08888888888888889,-0.07368421052631578,-0.01520467836257311,-0.13664717348927877,0.1000097465886939,0.8316,0.802627139796701,-0.06934349404688038,0.979515570934256,0.9362
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,cf_demo_feature_jaccard,attribution - none,16,19,0.015902777777777776,-0.0001754385964912292,0.016078216374269004,-0.1380532711988304,0.1615136147660819,0.8318,0.8427017417642231,0.06820364630664891,0.979515570934256,0.9566
design_cluster_group,cluster_1 - cluster_2,10,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.006234567901234562,0.024062499999999997,-0.017827932098765435,-0.1695674189814815,0.13652208719135797,0.8352,0.823563612499144,-0.06870542145021291,0.979515570934256,0.9212
nearest_same_training_distance_bucket,far_training - near_training,10,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,-0.00709876543209876,0.007187500000000006,-0.014286265432098766,-0.1382579089506173,0.11350549768518518,0.8354,0.8308514875500198,-0.06497860124230474,0.979515570934256,0.8743448275862068
design_cluster_group,cluster_1 - cluster_2,10,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.006234567901234562,0.024062499999999997,-0.017827932098765435,-0.16774228395061727,0.1372403549382715,0.8354,0.823563612499144,-0.06870542145021291,0.979515570934256,0.9212
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,confidence_gain,attribution - none,16,19,0.12241239588060572,0.13680528282863394,-0.014392886948028219,-0.1468408880907676,0.1127055030784797,0.8414,0.830288968507214,-0.07110410653346284,0.979515570934256,0.9386666666666668
nearest_same_training_distance_bucket,far_training - near_training,10,10,attribution_feature_overlap,counterfactual - attribution,27,16,-0.00709876543209876,0.007187500000000006,-0.014286265432098766,-0.1476822916666667,0.10970756172839506,0.8416,0.8308514875500198,-0.06497860124230474,0.979515570934256,0.8743448275862068
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,attribution_feature_overlap,attribution - none,16,19,0.015902777777777776,-0.0001754385964912292,0.016078216374269004,-0.140296600877193,0.15949972587719294,0.8428,0.8427017417642231,0.06820364630664891,0.979515570934256,0.9566
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,target_centroid_progress,counterfactual - attribution,27,16,0.010440514896360484,0.024764928195896246,-0.014324413299535762,-0.1403935241777058,0.11181154571733935,0.843,0.8338651072990684,-0.0633210084696809,0.979515570934256,0.9924
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,target_centroid_progress,counterfactual - attribution,27,16,-0.09818241361828053,-0.08928541813625733,-0.008896995482023204,-0.09071956643285257,0.07941727858694556,0.8448,0.8455415610281636,-0.06113744684254691,0.979515570934256,0.9386666666666668
nearest_same_training_distance_bucket,far_training - near_training,10,10,target_helpful_shap,counterfactual - attribution,27,16,-0.007792881014074071,-0.014452700138312485,0.006659819124238415,-0.06501516477645085,0.0709534590901475,0.8452,0.8494872726897096,0.05417979295141583,0.979515570934256,0.8743448275862068
pair_seen_in_training_group,novel_pair - seen_pair,12,8,boundary_improvement,attribution - none,16,19,-0.007023751555208336,-0.004763647688815787,-0.002260103866392549,-0.023503128162713133,0.02120337233848509,0.8508,0.8518685742997796,-0.06120485923855709,0.979515570934256,0.9162857142857143
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,boundary_new,counterfactual - none,27,19,-0.05906376661679013,-0.054054113041052634,-0.005009653575737495,-0.0578082128781839,0.050199533751631234,0.851,0.8574303471941112,-0.055196561009673246,0.979515570934256,0.9566
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,boundary_improvement,counterfactual - none,27,19,-0.13785250418987655,-0.14286215776561403,0.005009653575737488,-0.04637277614057926,0.05545929604070268,0.8534,0.8574303471941113,0.05519656100967318,0.979515570934256,0.9566
pair_seen_in_training_group,novel_pair - seen_pair,12,8,boundary_new,attribution - none,16,19,0.004596600130208334,0.0023364962638157865,0.0022601038663925474,-0.021503625038376842,0.02385940394529364,0.8552,0.8518685742997797,0.06120485923855705,0.979515570934256,0.9162857142857143
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,confidence_gain,attribution - none,16,19,0.2965629926870448,0.279045513180075,0.017517479506969802,-0.17006048059312934,0.1987101224091024,0.8582,0.8544179965652949,0.060263363990797195,0.979515570934256,0.9566
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,cf_demo_cosine,counterfactual - attribution,27,16,0.13519638141882326,0.1250402434922729,0.010156137926550346,-0.11549063826500526,0.13994152294758258,0.8668,0.8809744514783061,0.04968300379526193,0.979515570934256,0.9101379310344828
control_empirical_difficulty_group,control_easy - control_hard,10,10,cf_demo_cosine,counterfactual - attribution,27,16,-0.009292052551515719,0.0007736870128293889,-0.010065739564345108,-0.11148061066806775,0.08651196729253345,0.8672,0.8524547396249023,-0.0550601870320609,0.979515570934256,0.9362
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,target_helpful_shap,counterfactual - none,27,19,0.06845389360098768,0.08062454184105262,-0.012170648240064946,-0.14792007279854122,0.115074147608341,0.868,0.8600454397720022,-0.049764904572829276,0.979515570934256,0.9566
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,target_centroid_progress,counterfactual - none,27,19,0.010440514896360484,-0.0010170026778205373,0.01145751757418102,-0.10717647949857524,0.13363025549838095,0.8696,0.8542661036124121,0.05241615432368354,0.979515570934256,0.9924
control_empirical_difficulty_group,control_easy - control_hard,10,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.006851851851851842,-0.0009374999999999974,0.007789351851851839,-0.0747799961419753,0.09085734953703699,0.87,0.8590471072798089,0.052694162047241574,0.979515570934256,0.9362
control_empirical_difficulty_group,control_easy - control_hard,10,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.006851851851851842,-0.0009374999999999974,0.007789351851851839,-0.06852816358024692,0.09170582561728392,0.8732,0.8590471072798089,0.052694162047241574,0.979515570934256,0.9362
target_label_group,Diabetes - No Diabetes,10,10,target_helpful_shap,attribution - none,16,19,-0.12865390568081247,-0.11432583698999998,-0.01432806869081249,-0.18803263956418775,0.1693965921599645,0.8734,0.8736476895924078,-0.05239643373079434,0.979515570934256,0.9766
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,confidence_gain,counterfactual - none,27,19,0.12817113052532184,0.13680528282863394,-0.008634152303312104,-0.11923779915018112,0.1023582082463705,0.8766,0.8826737263209643,-0.044908935880737647,0.979515570934256,0.9392142857142858
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,confidence_gain,counterfactual - attribution,27,16,-0.07056566241421071,-0.07784110791185572,0.007275445497645014,-0.07591565960697323,0.09207765292696753,0.8778,0.8688608051945612,0.04892375976394436,0.979515570934256,0.9101379310344828
target_label_group,Diabetes - No Diabetes,10,10,cf_demo_feature_jaccard,attribution - none,16,19,-0.06760416666666666,-0.06008771929824562,-0.007516447368421039,-0.1030407072368421,0.09343119517543856,0.8796,0.8840435332937938,-0.04875579531599972,0.979515570934256,0.9766
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,cf_demo_cosine,counterfactual - none,27,19,0.13519638141882326,0.1432571395371743,-0.008060758118351052,-0.1088990981176538,0.09356747503165472,0.8798,0.8798960745714812,-0.044359145123509636,0.979515570934256,0.9101379310344828
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,success,attribution - none,16,19,-0.020833333333333322,-0.032581453634085204,0.011748120300751883,-0.12206688596491226,0.1370731516290726,0.8854,0.8660120894685946,0.055747537987914104,0.979515570934256,0.9812
target_label_group,Diabetes - No Diabetes,10,10,attribution_feature_overlap,attribution - none,16,19,-0.06760416666666666,-0.06008771929824562,-0.007516447368421039,-0.09864226973684206,0.09051959978070173,0.8856,0.8840435332937938,-0.04875579531599972,0.979515570934256,0.9766
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,target_centroid_progress,counterfactual - none,27,19,-0.13259254319055222,-0.13647869174987534,0.0038861485593231215,-0.05023604563220277,0.06352958270699727,0.8916,0.8962763431514584,0.038248777755027004,0.979515570934256,0.9812
design_cluster_group,cluster_1 - cluster_2,10,10,confidence_gain,counterfactual - none,27,19,-0.005562205431247731,0.00039758788399758463,-0.005959793315245316,-0.09667276992943435,0.07928112647345793,0.8974,0.8990920964238062,-0.036541494650670046,0.979515570934256,0.9212
design_cluster_group,cluster_1 - cluster_2,10,10,boundary_new,counterfactual - none,27,19,0.04231380159703703,0.0405429009836842,0.0017709006133528257,-0.030495703501643764,0.031883760833373305,0.9032,0.9139486746554455,0.032618623429307374,0.979515570934256,0.9212
target_label_group,Diabetes - No Diabetes,10,10,target_helpful_shap,counterfactual - none,27,19,-0.12518535654296295,-0.11432583698999998,-0.010859519552962965,-0.1790485542633241,0.15929135725779817,0.905,0.9036839934118965,-0.03522679196696298,0.979515570934256,0.9766
design_cluster_group,cluster_1 - cluster_2,10,10,boundary_improvement,counterfactual - none,27,19,0.08974816201296296,0.09151906262631578,-0.0017709006133528188,-0.0313100085942305,0.0287799667654332,0.9102,0.9139486746554457,-0.03261862342930725,0.979515570934256,0.9212
control_empirical_difficulty_group,control_easy - control_hard,10,10,cf_demo_feature_jaccard,counterfactual - none,27,19,0.006851851851851842,0.00236842105263159,0.004483430799220252,-0.06815618908382068,0.07406749512670562,0.9126,0.9017259638757289,0.0334535493791107,0.979515570934256,0.9362
control_empirical_difficulty_group,control_easy - control_hard,10,10,attribution_feature_overlap,counterfactual - none,27,19,0.006851851851851842,0.00236842105263159,0.004483430799220252,-0.06404629629629631,0.07063539636127344,0.9156,0.9017259638757289,0.0334535493791107,0.979515570934256,0.9362
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,cf_demo_cosine,attribution - none,16,19,-0.11049604951980645,-0.11903882316246062,0.00854277364265417,-0.14418800393302514,0.15530068236779607,0.916,0.9136489785334333,0.03564688098493905,0.979515570934256,0.9924
target_label_group,Diabetes - No Diabetes,10,10,target_centroid_progress,counterfactual - attribution,27,16,0.018073624413117564,0.0071782986383893965,0.010895325774728168,-0.1809612570441008,0.20711117152445366,0.9166,0.9159483393022261,0.034258014237120965,0.979515570934256,0.9766
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,confidence_gain,counterfactual - attribution,27,16,0.12817113052532184,0.12241239588060572,0.005758734644716115,-0.09599626122371852,0.12447095515009438,0.9202,0.9217960598745876,0.03117782234596212,0.979515570934256,0.9436
design_cluster_group,cluster_1 - cluster_2,10,10,edit_l1,counterfactual - attribution,27,16,0.036568816063936686,0.032219538939196865,0.004349277124739821,-0.06367803511243333,0.07654324649779512,0.9212,0.9096870279306692,0.031110148905110296,0.979515570934256,0.9212
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,success,counterfactual - attribution,27,16,-0.1037037037037037,-0.11249999999999998,0.008796296296296274,-0.08194444444444446,0.09677083333333325,0.9214,0.8512374800451694,0.053519933745135806,0.979515570934256,0.9214
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,target_helpful_shap,counterfactual - attribution,27,16,0.06845389360098768,0.061975977892791675,0.006477915708196003,-0.12696765205125424,0.14291696174103702,0.9218,0.926565318913621,0.02646863205039366,0.979515570934256,0.9566
control_empirical_difficulty_group,control_easy - control_hard,10,10,attribution_feature_overlap,attribution - none,16,19,-0.0009374999999999974,0.00236842105263159,-0.0033059210526315873,-0.07753632127192982,0.06298368969298243,0.9314,0.9310833357913089,-0.02983451983791669,0.979515570934256,0.9362
nearest_same_training_distance_bucket,far_training - near_training,10,10,confidence_gain,counterfactual - none,27,19,0.002863545377321828,-0.001067075716629185,0.003930621093951013,-0.08857768996351087,0.08454205009192663,0.9346,0.9294986327219015,0.024057693768592365,0.979515570934256,0.9346
control_empirical_difficulty_group,control_easy - control_hard,10,10,cf_demo_feature_jaccard,attribution - none,16,19,-0.0009374999999999974,0.00236842105263159,-0.0033059210526315873,-0.08039254385964913,0.06278604714912278,0.9358,0.9310833357913089,-0.02983451983791669,0.979515570934256,0.9362
control_empirical_difficulty_group,control_easy - control_hard,10,10,confidence_gain,counterfactual - none,27,19,-0.09309264965527081,-0.0886453704303134,-0.004447279224957412,-0.10977274557012702,0.0957032756669133,0.9362,0.93287135337413,-0.023364281927660217,0.979515570934256,0.9362
target_label_group,Diabetes - No Diabetes,10,10,success,counterfactual - none,27,19,-0.2814814814814815,-0.29473684210526313,0.013255360623781631,-0.21660818713450292,0.240190058479532,0.9404,0.9127863552616422,0.032363612220016054,0.979515570934256,0.9766
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,target_centroid_progress,counterfactual - none,27,19,-0.13740639326335888,-0.13170716089656084,-0.005699232366798035,-0.15588386439047916,0.15680919485912012,0.9418,0.9434529038355044,-0.021383042776824686,0.979515570934256,0.9566
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,success,counterfactual - none,27,19,0.1703703703703704,0.17894736842105266,-0.008576998050682266,-0.13276315789473686,0.123606237816764,0.9436,0.899303327148011,-0.039075118151486024,0.979515570934256,0.9436
exogenous_geometry_k2,geometry_1 - geometry_2,15,5,cf_demo_cosine,counterfactual - none,27,19,-0.03925469864331438,-0.044370811486204385,0.005116112842890007,-0.18631520709574292,0.19129325330265468,0.9566,0.9587837540713164,0.015151530710749726,0.9852203389830508,0.9566
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,confidence_gain,attribution - none,16,19,-0.053184316919832955,-0.04997843576438016,-0.003205881155452797,-0.11814973243289108,0.10812621590752992,0.957,0.9571603019330548,-0.017873906384811355,0.9852203389830508,0.9812
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,boundary_new,counterfactual - none,27,19,0.005713552570370365,0.00695194040588236,-0.0012383878355119952,-0.05292105527810324,0.04901879810696919,0.9592,0.9628519395814269,-0.014478034624390155,0.9852203389830508,0.9924
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,boundary_improvement,counterfactual - none,27,19,0.0962229251217865,0.09498453728627451,0.0012383878355119865,-0.05070065520649503,0.05131492232599748,0.967,0.9628519395814272,0.014478034624390054,0.9852203389830508,0.9924
pair_seen_in_training_group,novel_pair - seen_pair,12,8,confidence_gain,attribution - none,16,19,-0.050700221706542536,-0.04840270558554367,-0.002297516120998863,-0.12385790669537149,0.12256145980390079,0.9684,0.9718502900249835,-0.011933219597944465,0.9852203389830508,1.0
target_label_group,Diabetes - No Diabetes,10,10,target_helpful_shap,counterfactual - attribution,27,16,-0.12518535654296295,-0.12865390568081247,0.003468549137849525,-0.15549794457364355,0.1787225636470717,0.9688,0.9679715421916212,0.01172031602495164,0.9852203389830508,0.9766
target_label_group,Diabetes - No Diabetes,10,10,cf_demo_cosine,attribution - none,16,19,-0.12184104679225818,-0.12528250055188309,0.0034414537596249017,-0.22958358726736663,0.24372111100214017,0.9766,0.9779414616298167,0.009125423041681398,0.9877852348993289,0.9766
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,boundary_improvement,counterfactual - none,27,19,0.03908380072954145,0.03939102286541354,-0.00030722213587208724,-0.021649392116163218,0.022690513629749595,0.98,0.9794141836823633,-0.007498871978381224,0.9877852348993289,0.9812
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,boundary_new,counterfactual - none,27,19,-0.01395072378430335,-0.014257945920175439,0.000307222135872089,-0.02167978942204654,0.02318161399337348,0.9812,0.9794141836823633,0.007498871978381268,0.9877852348993289,0.9812
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,confidence_gain,counterfactual - none,27,19,-0.3220702501919368,-0.32278816729018756,0.0007179170982507532,-0.14133802059830286,0.14557824862211238,0.9924,0.9923077462761187,0.0027434816796666813,0.9957190635451504,0.9924
