context,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_within_context
exclude_fast_under_10s,confidence_gain,counterfactual - attribution,23,14,0.45719735372082365,0.5590088994392818,-0.10181154571845813,-0.21323088380137262,0.001325071854861863,0.08525,0.07246864473348867,-0.571126566290192,-0.10181154571845813,0.8627777777777778
exclude_fast_under_10s,success,counterfactual - attribution,23,14,0.4673913043478261,0.5714285714285714,-0.10403726708074529,-0.21664208074534153,0.00528726708074535,0.10575,0.08098775558328032,-0.5482299057125526,-0.10403726708074529,0.8627777777777778
exclude_fast_under_10s,cf_demo_cosine,counterfactual - attribution,23,14,0.300784498243085,0.4183135638215538,-0.11752906557846882,-0.26875446368931266,0.038802134704639356,0.16,0.1472139388987818,-0.46881384510514856,-0.11752906557846882,0.8627777777777778
exclude_fast_under_10s,cf_demo_cosine,counterfactual - none,23,19,0.300784498243085,0.3944997383680535,-0.09371524012496851,-0.2252234988996525,0.038076968117152374,0.2,0.1833013017911879,-0.3988162914065745,-0.09371524012496851,0.8627777777777778
exclude_fast_under_10s,success,counterfactual - none,23,19,0.4673913043478261,0.5473684210526316,-0.0799771167048055,-0.21327803203661327,0.04420194508009139,0.25825,0.2568769191305306,-0.355353047152221,-0.0799771167048055,0.8627777777777778
exclude_fast_under_10s,boundary_improvement,attribution - none,14,19,0.007056274523928573,-0.014446482149473682,0.021502756673402255,-0.008602377843690317,0.05546678661745442,0.26575,0.20979603100496438,0.3906503779748437,0.021502756673402255,0.8627777777777778
exclude_fast_under_10s,confidence_gain,counterfactual - none,23,19,0.45719735372082365,0.5271325089183146,-0.069935155197491,-0.202218180691946,0.055014152391469694,0.27275,0.2992669586418039,-0.32637222807983307,-0.069935155197491,0.8627777777777778
exclude_fast_under_10s,boundary_new,attribution - none,14,19,0.11582127107107142,0.1373240277444737,-0.021502756673402276,-0.05703485977650848,0.008668727590369853,0.27425,0.20979603100496394,-0.3906503779748441,0.021502756673402276,0.8627777777777778
exclude_fast_under_10s,target_helpful_shap,counterfactual - none,23,19,0.2767262506986956,0.32878786659552633,-0.052061615896830726,-0.1666093055375037,0.06170414343403894,0.371,0.40384668086518793,-0.2670151184812574,-0.052061615896830726,0.8627777777777778
exclude_fast_under_10s,boundary_improvement,counterfactual - attribution,23,14,-0.008576260659565217,0.007056274523928573,-0.01563253518349379,-0.04210799296458657,0.006543405972496869,0.37225,0.24980059730584547,-0.32271791041220294,-0.01563253518349379,0.8627777777777778
exclude_fast_under_10s,boundary_new,counterfactual - attribution,23,14,0.13145380625456518,0.11582127107107142,0.015632535183493765,-0.0077512677784177635,0.04169685196314013,0.37775,0.24980059730584642,0.3227179104122024,-0.015632535183493765,0.8627777777777778
exclude_fast_under_10s,target_centroid_progress,counterfactual - attribution,23,14,-0.001764651028210592,0.09391862257822844,-0.09568327360643904,-0.2641717957249995,0.03846690440494303,0.3805,0.23863864325037654,-0.33036952991425445,-0.09568327360643904,0.8627777777777778
exclude_fast_under_10s,target_centroid_progress,attribution - none,14,19,0.09391862257822844,0.04967514173390882,0.04424348084431962,-0.06784807085193986,0.1567998020985335,0.50525,0.4515712133843227,0.24592443093927863,0.04424348084431962,0.8627777777777778
exclude_fast_under_10s,edit_l1,attribution - none,14,19,0.4861610327838868,0.5489133379435056,-0.06275230515961883,-0.234399356804418,0.09693814887023444,0.5205,0.4871284035941549,-0.22212804106840855,0.06275230515961883,0.8627777777777778
