moderator,level,n_instances,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_global,q_within_moderator
nearest_demo_pair_match_group,pair_matches_nearest_demo,6,edit_l1,attribution - none,16,19,0.5056099954445687,0.5696594515762412,-0.06404945613167246,-0.2521768511765856,0.09774456048905358,0.5076666666666667,0.4946487344737708,-0.21998979193156182,0.06404945613167246,1.0,0.9219607843137254
prediction_confidence_bucket,higher_confidence,10,boundary_improvement,counterfactual - none,27,19,0.05209400361037037,0.03889780631526316,0.01319619729510721,-0.02453417701009064,0.052308830457889366,0.5076666666666667,0.5225322547410625,0.19928568564934235,0.01319619729510721,1.0,0.9017647058823529
prediction_confidence_bucket,higher_confidence,10,boundary_new,counterfactual - none,27,19,0.14205907789962963,0.1552552751947368,-0.013196197295107182,-0.05329244473302487,0.024884427619812844,0.5086666666666667,0.5225322547410634,-0.19928568564934193,0.013196197295107182,1.0,0.9017647058823529
target_label_group,Diabetes,10,confidence_gain,counterfactual - none,27,19,0.31797313618830786,0.368775112772945,-0.05080197658463714,-0.21251113189502657,0.10438711293015414,0.5093333333333333,0.5402931463676282,-0.19333735424188983,-0.05080197658463714,1.0,0.9114893617021276
original_boundary_distance_bucket,farther_original_boundary,10,edit_l1,counterfactual - none,27,19,0.5670050081344853,0.6328923441381743,-0.06588733600368901,-0.2732605270804969,0.1371645508279933,0.51,0.5370137016866035,-0.1953428579547876,0.06588733600368901,1.0,0.8742857142857143
exogenous_geometry_k2,geometry_1,15,edit_l1,attribution - none,16,19,0.44882811658649624,0.5029334099120385,-0.05410529332554226,-0.20504123951234204,0.0953367901340415,0.51,0.5024566743917247,-0.21755228456881842,0.05410529332554226,1.0,0.946923076923077
control_empirical_difficulty_group,control_easy,10,success,counterfactual - attribution,27,16,0.4296296296296297,0.48124999999999996,-0.05162037037037026,-0.18994791666666658,0.09342013888888882,0.5106666666666667,0.4918620819686529,-0.2167486231898032,-0.05162037037037026,1.0,0.9422222222222222
prediction_confidence_bucket,higher_confidence,10,target_helpful_shap,attribution - none,16,19,0.27410983113875,0.31589999954263154,-0.041790168403881556,-0.16802641323429438,0.08028994855945312,0.511,0.5140006416238068,-0.2109021276185994,-0.041790168403881556,1.0,0.9017647058823529
design_cluster_group,cluster_2,10,edit_l1,counterfactual - attribution,27,16,0.5039632788082441,0.4446099571020963,0.05935332170614782,-0.07523339709242859,0.21509612358445115,0.5116666666666667,0.42223485824175755,0.2230733794324624,-0.05935332170614782,1.0,0.886923076923077
control_empirical_difficulty_group,control_easy,10,target_centroid_progress,attribution - none,16,19,0.07429748297482439,0.03382349752099455,0.04047398545382984,-0.06739366446742115,0.1550793425474877,0.5233333333333333,0.4973544436722437,0.2205750453437602,0.04047398545382984,1.0,0.9422222222222222
target_label_group,Diabetes,10,edit_l1,counterfactual - none,27,19,0.5245478632962522,0.5923996622514816,-0.0678517989552293,-0.28696080540441904,0.13837135558313177,0.5246666666666666,0.5425041061555607,-0.19590650336298238,0.0678517989552293,1.0,0.9114893617021276
