strategy,n,mean_edit_L1,median_edit_L1,success_rate,mean_target_probability,mean_exact_boundary_after,median_exact_boundary_after
oracle shown CF,8,0.15379093902073315,0.12128475439183035,1.0,0.6431087843025922,0.014698683185713402,0.00844260491155599
copy moderate λ=2,8,0.1183946475883306,0.1032595790466297,0.75,0.5107208193345808,0.044591309620249084,0.024303448677121295
linear mental model,8,0.11084179452452751,0.04267710618351894,0.375,0.371043363153606,0.051614611706554465,0.04652032647298228
target prototype,8,0.4614932745031722,0.4812135550425447,0.875,0.7932747925732337,0.11412120455133878,0.11256397956816142
