strategy,n,mean_edit_L1,median_edit_L1,success_rate,mean_target_probability,mean_exact_boundary_after,median_exact_boundary_after
copy moderate λ=2,8,0.16912551043223897,0.17682406313755394,1.0,0.6086375408048537,0.0125170046465241,0.004340540454467225
oracle shown CF,8,0.2046660698116172,0.18400349318331405,1.0,0.7794841627790382,0.03741361278043563,0.02495746848119565
linear mental model,8,0.39704884223875087,0.25907507107104844,0.625,0.6014462714514792,0.17307440009415542,0.09588041507040893
target prototype,8,0.6503384944227856,0.6066440237703108,0.75,0.7461359179179741,0.1867876530187294,0.1302905614434323
