aggregation,domain,training explanation condition,strategy,attribute selection method,change amount method,maximum attributes allowed,trials,valid counterfactual rate,valid rate Wilson 95% lower,valid rate Wilson 95% upper,valid and actionable rate,actionable rate,mean actual attributes changed,mean sparsity,mean target confidence,mean target confidence gain,mean proximity,median proximity,mean model-consistent proximity,mean plausibility,mean plausibility subset,mean boundary distance,mean boundary distance change,valid trials,mean proximity valid,mean model-consistent proximity valid,mean plausibility valid,mean plausibility subset valid,mean boundary distance valid,median boundary distance valid,invalid trials,mean remaining boundary distance invalid
domain_xai,diabetes,attribution,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,18,0.05555555555555555,0.009875190978303097,0.25757300781872594,0.05555555555555555,1.0,0.3888888888888889,0.9222222222222223,0.0985291092680022,0.07645374955978969,0.1601453452675679,0.0,0.17222263995355824,0.9812638646422709,0.8862356369140008,0.13908594064680835,0.0014782597971665422,1,0.6336420146797563,0.8510333190275824,0.9504402418216319,0.8834236549754892,0.27451395126418654,0.27451395126418654,17,0.13111958708108024
domain_xai,diabetes,attribution,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,18,0.05555555555555555,0.009875190978303097,0.25757300781872594,0.05555555555555555,1.0,0.3888888888888889,0.9222222222222223,0.0985291092680022,0.07645374955978969,0.1601453452675679,0.0,0.17222263995355824,0.9812638646422709,0.8862356369140008,0.13908594064680835,0.0014782597971665422,1,0.6336420146797563,0.8510333190275824,0.9504402418216319,0.8834236549754892,0.27451395126418654,0.27451395126418654,17,0.13111958708108024
domain_xai,diabetes,attribution,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,18,0.05555555555555555,0.009875190978303097,0.25757300781872594,0.05555555555555555,1.0,0.3888888888888889,0.9222222222222223,0.0985291092680022,0.07645374955978969,0.1601453452675679,0.0,0.17222263995355824,0.9812638646422709,0.8862356369140008,0.13908594064680835,0.0014782597971665422,1,0.6336420146797563,0.8510333190275824,0.9504402418216319,0.8834236549754892,0.27451395126418654,0.27451395126418654,17,0.13111958708108024
domain_xai,diabetes,attribution,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,18,0.16666666666666666,0.05836576805861446,0.39222038103915724,0.16666666666666666,1.0,0.3888888888888889,0.9222222222222223,0.17750958964256391,0.15543422993435138,0.13659560314056066,0.0,0.148672897826551,0.9805171021895008,0.881742163600762,0.16843499994692557,0.03082731909728375,3,0.3863419151128291,0.4588056832287712,0.9448243839812914,0.8766814114405302,0.23125106616026822,0.27451395126418654,15,0.155871786704257
domain_xai,diabetes,attribution,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,18,0.16666666666666666,0.05836576805861446,0.39222038103915724,0.16666666666666666,1.0,0.4444444444444444,0.911111111111111,0.17751129154493425,0.15543593183672166,0.13737761126374046,0.0,0.1494549059497308,0.9803687784634157,0.881898565225398,0.16865038766784465,0.031042706818202856,3,0.3863419151128291,0.4588056832287712,0.9448243839812914,0.8766814114405302,0.23125106616026822,0.27451395126418654,15,0.15613025196935995
domain_xai,diabetes,attribution,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,18,0.16666666666666666,0.05836576805861446,0.39222038103915724,0.16666666666666666,1.0,0.4444444444444444,0.911111111111111,0.17751129154493425,0.15543593183672166,0.13737761126374046,0.0,0.1494549059497308,0.9803687784634157,0.881898565225398,0.16865038766784465,0.031042706818202856,3,0.3863419151128291,0.4588056832287712,0.9448243839812914,0.8766814114405302,0.23125106616026822,0.27451395126418654,15,0.15613025196935995
domain_xai,diabetes,attribution,Nearest target example + example values,Nearest target example,Nearest target-example value,1,18,0.3333333333333333,0.1627877475083369,0.5625053270405489,0.2222222222222222,0.7777777777777778,1.0,0.8000000000000002,0.3825022935706977,0.3604269338624852,0.31120481105739745,0.26266446688143674,0.3389734265155201,0.9548677382244105,0.9346801629788859,0.08066161592903803,-0.05694606492060377,6,0.4123865986208088,0.4123865986208088,0.9491578562743476,0.9321490689451127,0.07112517621968728,0.06426978978609167,12,0.08542983578371338
domain_xai,diabetes,attribution,Nearest target example + example values,Nearest target example,Nearest target-example value,2,18,0.3888888888888889,0.2030524657216362,0.613809583977621,0.2777777777777778,0.6111111111111112,2.0,0.6,0.40857648069689384,0.3865011209886813,0.4772077710719663,0.43034786989953056,0.5170536812160793,0.9610622463977339,0.9645873529790179,0.060696673555760326,-0.07691100729388149,7,0.5444533556743953,0.5661689258586362,0.953433596147186,0.9600641270056575,0.04015221571582545,0.01279233909730465,11,0.07377041945390068
domain_xai,diabetes,attribution,Nearest target example + example values,Nearest target example,Nearest target-example value,3,18,0.6111111111111112,0.3861904160223791,0.7969475342783638,0.3888888888888889,0.6111111111111112,3.0,0.4000000000000001,0.690043649615614,0.6679682899074014,0.5765832950783548,0.520847084527196,0.651996312087692,0.9723728856241638,0.9844624577802956,0.05083368084566838,-0.08677400000397341,11,0.5782229938397889,0.6818632667325383,0.975569453485384,0.9833247178520974,0.06828586390671557,0.06733450694440937,7,0.023408821749737095
domain_xai,diabetes,attribution,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,18,0.2222222222222222,0.09000928108601694,0.45214584316212625,0.16666666666666666,0.8888888888888888,1.0,0.8000000000000002,0.21014389480432252,0.18806853509611005,0.25548629877999296,0.21161140769879155,0.2832549142381156,0.9572451623992174,0.9088537596946024,0.10936966741767042,-0.028238013431971378,4,0.3847338014549958,0.3847338014549958,0.9579562367984118,0.8908054190428188,0.024269308872308604,0.017946762498483343,14,0.1336840555734881
