domain,cluster,total,prediction_0,prediction_1,dominant_feature_pair,selected
diabetes,0,11,8,3,insulin | bmi,0
diabetes,1,35,8,27,glucose | insulin,0
diabetes,2,32,7,25,glucose | age,0
diabetes,3,20,7,13,glucose | blood_pressure,1
diabetes,4,19,5,14,bmi | age,1
diabetes,5,12,5,7,insulin | age,1
diabetes,6,15,9,6,blood_pressure | bmi,0
diabetes,7,21,8,13,glucose | bmi,0
diabetes,8,13,6,7,blood_pressure | age,0
diabetes,9,12,4,8,blood_pressure | insulin,0
