prediction,available,boundary_quantile,shortlisted,maximum_local_boundary_distance,domain,valid_explanation_candidates,failures,failure_reasons
0,135,0.55,75,0.1125414246198572,diabetes,74,1,"{""no_valid_two-feature_counterfactual"": 1}"
1,257,0.55,142,0.14913062619462922,diabetes,136,6,"{""no_valid_two-feature_counterfactual"": 6}"
