domain,cluster,total,prediction_0,prediction_1,selected
diabetes,0,13,4,9,0
diabetes,1,27,10,17,1
diabetes,2,22,6,16,0
diabetes,3,39,8,31,1
diabetes,4,43,8,35,1
diabetes,5,16,7,9,0
diabetes,6,22,9,13,0
diabetes,7,15,11,4,0
diabetes,8,14,7,7,0
diabetes,9,17,10,7,0
