main_pair,total,prediction_0,prediction_1,chosen_subclusters,selected
glucose | insulin,35,8,27,4,1
glucose | age,32,7,25,4,1
glucose | bmi,21,8,13,3,0
glucose | blood_pressure,20,7,13,4,0
bmi | age,19,5,14,2,1
blood_pressure | bmi,15,9,6,2,0
blood_pressure | age,13,6,7,1,0
blood_pressure | insulin,12,4,8,1,0
insulin | age,12,5,7,3,0
insulin | bmi,11,8,3,1,0
