prediction,available,boundary_quantile,shortlisted,maximum_local_boundary_distance,domain,valid_explanation_candidates,failures,failure_reasons
0,135,0.9,122,0.31992657236501765,diabetes,120,2,"{""no_valid_two-feature_counterfactual"": 2}"
1,257,0.9,232,0.2910357274804682,diabetes,223,9,"{""no_valid_two-feature_counterfactual"": 9}"
