domain,cluster,total,prediction_0,prediction_1,selected
diabetes,0,13,4,9,0
diabetes,1,36,7,29,1
diabetes,2,14,6,8,0
diabetes,3,24,9,15,1
diabetes,4,14,7,7,0
diabetes,5,20,5,15,0
diabetes,6,14,10,4,0
diabetes,7,22,9,13,0
diabetes,8,16,9,7,0
diabetes,9,37,8,29,1
