aggregation,domain,training explanation condition,strategy,attribute selection method,change amount method,maximum attributes allowed,trials,valid counterfactual rate,valid rate Wilson 95% lower,valid rate Wilson 95% upper,valid and actionable rate,actionable rate,mean actual attributes changed,mean sparsity,mean target confidence,mean target confidence gain,mean proximity,median proximity,mean model-consistent proximity,mean plausibility,mean plausibility subset,mean boundary distance,mean boundary distance change,valid trials,mean proximity valid,mean model-consistent proximity valid,mean plausibility valid,mean plausibility subset valid,mean boundary distance valid,median boundary distance valid,invalid trials,mean remaining boundary distance invalid
domain_xai,diabetes,attribution,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,12,0.25,0.08894166839405471,0.5323053349335657,0.25,0.6666666666666666,0.8333333333333334,0.8333333333333335,0.3002722762160305,0.2840873488931032,0.3701739499851351,0.25711862007952696,0.37742032679672927,0.9435729438709948,0.8847162815710004,0.08525718459015397,-0.00042145652616616447,3,0.34977163804615147,0.3787571452925283,0.9427464564519656,0.9046698877251315,0.08140855743907649,0.06439073608037005,9,0.08654006030717981
domain_xai,diabetes,attribution,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,12,0.25,0.08894166839405471,0.5323053349335657,0.25,0.6666666666666666,1.0,0.8000000000000002,0.30947372073413243,0.2932887934112052,0.380182756442708,0.25711862007952696,0.3874291332543022,0.9452262498611034,0.8867180428625149,0.0759147672399304,-0.009763873876389738,3,0.34977163804615147,0.3787571452925283,0.9427464564519656,0.9046698877251315,0.08140855743907649,0.06439073608037005,9,0.07408350384021503
domain_xai,diabetes,attribution,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,12,0.25,0.08894166839405471,0.5323053349335657,0.25,0.6666666666666666,1.0,0.8000000000000002,0.30947372073413243,0.2932887934112052,0.380182756442708,0.25711862007952696,0.3874291332543022,0.9452262498611034,0.8867180428625149,0.0759147672399304,-0.009763873876389738,3,0.34977163804615147,0.3787571452925283,0.9427464564519656,0.9046698877251315,0.08140855743907649,0.06439073608037005,9,0.07408350384021503
domain_xai,diabetes,attribution,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,12,0.5,0.2537815976337061,0.7462184023662939,0.5,1.0,0.8333333333333334,0.8333333333333335,0.5203523068641036,0.5041673795411764,0.3562032434374575,0.2476916936365226,0.3562032434374575,0.9343355591139987,0.8584037418553011,0.12413110563238448,0.038452464516064336,6,0.4676191364059576,0.4676191364059576,0.9203353990317478,0.8616333048657266,0.15389217346319312,0.15331478097105788,6,0.09437003780157582
domain_xai,diabetes,attribution,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,12,0.5,0.2537815976337061,0.7462184023662939,0.5,1.0,0.8333333333333334,0.8333333333333335,0.5203523068641036,0.5041673795411764,0.3562032434374575,0.2476916936365226,0.3562032434374575,0.9343355591139987,0.8584037418553011,0.12413110563238448,0.038452464516064336,6,0.4676191364059576,0.4676191364059576,0.9203353990317478,0.8616333048657266,0.15389217346319312,0.15331478097105788,6,0.09437003780157582
domain_xai,diabetes,attribution,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,12,0.5,0.2537815976337061,0.7462184023662939,0.5,1.0,0.8333333333333334,0.8333333333333335,0.5203523068641036,0.5041673795411764,0.3562032434374575,0.2476916936365226,0.3562032434374575,0.9343355591139987,0.8584037418553011,0.12413110563238448,0.038452464516064336,6,0.4676191364059576,0.4676191364059576,0.9203353990317478,0.8616333048657266,0.15389217346319312,0.15331478097105788,6,0.09437003780157582
domain_xai,diabetes,attribution,Nearest target example + example values,Nearest target example,Nearest target-example value,1,12,0.4166666666666667,0.19326031365875665,0.6804886874504503,0.25,0.6666666666666666,1.0,0.8000000000000002,0.39642157626041336,0.38023664893748615,0.40721683155848815,0.3951250351222249,0.4144632083700824,0.9442526249849551,0.9078543327610188,0.1187722578102176,0.03309361669389745,5,0.37358742480752316,0.39097872915534926,0.9401963815150541,0.9150391784320359,0.09835640765562884,0.05131716824617494,7,0.13335500792063812
domain_xai,diabetes,attribution,Nearest target example + example values,Nearest target example,Nearest target-example value,2,12,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.25,0.6666666666666666,2.0,0.5999999999999999,0.43092881338052,0.4147438860575927,0.6577736791196089,0.6891552406457626,0.6795128095543915,0.9633156841843428,0.9538214634280032,0.07261813451289867,-0.013060506603421472,4,0.6341486966226605,0.6558878270574431,0.967765553255046,0.9561209655468913,0.0632873633376164,0.07409973581273002,8,0.0772835201005398
domain_xai,diabetes,attribution,Nearest target example + example values,Nearest target example,Nearest target-example value,3,12,0.6666666666666666,0.39062208887279953,0.8618799089087867,0.16666666666666666,0.3333333333333333,3.0,0.4000000000000001,0.6586587013543356,0.6424737740314084,0.7992844122324817,0.8162481560274129,0.8210235426672643,0.9821236100505777,0.9821236100505777,0.05688722043798337,-0.028791420678336756,8,0.7921041089040546,0.8247128045562285,0.987704629670098,0.987704629670098,0.05553829048089726,0.049143481439736965,4,0.05958508035215564
domain_xai,diabetes,attribution,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,12,0.25,0.08894166839405471,0.5323053349335657,0.16666666666666666,0.5833333333333334,1.0,0.8000000000000002,0.30763952251487275,0.29145459519194555,0.335953932065676,0.30881382496081766,0.3432003088772702,0.9412916155205302,0.90096862523751,0.08592185129361192,0.00024321017729179994,3,0.3607669029217719,0.3897524101681487,0.9404553353561614,0.9029226551261339,0.14591945746804297,0.1338333882383426,9,0.06592264923546826
domain_xai,diabetes,attribution,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,12,0.4166666666666667,0.19326031365875665,0.6804886874504503,0.16666666666666666,0.4166666666666667,2.0,0.5999999999999999,0.3974578266934983,0.38127289937057113,0.5343869022267919,0.5302513182174705,0.5561260326615743,0.9440575766420952,0.9163292587301565,0.06961648675390321,-0.01606215436241693,5,0.6068985439772895,0.6590724570207679,0.9499953796227733,0.9200999133070275,0.030889555525852964,0.03355742451874727,7,0.09727858048822481
