participant,domain,xai,testing cases,model family,k,locked feature,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_5CmrhV8y0KDd2Bn,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.0,nan,0.05,0.0,0.0,1,0,0.3428209977347888,0.3812905937980712,0.06693258926764865,0.95,1.254026586256839,0.3428209977347888,0.3812905937980712,0.06693258926764865,0.95,1.2540265862568387,0
R_5ESvZIgNxcvxeND,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.5,1.0,0.0,nan,nan,1,0,0.3401701879945809,0.5165518357919152,0.19689221178107724,0.55,0.9764731647138826,0.34017018799458093,0.5165518357919154,0.19689221178107721,0.55,0.9764731647138827,1
R_5ESvZIgNxcvxeND,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.05,6.0,0.0,1,0,0.4140813283501433,0.31516368109607196,0.14332633779635856,0.9,1.5601646590966005,0.4140813283501433,0.31516368109607196,0.14332633779635856,0.9,1.5601646590966007,0
R_5q8160XAWyn72dP,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.0,0.0,nan,nan,1,0,0.43248688848693656,0.3755013627910234,0.24047513976489662,0.6,1.2777470298829028,0.43248688848693656,0.3755013627910235,0.2404751397648966,0.6,1.2777470298829028,1
R_5q8160XAWyn72dP,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,0.0,0.0,1,0,0.4423620680130117,0.29647621774063565,0.1812003537666591,0.7,1.617684390863237,0.4423620680130118,0.2964762177406356,0.1812003537666591,0.7,1.617684390863237,0
R_6Lp2YXeB5McOWhk,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,1.0,1.0,0.0,nan,nan,1,0,0.5107138294486505,0.26146159098742433,0.28288924988472547,0.5,1.353610471911639,0.5187062200482901,0.25777564083205606,0.2951880809286366,0.5,1.3712311208248829,1
R_6Lp2YXeB5McOWhk,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.1,0.0,1.0,1,0,0.5190828181621037,0.26209208005708795,0.3002577163812955,0.5,1.3529693827245555,0.5078346727927912,0.19864669851170538,0.21431604409728763,0.8,1.8401014598631058,0
R_6RqEVVH9tSBi8ex,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.5,1.0,0.25,nan,nan,1,0,0.24961132561814248,0.6627520722295924,0.16197472346587746,1.0,0.6201353740367217,0.2527797945407156,0.6627520722295925,0.16831166131102365,1.0,0.6201353740367219,1
R_6RqEVVH9tSBi8ex,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.0,6.0,0.0,1,0,0.47268048608328933,0.2884983361089205,0.23385930827549917,0.75,1.632257804989608,0.47268048608328933,0.2884983361089205,0.23385930827549917,0.75,1.632257804989608,0
R_6dgvDYKwNASMYJF,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.0,0.15,nan,nan,1,0,0.3620639066895143,0.44105579392706284,0.1651836073060915,0.95,1.0414430708167202,0.36206390668951427,0.44105579392706284,0.1651836073060915,0.95,1.0414430708167202,1
R_6dgvDYKwNASMYJF,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.1,0.0,0.0,1,0,0.35811464595156206,0.37383030448920457,0.09005959639232888,0.95,1.287964705178208,0.35811464595156217,0.3738303044892047,0.09005959639232888,0.95,1.287964705178208,0
R_7fkaVj6Cj5a5aHy,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,1.0,0.1,nan,nan,1,0,0.41459425523061294,0.3109165188253036,0.1401050292865296,1.0,1.2112976766547194,0.4195364734917694,0.30933060665344486,0.1484035536369836,1.0,1.3140946399853055,1
R_7fkaVj6Cj5a5aHy,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.1,0.0,0.0,1,0,0.4883912686293983,0.18667442633720543,0.1634569635960021,0.7,2.1277395338601806,0.5014673774033485,0.18667442633720543,0.1896091811439022,0.7,2.1277395338601806,0
R_7xvkPIyyZNbbKa5,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.0,0.0,nan,nan,1,0,0.5006999857963634,0.2969690504718663,0.2983690220645931,0.55,1.5097486615829103,0.5083800885728101,0.28343228452852964,0.30019246167415004,0.6,1.5593930175560924,1
R_7xvkPIyyZNbbKa5,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,0.0,0.0,1,0,0.52184348145301,0.2538448219989446,0.29753178490496446,0.5,1.8813845590601097,0.5251993721095992,0.2434502669586014,0.2938490111778,0.5,1.9246850836802536,0
