instance id,original label,target label,abs original boundary distance,nearest training distance,attribution n,counterfactual n,attribution success,counterfactual success,success difference (attribution - counterfactual),success Fisher p,attribution confidence change,counterfactual confidence change,confidence difference (attribution - counterfactual),confidence Welch p,attribution sparsity,counterfactual sparsity,sparsity difference (attribution - counterfactual),attribution edit distance,counterfactual edit distance,edit distance difference (attribution - counterfactual),attribution plausibility,counterfactual plausibility,plausibility difference (attribution - counterfactual),designed CF normalized L1,designed CF max normalized change,designed CF changed features,designed CF includes age,attribution-CF feature overlap (Jaccard),attribution top-two separation,designed CF feature pair,success Fisher FDR,confidence Welch FDR,same advantage direction
130200,Diabetes,No Diabetes,0.286697883011,0.955448967126,16,18,0.75,0.7222222222222222,0.02777777777777779,1.0,0.7995148654403978,0.6854384111276765,0.1140764543127214,0.39464958629254254,0.6125,0.6666666666666667,-0.054166666666666696,0.7429049409792436,0.5668058729865555,0.17609906799268815,0.9142073732383125,0.9145656119534444,-0.00035823871513196437,0.3631667716007113,0.2550586634926032,2,1,1.0,0.12828023389563667,glucose|age,1.0,0.8395089530380501,True
130201,Diabetes,No Diabetes,0.0940984262114,0.791586553959,16,18,0.875,0.9444444444444444,-0.06944444444444442,0.5909090909090908,0.5124183923329875,0.5011342241525556,0.011284168180431875,0.8846135922238874,0.7375,0.6555555555555554,0.0819444444444446,0.36609744636081254,0.5017899908441668,-0.13569254448335422,0.9563941324810625,0.9420640764013888,0.014330056079673748,0.2080911041972086,0.10810810810810811,2,1,1.0,0.006969551097352533,glucose|age,0.9846044719575696,0.8846135922238874,False
130202,Diabetes,No Diabetes,0.241488448855,0.935276574075,16,18,0.625,0.5555555555555556,0.06944444444444442,0.7384533539681772,0.6491390421116333,0.5185142959683678,0.13062474614326547,0.397590536857205,0.6375,0.6333333333333333,0.004166666666666652,0.661867109704375,0.5376173847300556,0.12424972497431941,0.9271646073965001,0.9215070129390556,0.005657594457444515,0.38867263794997164,0.28056452984186353,2,1,1.0,0.1673651826313156,glucose|age,0.9846044719575696,0.8395089530380501,True
130203,Diabetes,No Diabetes,0.0395820491408,0.598632282219,16,18,0.875,0.7777777777777778,0.09722222222222221,0.660228536758014,0.789528163225375,0.7501796718645646,0.03934849136081042,0.7547374487057001,0.7,0.6777777777777777,0.022222222222222254,0.34771010336514996,0.34312022928587776,0.004589874079272194,0.94403006672825,0.9467757778511666,-0.002745711122916661,0.2080911041972086,0.10810810810810811,2,1,1.0,0.10841324322512816,glucose|age,0.9846044719575696,0.8395089530380501,True
130204,Diabetes,No Diabetes,0.0501717968156,0.633650713756,16,18,0.875,0.7777777777777778,0.09722222222222221,0.660228536758014,0.8257185804991876,0.7901505431872623,0.03556803731192526,0.755558057734245,0.65,0.6222222222222222,0.02777777777777779,0.3095723690996688,0.28728379569114443,0.02228857340852436,0.9549603617996875,0.9544189207378889,0.0005414410617985421,0.2080911041972086,0.10810810810810811,2,1,1.0,0.17976387794999726,glucose|age,0.9846044719575696,0.8395089530380501,True
130205,Diabetes,No Diabetes,0.0694160122822,1.01855761019,16,18,0.875,0.7777777777777778,0.09722222222222221,0.660228536758014,0.800674553799875,0.6133255785996501,0.18734897520022487,0.06336607579794194,0.6499999999999999,0.6222222222222222,0.02777777777777768,0.74776144688575,0.66417164501635,0.08358980186940002,0.934727987395625,0.9314988696926112,0.0032291177030138174,0.19997887169744794,0.09999587560834758,2,0,1.0,0.03800196647386733,glucose|insulin,0.9846044719575696,0.8395089530380501,True
130206,Diabetes,No Diabetes,0.171593825809,1.12198339289,16,18,0.375,0.5,-0.125,0.5096000386903321,0.3926262599090318,0.5070647496545067,-0.11443848974547483,0.46721347158430526,0.625,0.6,0.025000000000000022,0.5470949462856001,0.5212426596458056,0.025852286639794442,0.9204600975186875,0.9250480969571667,-0.004587999438479207,0.3371355160923994,0.23715252000329903,2,0,1.0,0.034466287718163235,glucose|insulin,0.9846044719575696,0.8395089530380501,True
130207,Diabetes,No Diabetes,0.0370720218454,0.450400802017,16,18,0.875,0.7777777777777778,0.09722222222222221,0.660228536758014,0.7429342019336624,0.6980866883031056,0.044847513630556834,0.6757886580752215,0.65,0.6666666666666666,-0.016666666666666607,0.3438871633962719,0.3062072825941,0.03767988080217188,0.95924027712575,0.9617822146169444,-0.002541937491194357,0.19997887169744805,0.09999587560834756,2,0,1.0,0.027578498302866267,glucose|insulin,0.9846044719575696,0.8395089530380501,True
130208,Diabetes,No Diabetes,0.0494207684488,0.61710862412,16,18,0.875,0.8333333333333334,0.04166666666666663,1.0,0.70520767428325,0.6468161166942283,0.0583915575890217,0.5665255732452692,0.6375,0.6222222222222222,0.015277777777777724,0.3468077923722813,0.4174844838870555,-0.07067669151477418,0.951423362319625,0.9496909981192222,0.0017323642004027917,0.19997887169744805,0.09999587560834756,2,0,1.0,0.01584768181248472,glucose|insulin,1.0,0.8395089530380501,True
130209,Diabetes,No Diabetes,0.0550657446686,0.969820814119,16,18,0.3125,0.5,-0.1875,0.3150747207041641,0.3304380470920437,0.48760732058029493,-0.15716927348825122,0.28451920280655046,0.6375,0.6444444444444444,-0.00694444444444442,0.541341775143,0.5416777245927779,-0.00033594944977788366,0.935153706917125,0.9382351099754445,-0.0030814030583194985,0.47324044061603193,0.37325744452693155,2,0,1.0,0.09288367193203423,glucose|insulin,0.9846044719575696,0.8395089530380501,True
130300,No Diabetes,Diabetes,0.0818004527377,0.915083396623,16,18,0.8125,0.5555555555555556,0.2569444444444444,0.15194660734149057,0.7580450782333187,0.5873510525888778,0.17069402564444092,0.21935075978104818,0.625,0.6555555555555556,-0.030555555555555558,0.5389830445889188,0.4232894964177667,0.11569354817115207,0.9315651252203124,0.9387880926184445,-0.007222967398132107,0.21013157350514938,0.10810810810810811,2,1,1.0,0.12938040785994342,glucose|age,0.9846044719575696,0.8395089530380501,True
130301,No Diabetes,Diabetes,0.0636047567085,0.779743464987,16,18,0.375,0.5555555555555556,-0.18055555555555558,0.3269188835124034,0.35309461754564375,0.5144378611441334,-0.16134324359848962,0.3167350558636769,0.7124999999999999,0.6888888888888889,0.023611111111111027,0.3515723558907188,0.4253446792449,-0.07377232335418121,0.945553296305625,0.9417387127996667,0.0038145835059583133,0.2080911041972085,0.10810810810810811,2,1,1.0,0.08653340290338322,glucose|age,0.9846044719575696,0.8395089530380501,True
130302,No Diabetes,Diabetes,0.204135275223,0.413457043418,16,18,0.625,0.5,0.125,0.5096000386903321,0.613332772955711,0.476320485018117,0.13701228793759396,0.3669638364117356,0.6875,0.6555555555555554,0.03194444444444455,0.6265362885005624,0.6284571175983333,-0.0019208290977709153,0.931983961741125,0.9329477983153889,-0.0009638365742639099,0.30517424413020394,0.1700391089950688,2,1,1.0,0.06499809930029246,glucose|age,0.9846044719575696,0.8395089530380501,True
