participant,domain,xai,testing_cases,attribute selection method,best-supported attribute selection method,raw best attribute selection method,attribute selection ranking score,attribute selection average precision,attribute selection score gap,best independent amount method,one-SE independent amount method,amount normalized MAE,change amount method,change amount normalized MAE,amount MAE gap,selection ranking score: Current-case contribution,selection ranking score: Global importance,selection ranking score: Target-profile mismatch,selection ranking score: Nearest target example,selection ranking score: Similar remembered edit,amount MAE: One fixed normalized amount,amount MAE: Feature-specific fixed amount,amount MAE: Target-specific endpoint,amount MAE: Estimated amount needed to flip,amount MAE: Target-profile centre,amount MAE: Nearest target-profile range edge,amount MAE: Nearest target-example value,amount MAE: Remembered edit amount
R_1bZVUxPBbbRCo4S,diabetes,counterfactual,12,Nearest target example,Nearest target example,Nearest target example,0.6944444444444443,0.8524305555555555,0.06944444444444442,Feature-specific fixed amount,Nearest target-example value,0.06711481130959666,Nearest target-example value,0.06918826537323448,0.0020734540636378196,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.6944444444444443,0.6249999999999999,0.07178707928139305,0.06711481130959666,0.07841182292368505,0.1508583291812871,0.10653851907618622,0.08597162681534148,0.06918826537323448,0.11620515913491954
R_1cf4ymy9mv3KxC9,diabetes,none,12,Unclear or overlapping,Global importance,Global importance,0.9027777777777777,0.9541666666666666,0.03472222222222221,Feature-specific fixed amount,Feature-specific fixed amount,0.08919764230734666,Feature-specific fixed amount,0.08919764230734666,0.005347940093222259,0.8402777777777778,0.9027777777777777,0.8680555555555555,0.8194444444444445,,0.09454558240056891,0.08919764230734666,0.1279873449575563,0.20449821249097186,0.13841514694586596,0.15567987199838806,0.16138564540365144,
R_1ss9Kw3pIQ85a0x,diabetes,counterfactual,12,Global importance,Global importance,Global importance,0.7916666666666666,0.8916666666666666,0.37499999999999994,Target-specific endpoint,One fixed normalized amount,0.10123176207505626,One fixed normalized amount,0.12337828233991667,0.021501879442257982,0.375,0.7916666666666666,0.25,0.4166666666666667,0.375,0.12337828233991667,0.13175952869147917,0.10123176207505626,0.21802340420198388,0.12273364151731424,0.1734808289181229,0.12987429095586886,0.22872196303922476
R_3ER2BU0lmP8pf0d,diabetes,attribution,12,Unclear or overlapping,Unclear,Nearest target example,0.25,0.5125000000000001,0.0,One fixed normalized amount,Nearest target-example value,0.209028696456125,Nearest target-example value,0.28107845115535984,0.02978538551069493,0.08333333333333333,0.25,0.16666666666666666,0.25,,0.209028696456125,0.2733056410807084,0.23881408196681994,0.3523359901509231,0.2690376790918791,0.3170027007142829,0.28107845115535984,
R_5ILPbRjMMu0htEd,diabetes,counterfactual,12,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.5902777777777778,0.765625,0.02083333333333337,Target-specific endpoint,Target-profile centre,0.09594683232976305,Target-profile centre,0.10726131943775134,0.011314487107988297,0.5694444444444444,0.23611111111111113,0.5902777777777778,0.4930555555555556,0.2152777777777778,0.18384790255685346,0.22295930473399414,0.09594683232976305,0.19957112964644766,0.10726131943775134,0.20873994646451835,0.2120129734398687,0.3518378655179987
R_5Irw0UadevrjsJj,diabetes,none,12,Unclear or overlapping,Unclear,Nearest target example,0.4166666666666667,0.5847222222222223,0.08333333333333337,One fixed normalized amount,One fixed normalized amount,0.08691210506712503,One fixed normalized amount,0.08691210506712503,0.01917730216662497,0.2916666666666667,0.125,0.3333333333333333,0.4166666666666667,,0.08691210506712503,0.10608940723375,0.19683736695477505,0.25971536262670414,0.16161615574289995,0.18342723456846285,0.180490783447216,
R_5O9qsyNMKTfTx41,diabetes,counterfactual,12,Nearest target example,Nearest target example,Nearest target example,0.7083333333333334,0.7916666666666666,0.08333333333333337,Target-specific endpoint,Nearest target-example value,0.1370982037760251,Nearest target-example value,0.14254864431435252,0.005450440538327411,0.625,0.625,0.5416666666666666,0.7083333333333334,0.125,0.18485934240536664,0.20843275355286664,0.1370982037760251,0.20932916840077165,0.17413347048938307,0.14824720612776612,0.14254864431435252,0.28324626500846145
R_5qfkDFyU8U4LwCB,diabetes,counterfactual,12,Nearest target example,Nearest target example,Nearest target example,0.5972222222222222,0.725462962962963,0.19444444444444448,Target-specific endpoint,Target-profile centre,0.054173890775731655,Target-profile centre,0.06964653269953065,0.015472641923798998,0.3611111111111111,0.40277777777777773,0.3194444444444444,0.5972222222222222,0.3611111111111111,0.08582164784393055,0.09958455670131248,0.054173890775731655,0.17468425837483734,0.06964653269953065,0.12097740348993058,0.06993074346251227,0.1844273255842874
R_5y9kFl6cuzYCZjU,diabetes,counterfactual,12,Target-profile mismatch,Target-profile mismatch,Target-profile mismatch,0.6527777777777778,0.7833333333333332,0.09722222222222232,Feature-specific fixed amount,Feature-specific fixed amount,0.0435739572930943,Feature-specific fixed amount,0.0435739572930943,0.010549083544387924,0.5555555555555555,0.4861111111111111,0.6527777777777778,0.5416666666666666,0.5,0.05412304083748223,0.0435739572930943,0.1738675870810161,0.2014891276718331,0.16705277078668077,0.1032540887381957,0.11720136336976411,0.07187839844975492
R_6NEvCCrIslsRxzg,diabetes,none,12,Unclear or overlapping,Current-case contribution,Current-case contribution,0.9791666666666666,0.9836805555555556,0.02083333333333326,Target-specific endpoint,Target-specific endpoint,0.13298246115137818,Target-specific endpoint,0.13298246115137818,0.06636946707574268,0.9791666666666666,0.9375,0.9583333333333334,0.9375,,0.19935192822712086,0.23149377406079172,0.13298246115137818,0.37631339469482095,0.30409522214109846,0.33641594441173567,0.2927913438620992,
