participant,domain,xai,original label,target label,case,instance id,attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label
R_3FJQV7viaHYDHi3,housing,none,Expensive,Cheap,6,2447,"""Living Area"" - 3190(0.678977272727) -> 2664(0.529545454545)
""Bedrooms"" - 5(1) -> 3(0.333333333333)
""Bathrooms"" - 3.5(0.909090909091) -> 2.98(0.72)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 8(0.4) -> 7(0.2)",5,1.87185606061,Cheap,1,1.6715719697,0.19821191858,0.716850993302,0.518639074721
R_3FJQV7viaHYDHi3,housing,none,Expensive,Cheap,7,1751,"""Living Area"" - 3600(0.795454545455) -> 2798(0.567613636364)
""Bedrooms"" - 4(0.666666666667) -> 3(0.333333333333)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6) -> 8(0.4)",4,1.42784090909,Expensive,0,1.42102272727,0.0524975827183,0.104309886787,0.051812304069
R_3FJQV7viaHYDHi3,housing,none,Expensive,Cheap,8,553,"""Living Area"" - 3040(0.636363636364)
""Bedrooms"" - 4(0.666666666667) -> 3(0.333333333333)
""Bathrooms"" - 2.75(0.636363636364) -> 1.99(0.36)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6) -> 7(0.2)",4,1.67636363636,Expensive,0,1.35221590909,0.0930185614867,0.348528652407,0.25551009092
R_3FJQV7viaHYDHi3,housing,none,Expensive,Cheap,9,172,"""Living Area"" - 1290(0.139204545455)
""Bedrooms"" - 2(0)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 3(1) -> 1(0)
""Construction Grade"" - 8(0.4)",1,1,Cheap,1,1.00028409091,0.256568711116,0.868594360054,0.612025648938
R_3FJQV7viaHYDHi3,housing,none,Expensive,Cheap,10,2728,"""Living Area"" - 2160(0.386363636364) -> 1860(0.301136363636)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 3(1) -> 1(0)
""Construction Grade"" - 8(0.4) -> 7(0.2)",3,1.28522727273,Cheap,1,1.08494318182,0.101627349659,0.723002742829,0.62137539317
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit,Below Limit,1,87,"""Alcohol Units"" - 9.1(0.950024987506) -> 7.57904(0.76)
""Weight"" - 81.4(0.622294138799) -> 80.7162(0.61)
""Drinking Duration"" - 91(0.276363636364)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0) -> Full(1)",3,1.20231912631,Above Limit,0,1.27503004357,2.73960287617e-19,1.03082155879e-05,1.03082155879e-05
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit,Below Limit,2,203,"""Alcohol Units"" - 6.5(0.625187406297) -> 5.41796(0.49)
""Weight"" - 50.3(0.0631427544049) -> 60.1368(0.24)
""Drinking Duration"" - 175(0.581818181818)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",2,0.312044651892,Below Limit,1,0.093157331798,3.97200592972e-12,0.999998797947,0.999998797943
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit,Below Limit,3,106,"""Alcohol Units"" - 7(0.687656171914) -> 6(0.56271864068)
""Weight"" - 59.6(0.230348795397) -> 67.9236(0.38)
""Drinking Duration"" - 43(0.101818181818) -> 110(0.345454545455)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0) -> Full(1)",4,1.51822509947,Below Limit,1,1.52240363588,3.54735101294e-24,0.960332598504,0.960332598504
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit,Below Limit,4,143,"""Alcohol Units"" - 7.7(0.775112443778) -> 6.85868(0.67)
""Weight"" - 65.5(0.336425746134)
""Drinking Duration"" - 143(0.465454545455) -> 173(0.574545454545)
""Gender"" - Male(1)
""Stomach Fullness"" - Empty(0) -> Full(1)",3,1.21420335287,Below Limit,1,0.226697105992,1.58378488751e-10,0.99999992098,0.999999920822
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit,Below Limit,5,300,"""Alcohol Units"" - 7(0.687656171914) -> 5(0.437781109445)
""Weight"" - 58.3(0.206975907947) -> 65.1426(0.33)
""Drinking Duration"" - 105(0.327272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",2,0.372899154522,Below Limit,1,0.165523651335,5.21483428954e-15,0.999999793914,0.999999793914
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit,Above Limit,6,98,"""Alcohol Units"" - 3.9(0.300349825087) -> 5.0978(0.45)
""Weight"" - 85.7(0.699604458828) -> 77.9352(0.56)
""Drinking Duration"" - 101(0.312727272727) -> 67(0.189090909091)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",3,0.412890997377,Below Limit,0,0.304042886373,1.04360964315e-14,0.0166557799139,0.0166557799139
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit,Above Limit,7,261,"""Alcohol Units"" - 2.5(0.125437281359) -> 4.05728(0.32)
""Weight"" - 71.5(0.444300611291)
""Drinking Duration"" - 248(0.847272727273) -> 182(0.607272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1) -> Empty(0)",3,1.43456271864,Below Limit,0,1.47217663895,0,5.72875080707e-14,5.72875080707e-14
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit,Above Limit,8,4,"""Alcohol Units"" - 5.1(0.450274862569) -> 6.2984(0.6)
""Weight"" - 76.4(0.532398417835)
""Drinking Duration"" - 23(0.0290909090909)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1) -> Empty(0)",2,1.14972513743,Above Limit,1,1.83114261051,1.09712905427e-10,0.999999766773,0.999999766664
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit,Above Limit,9,209,"""Alcohol Units"" - 4.3(0.350324837581) -> 5.73812(0.53)
""Weight"" - 75.8(0.52161093132)
""Drinking Duration"" - 279(0.96) -> 237(0.807272727273)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1) -> Empty(0)",3,1.33240243515,Below Limit,0,1.49191813184,0,1.30961241851e-09,1.30961241851e-09
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit,Above Limit,10,245,"""Alcohol Units"" - 5(0.437781109445) -> 7(0.687656171914)
""Weight"" - 77(0.543185904351)
""Drinking Duration"" - 213(0.72) -> 146(0.476363636364)
""Gender"" - Male(1)
""Stomach Fullness"" - Full(1) -> Empty(0)",3,1.49351142611,Below Limit,0,1.3624187906,0,2.88026446692e-05,2.88026446692e-05
R_5JrAewWP4QfNMDy,housing,attribution,Cheap,Expensive,1,3174,"""Living Area"" - 1100(0.0852272727273)
""Bedrooms"" - 1(0)
""Bathrooms"" - 1.25(0.0909090909091) -> 1.9625(0.35)
""Floors"" - 3(1)
""Construction Grade"" - 9(0.6)",1,0.259090909091,Expensive,1,0.459375,0.405495881814,0.729595776918,0.324099895104
R_5JrAewWP4QfNMDy,housing,attribution,Cheap,Expensive,2,2275,"""Living Area"" - 1530(0.207386363636)
""Bedrooms"" - 3(0.333333333333) -> 4(0.666666666667)
""Bathrooms"" - 3.25(0.818181818182)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 8(0.4)",1,0.333333333333,Expensive,1,0.624242424242,0.486463617766,0.677984786667,0.191521168901
R_5JrAewWP4QfNMDy,housing,attribution,Cheap,Expensive,3,675,"""Living Area"" - 920(0.0340909090909) -> 1660(0.244318181818)
""Bedrooms"" - 2(0) -> 4(0.666666666667)
""Bathrooms"" - 1(0) -> 2(0.363636363636)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 6(0) -> 7(0.2)",5,2.1071969697,Cheap,0,2.01373106061,0.0650342540676,0.275723731274,0.210689477206
R_5JrAewWP4QfNMDy,housing,attribution,Cheap,Expensive,4,102,"""Living Area"" - 1700(0.255681818182)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 1.75(0.272727272727)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2) -> 8(0.4)",2,0.866666666667,Expensive,1,0.333333333333,0.275833056192,0.866769942789,0.590936886597
