_row,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change
1,,0.08695652173913043,,,0.02702702702702703
2,,-0.021739130434782608,,,-0.05405405405405406
3,,-0.06521739130434782,,,-0.02702702702702703
4,,0.021739130434782608,,,0.1891891891891892
5,,-0.043478260869565216,,,-0.02702702702702703
6,,0.06521739130434782,,,0.02702702702702703
7,0.02550586634926032,,0.047430504000659804,,
8,-0.14453324264580847,,-0.002062195826115644,,
9,-0.05101173269852064,,-0.002062195826115644,,
10,0.00850195544975344,,0.09073661634908832,,
11,-0.00850195544975344,,-0.057741483131238024,,
12,0.1700391089950688,,0.002062195826115644,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,0.1700391089950688,,0.002062195826115644,,
26,-0.00850195544975344,,-0.057741483131238024,,
27,0.02550586634926032,,0.047430504000659804,,
28,0.00850195544975344,,0.09073661634908832,,
29,-0.14453324264580847,,-0.002062195826115644,,
30,-0.05101173269852064,,-0.002062195826115644,,
31,,0.021739130434782608,,,0.1891891891891892
32,,0.06521739130434782,,,0.02702702702702703
33,,0.08695652173913043,,,0.02702702702702703
34,,-0.043478260869565216,,,-0.02702702702702703
35,,-0.021739130434782608,,,-0.05405405405405406
36,,-0.06521739130434782,,,-0.02702702702702703
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,0.08695652173913043,,,0.02702702702702703
50,,0.06521739130434782,,,0.02702702702702703
51,,-0.043478260869565216,,,-0.02702702702702703
52,,-0.021739130434782608,,,-0.05405405405405406
53,,-0.06521739130434782,,,-0.02702702702702703
54,,0.021739130434782608,,,0.1891891891891892
55,0.00850195544975344,,0.09073661634908832,,
56,-0.14453324264580847,,-0.002062195826115644,,
57,0.02550586634926032,,0.047430504000659804,,
58,-0.05101173269852064,,-0.002062195826115644,,
59,0.1700391089950688,,0.002062195826115644,,
60,-0.00850195544975344,,-0.057741483131238024,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,-0.021739130434782608,,,-0.05405405405405406
74,,-0.043478260869565216,,,-0.02702702702702703
75,,0.08695652173913043,,,0.02702702702702703
76,,-0.06521739130434782,,,-0.02702702702702703
77,,0.021739130434782608,,,0.1891891891891892
78,,0.06521739130434782,,,0.02702702702702703
79,-0.05101173269852064,,-0.002062195826115644,,
80,0.1700391089950688,,0.002062195826115644,,
81,0.00850195544975344,,0.09073661634908832,,
82,-0.00850195544975344,,-0.057741483131238024,,
83,-0.14453324264580847,,-0.002062195826115644,,
84,0.02550586634926032,,0.047430504000659804,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,0.021739130434782608,,,0.1891891891891892
98,,-0.043478260869565216,,,-0.02702702702702703
99,,-0.06521739130434782,,,-0.02702702702702703
100,,-0.021739130434782608,,,-0.05405405405405406
101,,0.08695652173913043,,,0.02702702702702703
102,,0.06521739130434782,,,0.02702702702702703
103,-0.05101173269852064,,-0.002062195826115644,,
104,0.1700391089950688,,0.002062195826115644,,
105,0.02550586634926032,,0.047430504000659804,,
106,-0.00850195544975344,,-0.057741483131238024,,
