row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
1,R_69tQCGOCnlsf1C1,diabetes,training,,,
2,R_69tQCGOCnlsf1C1,diabetes,training,,,
3,R_69tQCGOCnlsf1C1,diabetes,training,,,
4,R_69tQCGOCnlsf1C1,diabetes,training,,,
5,R_69tQCGOCnlsf1C1,diabetes,training,,,
6,R_69tQCGOCnlsf1C1,diabetes,training,,,
7,R_69tQCGOCnlsf1C1,diabetes,training,,,
8,R_69tQCGOCnlsf1C1,diabetes,training,,,
9,R_69tQCGOCnlsf1C1,diabetes,training,,,
10,R_69tQCGOCnlsf1C1,diabetes,training,,,
11,R_69tQCGOCnlsf1C1,diabetes,training,,,
12,R_69tQCGOCnlsf1C1,diabetes,training,,,
13,R_69tQCGOCnlsf1C1,diabetes,testing,0.0457175469141,0.149293065351,0.103575518436
14,R_69tQCGOCnlsf1C1,diabetes,testing,0.0726471443239,0.22808354639,0.155436402067
15,R_69tQCGOCnlsf1C1,diabetes,testing,0.0978565526566,0.00422406883667,-0.09363248382
16,R_69tQCGOCnlsf1C1,diabetes,testing,0.092515132421,0.175557462104,0.0830423296831
17,R_69tQCGOCnlsf1C1,diabetes,testing,0.0374782022785,0.107485960811,0.0700077585323
18,R_69tQCGOCnlsf1C1,diabetes,testing,0.092590408834,0.0295109122619,-0.063079496572
19,R_69tQCGOCnlsf1C1,diabetes,testing,0.0361239705801,0.0457899849702,0.0096660143901
20,R_69tQCGOCnlsf1C1,diabetes,testing,0.0428982610767,0.0763548407476,0.0334565796709
21,R_69tQCGOCnlsf1C1,diabetes,testing,0.0259689887288,0.0274086583363,0.00143966960746
22,R_69tQCGOCnlsf1C1,diabetes,testing,0.0887144555089,0.08341267611,-0.00530177939891
23,R_69tQCGOCnlsf1C1,diabetes,testing,0.0189824400465,0.16897681814,0.149994378094
24,R_69tQCGOCnlsf1C1,diabetes,testing,0.239975365765,0.337680706663,0.0977053408983
25,R_69tQCGOCnlsf1C1,diabetes,testing,0.085769066421,0.203144587171,0.11737552075
26,R_69tQCGOCnlsf1C1,diabetes,testing,0.122529979888,0.309563503478,0.18703352359
27,R_69tQCGOCnlsf1C1,diabetes,testing,0.1316701163,0.0723658267495,-0.0593042895506
28,R_69tQCGOCnlsf1C1,diabetes,testing,0.0872555972223,0.00318292016378,-0.0840726770585
29,R_69tQCGOCnlsf1C1,diabetes,testing,0.280379771907,0.398687922073,0.118308150167
30,R_69tQCGOCnlsf1C1,diabetes,testing,0.0384001806335,0.091719512321,0.0533193316874
31,R_1VV8BqOrYdNpSHT,diabetes,training,,,
32,R_1VV8BqOrYdNpSHT,diabetes,training,,,
33,R_1VV8BqOrYdNpSHT,diabetes,training,,,
34,R_1VV8BqOrYdNpSHT,diabetes,training,,,
35,R_1VV8BqOrYdNpSHT,diabetes,training,,,
36,R_1VV8BqOrYdNpSHT,diabetes,training,,,
37,R_1VV8BqOrYdNpSHT,diabetes,training,,,
38,R_1VV8BqOrYdNpSHT,diabetes,training,,,
39,R_1VV8BqOrYdNpSHT,diabetes,training,,,
40,R_1VV8BqOrYdNpSHT,diabetes,training,,,
41,R_1VV8BqOrYdNpSHT,diabetes,training,,,
42,R_1VV8BqOrYdNpSHT,diabetes,training,,,
43,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0259689887288,0.172857327462,0.146888338734
44,R_1VV8BqOrYdNpSHT,diabetes,testing,0.092515132421,0.263752004499,0.171236872078
45,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0726471443239,0.0590570280717,-0.0135901162522
46,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0361239705801,0.0789571767541,0.0428332061741
47,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0457175469141,0.194195411103,0.148477864189
48,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0428982610767,0.248816719307,0.20591845823
49,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0374782022785,0.0609928937954,0.0235146915169
50,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0978565526566,0.00903764820351,-0.0888189044531
51,R_1VV8BqOrYdNpSHT,diabetes,testing,0.092590408834,0.204331340822,0.111740931988
52,R_1VV8BqOrYdNpSHT,diabetes,testing,0.1316701163,0.0637947379871,-0.0678753783129
53,R_1VV8BqOrYdNpSHT,diabetes,testing,0.085769066421,0.0565106030965,-0.0292584633245
54,R_1VV8BqOrYdNpSHT,diabetes,testing,0.122529979888,0.12681421835,0.00428423846241
55,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0384001806335,0.0152466732467,-0.0231535073868
56,R_1VV8BqOrYdNpSHT,diabetes,testing,0.280379771907,0.160794456414,-0.119585315493
57,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0887144555089,0.0962774625516,0.00756300704274
58,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0872555972223,0.151511999908,0.0642564026861
59,R_1VV8BqOrYdNpSHT,diabetes,testing,0.0189824400465,0.139461615272,0.120479175226
60,R_1VV8BqOrYdNpSHT,diabetes,testing,0.239975365765,0.091125720984,-0.148849644781
61,R_6haS2ptrunWMddu,diabetes,training,,,
62,R_6haS2ptrunWMddu,diabetes,training,,,
63,R_6haS2ptrunWMddu,diabetes,training,,,
64,R_6haS2ptrunWMddu,diabetes,training,,,
65,R_6haS2ptrunWMddu,diabetes,training,,,
66,R_6haS2ptrunWMddu,diabetes,training,,,
67,R_6haS2ptrunWMddu,diabetes,training,,,
68,R_6haS2ptrunWMddu,diabetes,training,,,
69,R_6haS2ptrunWMddu,diabetes,training,,,
70,R_6haS2ptrunWMddu,diabetes,training,,,
71,R_6haS2ptrunWMddu,diabetes,training,,,
72,R_6haS2ptrunWMddu,diabetes,training,,,
73,R_6haS2ptrunWMddu,diabetes,testing,0.0259689887288,0.110779067992,0.0848100792629
74,R_6haS2ptrunWMddu,diabetes,testing,0.0428982610767,0.0172059687817,-0.025692292295
75,R_6haS2ptrunWMddu,diabetes,testing,0.092515132421,0.361225474167,0.268710341746
76,R_6haS2ptrunWMddu,diabetes,testing,0.0361239705801,0.143587839909,0.107463869329
77,R_6haS2ptrunWMddu,diabetes,testing,0.092590408834,0.212768222885,0.120177814051
78,R_6haS2ptrunWMddu,diabetes,testing,0.0374782022785,0.0666883074491,0.0292101051707
79,R_6haS2ptrunWMddu,diabetes,testing,0.0726471443239,0.0430151890394,-0.0296319552844
80,R_6haS2ptrunWMddu,diabetes,testing,0.0457175469141,0.0515432619636,0.00582571504951
81,R_6haS2ptrunWMddu,diabetes,testing,0.0978565526566,0.0989788506784,0.00112229802177
82,R_6haS2ptrunWMddu,diabetes,testing,0.0887144555089,0.113826179397,0.0251117238876
83,R_6haS2ptrunWMddu,diabetes,testing,0.1316701163,0.111780455697,-0.0198896606027
84,R_6haS2ptrunWMddu,diabetes,testing,0.239975365765,0.0635945053588,-0.176380860406
85,R_6haS2ptrunWMddu,diabetes,testing,0.280379771907,0.147523513898,-0.132856258009
86,R_6haS2ptrunWMddu,diabetes,testing,0.085769066421,0.00419183936502,-0.081577227056
87,R_6haS2ptrunWMddu,diabetes,testing,0.0189824400465,0.133751364929,0.114768924883
88,R_6haS2ptrunWMddu,diabetes,testing,0.0872555972223,0.0384365876435,-0.0488190095788
89,R_6haS2ptrunWMddu,diabetes,testing,0.0384001806335,0.0201207399573,-0.0182794406763
90,R_6haS2ptrunWMddu,diabetes,testing,0.122529979888,0.0675269120823,-0.0550030678057
91,R_7PvOmZWmKNN4iL0,diabetes,training,,,
92,R_7PvOmZWmKNN4iL0,diabetes,training,,,
93,R_7PvOmZWmKNN4iL0,diabetes,training,,,
94,R_7PvOmZWmKNN4iL0,diabetes,training,,,
95,R_7PvOmZWmKNN4iL0,diabetes,training,,,
96,R_7PvOmZWmKNN4iL0,diabetes,training,,,
