row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
63,R_1Gjl0Vj3LRbQDQL,diabetes,testing,0.100760344269,0.211199591776,0.110439247507
64,R_1Gjl0Vj3LRbQDQL,diabetes,testing,0.0659242805367,0.0393635369242,-0.0265607436125
65,R_7wiYsAy6cA2mUR1,diabetes,training,,,
66,R_7wiYsAy6cA2mUR1,diabetes,training,,,
67,R_7wiYsAy6cA2mUR1,diabetes,training,,,
68,R_7wiYsAy6cA2mUR1,diabetes,training,,,
69,R_7wiYsAy6cA2mUR1,diabetes,training,,,
70,R_7wiYsAy6cA2mUR1,diabetes,training,,,
71,R_7wiYsAy6cA2mUR1,diabetes,training,,,
72,R_7wiYsAy6cA2mUR1,diabetes,training,,,
73,R_7wiYsAy6cA2mUR1,diabetes,training,,,
74,R_7wiYsAy6cA2mUR1,diabetes,training,,,
75,R_7wiYsAy6cA2mUR1,diabetes,training,,,
76,R_7wiYsAy6cA2mUR1,diabetes,training,,,
77,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0312851432037,0.0829712955209,0.0516861523172
78,R_7wiYsAy6cA2mUR1,diabetes,testing,0.133559348117,0.00502414639577,-0.128535201722
79,R_7wiYsAy6cA2mUR1,diabetes,testing,0.092746834945,0.0758587535144,-0.0168880814306
80,R_7wiYsAy6cA2mUR1,diabetes,testing,0.123472772406,0.133536218871,0.010063446465
81,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0940290113526,0.0221088522542,-0.0719201590984
82,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0394188750415,0.0507189060016,0.0113000309601
83,R_7wiYsAy6cA2mUR1,diabetes,testing,0.100829307448,0.0688882692442,-0.0319410382038
84,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0607615415915,0.0289720573555,-0.031789484236
85,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0682490341438,0.0215452031579,-0.0467038309859
86,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0809912446199,0.00822299502342,-0.0727682495964
87,R_7wiYsAy6cA2mUR1,diabetes,testing,0.100760344269,0.160465216198,0.0597048719286
88,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0731689967154,0.0997269743218,0.0265579776063
89,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0659242805367,0.178410867043,0.112486586506
90,R_7wiYsAy6cA2mUR1,diabetes,testing,0.109384342924,0.0257016257245,-0.0836827171996
91,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0626496649029,0.190156736009,0.127507071106
92,R_7wiYsAy6cA2mUR1,diabetes,testing,0.180716981102,0.121174962164,-0.059542018938
93,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0914775860938,0.186382063042,0.0949044769483
94,R_7wiYsAy6cA2mUR1,diabetes,testing,0.0869725749526,0.00289640579818,-0.0840761691544
95,R_7wiYsAy6cA2mUR1,diabetes,testing,0.109168127264,0.0305596602354,-0.0786084670289
96,R_7wiYsAy6cA2mUR1,diabetes,testing,0.130624164369,0.19568714027,0.0650629759013
97,R_3pV2gsUjgx4OTvP,diabetes,training,,,
98,R_3pV2gsUjgx4OTvP,diabetes,training,,,
99,R_3pV2gsUjgx4OTvP,diabetes,training,,,
100,R_3pV2gsUjgx4OTvP,diabetes,training,,,
101,R_3pV2gsUjgx4OTvP,diabetes,training,,,
102,R_3pV2gsUjgx4OTvP,diabetes,training,,,
103,R_3pV2gsUjgx4OTvP,diabetes,training,,,
104,R_3pV2gsUjgx4OTvP,diabetes,training,,,
105,R_3pV2gsUjgx4OTvP,diabetes,training,,,
106,R_3pV2gsUjgx4OTvP,diabetes,training,,,
107,R_3pV2gsUjgx4OTvP,diabetes,training,,,
108,R_3pV2gsUjgx4OTvP,diabetes,training,,,
109,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0607615415915,0.0674166673048,0.00665512571334
110,R_3pV2gsUjgx4OTvP,diabetes,testing,0.100829307448,0.0193609559973,-0.0814683514508
111,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0682490341438,0.00845217333922,-0.0597968608046
112,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0312851432037,0.00468904490941,-0.0265960982943
113,R_3pV2gsUjgx4OTvP,diabetes,testing,0.092746834945,0.132443351161,0.039696516216
114,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0809912446199,0.0329701046725,-0.0480211399473
115,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0394188750415,0.00928040037384,-0.0301384746676
116,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0940290113526,0.0404539507139,-0.0535750606387
117,R_3pV2gsUjgx4OTvP,diabetes,testing,0.123472772406,0.12850973371,0.00503696130447
118,R_3pV2gsUjgx4OTvP,diabetes,testing,0.133559348117,0.0498691310468,-0.0836902170706
119,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0626496649029,0.0417667761433,-0.0208828887596
120,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0869725749526,0.0683842733182,-0.0185883016344
121,R_3pV2gsUjgx4OTvP,diabetes,testing,0.100760344269,0.105711937046,0.00495159277754
122,R_3pV2gsUjgx4OTvP,diabetes,testing,0.109384342924,0.110255550947,0.000871208022653
123,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0659242805367,0.0380143739113,-0.0279099066254
124,R_3pV2gsUjgx4OTvP,diabetes,testing,0.180716981102,0.00856263445109,-0.172154346651
125,R_3pV2gsUjgx4OTvP,diabetes,testing,0.109168127264,0.128185950475,0.0190178232103
126,R_3pV2gsUjgx4OTvP,diabetes,testing,0.130624164369,0.100923000578,-0.0297011637907
127,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0914775860938,0.0341087265542,-0.0573688595395
128,R_3pV2gsUjgx4OTvP,diabetes,testing,0.0731689967154,0.0250381008839,-0.0481308958315
129,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
130,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
131,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
132,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
133,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
134,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
135,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
136,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
137,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
138,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
139,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
140,R_5Qg3F8vwXGPLT2w,diabetes,training,,,
141,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.123472772406,0.0679666786269,-0.0555060937788
142,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0940290113526,0.0580120096412,-0.0360170017114
143,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0682490341438,0.181344238123,0.11309520398
144,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.100829307448,0.0432014746324,-0.0576278328156
145,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0394188750415,0.0366825815841,-0.0027362934574
146,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.133559348117,0.0858742490839,-0.0476850990335
147,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0809912446199,0.0290485478545,-0.0519426967654
148,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0607615415915,0.117682117105,0.0569205755135
149,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0312851432037,0.0495365916614,0.0182514484576
150,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.092746834945,0.0486014089934,-0.0441454259516
151,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0869725749526,0.0218921653376,-0.065080409615
152,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.100760344269,0.0478680761038,-0.0528922681651
153,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.109384342924,0.321513485196,0.212129142272
154,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0659242805367,0.024156034396,-0.0417682461407
155,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.109168127264,0.0704375738922,-0.0387305533721
156,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0731689967154,0.0481099023481,-0.0250590943673
157,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0626496649029,0.0018357948039,-0.060813870099
158,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.0914775860938,2.98485975353e-05,-0.0914477374962
159,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.180716981102,0.0296842007095,-0.151032780393
160,R_5Qg3F8vwXGPLT2w,diabetes,testing,0.130624164369,0.0364688736694,-0.0941552906993
161,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
162,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
163,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
164,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
165,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
166,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
167,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
168,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
169,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
170,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
171,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
172,R_6SHQ1D1ZGzH7pWU,diabetes,training,,,
173,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0312851432037,0.21668829095,0.185403147746
174,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0809912446199,0.207660490673,0.126669246053
175,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.092746834945,0.625679752711,0.532932917766
176,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.133559348117,0.271527105514,0.137967757396
177,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0940290113526,0.270082665635,0.176053654282
178,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.123472772406,0.141464163933,0.0179913915272
179,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0607615415915,0.0646845460185,0.00392300442701
180,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.100829307448,0.272948414744,0.172119107296
181,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0394188750415,0.285554062788,0.246135187747
182,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0682490341438,0.238004578249,0.169755544105
183,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0914775860938,0.123997773809,0.0325201877148
184,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0626496649029,0.0993579993986,0.0367083344957
185,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0659242805367,0.109348528251,0.0434242477148
186,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.109384342924,0.404544460096,0.295160117172
187,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.180716981102,0.46652389246,0.285806911358
188,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.130624164369,0.00214752364758,-0.128476640721
189,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.100760344269,0.20551642615,0.104756081881
190,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0869725749526,0.334691440912,0.24771886596
191,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.0731689967154,0.32109325195,0.247924255234
192,R_6SHQ1D1ZGzH7pWU,diabetes,testing,0.109168127264,0.290099921071,0.180931793807
193,R_52rQ67BFIWPT81l,diabetes,training,,,
194,R_52rQ67BFIWPT81l,diabetes,training,,,
195,R_52rQ67BFIWPT81l,diabetes,training,,,
196,R_52rQ67BFIWPT81l,diabetes,training,,,
197,R_52rQ67BFIWPT81l,diabetes,training,,,
198,R_52rQ67BFIWPT81l,diabetes,training,,,
199,R_52rQ67BFIWPT81l,diabetes,training,,,
200,R_52rQ67BFIWPT81l,diabetes,training,,,
201,R_52rQ67BFIWPT81l,diabetes,training,,,
202,R_52rQ67BFIWPT81l,diabetes,training,,,
203,R_52rQ67BFIWPT81l,diabetes,training,,,
204,R_52rQ67BFIWPT81l,diabetes,training,,,
205,R_52rQ67BFIWPT81l,diabetes,testing,0.0394188750415,0.169984337136,0.130565462094
206,R_52rQ67BFIWPT81l,diabetes,testing,0.0312851432037,0.102934616912,0.0716494737088
207,R_52rQ67BFIWPT81l,diabetes,testing,0.0682490341438,0.0148076318406,-0.0534414023033
208,R_52rQ67BFIWPT81l,diabetes,testing,0.0940290113526,0.145560684868,0.0515316735157
209,R_52rQ67BFIWPT81l,diabetes,testing,0.092746834945,0.277050627446,0.184303792501
210,R_52rQ67BFIWPT81l,diabetes,testing,0.133559348117,0.0168489433825,-0.116710404735
211,R_52rQ67BFIWPT81l,diabetes,testing,0.123472772406,0.0051574712812,-0.118315301124
212,R_52rQ67BFIWPT81l,diabetes,testing,0.100829307448,0.0702602945905,-0.0305690128575
213,R_52rQ67BFIWPT81l,diabetes,testing,0.0809912446199,0.131390621871,0.0503993772507
214,R_52rQ67BFIWPT81l,diabetes,testing,0.0607615415915,0.0325814466675,-0.028180094924
215,R_52rQ67BFIWPT81l,diabetes,testing,0.180716981102,0.0787341755012,-0.101982805601
216,R_52rQ67BFIWPT81l,diabetes,testing,0.100760344269,0.227944820855,0.127184476587
217,R_52rQ67BFIWPT81l,diabetes,testing,0.0914775860938,0.19250771865,0.101030132556
218,R_52rQ67BFIWPT81l,diabetes,testing,0.109168127264,0.136780206267,0.027612079003
219,R_52rQ67BFIWPT81l,diabetes,testing,0.130624164369,0.14568714027,0.0150629759013
220,R_52rQ67BFIWPT81l,diabetes,testing,0.0869725749526,0.00855877602015,-0.0784137989324
221,R_52rQ67BFIWPT81l,diabetes,testing,0.0731689967154,0.110349636043,0.0371806393271
222,R_52rQ67BFIWPT81l,diabetes,testing,0.0659242805367,0.0859562897185,0.0200320091818
223,R_52rQ67BFIWPT81l,diabetes,testing,0.109384342924,0.0852308676005,-0.0241534753235
224,R_52rQ67BFIWPT81l,diabetes,testing,0.0626496649029,0.162921642739,0.100271977836
225,R_1CWrMhp5nGpISLk,diabetes,training,,,
226,R_1CWrMhp5nGpISLk,diabetes,training,,,
227,R_1CWrMhp5nGpISLk,diabetes,training,,,
228,R_1CWrMhp5nGpISLk,diabetes,training,,,
229,R_1CWrMhp5nGpISLk,diabetes,training,,,
230,R_1CWrMhp5nGpISLk,diabetes,training,,,
231,R_1CWrMhp5nGpISLk,diabetes,training,,,
232,R_1CWrMhp5nGpISLk,diabetes,training,,,
233,R_1CWrMhp5nGpISLk,diabetes,training,,,
234,R_1CWrMhp5nGpISLk,diabetes,training,,,
235,R_1CWrMhp5nGpISLk,diabetes,training,,,
236,R_1CWrMhp5nGpISLk,diabetes,training,,,
237,R_1CWrMhp5nGpISLk,diabetes,testing,0.0940290113526,0.0789626222232,-0.0150663891294
238,R_1CWrMhp5nGpISLk,diabetes,testing,0.0682490341438,0.024833588726,-0.0434154454179
239,R_1CWrMhp5nGpISLk,diabetes,testing,0.0809912446199,0.0323574119465,-0.0486338326733
240,R_1CWrMhp5nGpISLk,diabetes,testing,0.123472772406,0.0492842010058,-0.0741885713999
241,R_1CWrMhp5nGpISLk,diabetes,testing,0.133559348117,0.0650482349436,-0.0685111131738
242,R_1CWrMhp5nGpISLk,diabetes,testing,0.0312851432037,0.0447993131557,0.013514169952
243,R_1CWrMhp5nGpISLk,diabetes,testing,0.092746834945,0.251460979498,0.158714144553
244,R_1CWrMhp5nGpISLk,diabetes,testing,0.0607615415915,0.00458504238026,-0.0561764992112
245,R_1CWrMhp5nGpISLk,diabetes,testing,0.100829307448,0.0085170572603,-0.0923122501877
246,R_1CWrMhp5nGpISLk,diabetes,testing,0.0394188750415,0.0467786612076,0.0073597861661
247,R_1CWrMhp5nGpISLk,diabetes,testing,0.109168127264,0.0465318370444,-0.0626362902199
248,R_1CWrMhp5nGpISLk,diabetes,testing,0.0659242805367,0.119871707805,0.0539474272688
249,R_1CWrMhp5nGpISLk,diabetes,testing,0.0869725749526,0.0603576735907,-0.0266149013619
250,R_1CWrMhp5nGpISLk,diabetes,testing,0.0626496649029,0.137938171615,0.0752885067124
251,R_1CWrMhp5nGpISLk,diabetes,testing,0.0914775860938,0.114477279086,0.0229996929927
252,R_1CWrMhp5nGpISLk,diabetes,testing,0.100760344269,0.212836357615,0.112076013346
253,R_1CWrMhp5nGpISLk,diabetes,testing,0.180716981102,0.104140562148,-0.076576418954
254,R_1CWrMhp5nGpISLk,diabetes,testing,0.109384342924,0.212825668227,0.103441325303
255,R_1CWrMhp5nGpISLk,diabetes,testing,0.130624164369,0.287137259022,0.156513094653
256,R_1CWrMhp5nGpISLk,diabetes,testing,0.0731689967154,0.0868246415591,0.0136556448437
257,R_3MG8uGwV5hZBvNL,diabetes,training,,,
258,R_3MG8uGwV5hZBvNL,diabetes,training,,,
259,R_3MG8uGwV5hZBvNL,diabetes,training,,,
260,R_3MG8uGwV5hZBvNL,diabetes,training,,,
261,R_3MG8uGwV5hZBvNL,diabetes,training,,,
262,R_3MG8uGwV5hZBvNL,diabetes,training,,,
263,R_3MG8uGwV5hZBvNL,diabetes,training,,,
264,R_3MG8uGwV5hZBvNL,diabetes,training,,,
265,R_3MG8uGwV5hZBvNL,diabetes,training,,,
266,R_3MG8uGwV5hZBvNL,diabetes,training,,,
267,R_3MG8uGwV5hZBvNL,diabetes,training,,,
268,R_3MG8uGwV5hZBvNL,diabetes,training,,,
269,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0809912446199,0.0450439896565,-0.0359472549633
270,R_3MG8uGwV5hZBvNL,diabetes,testing,0.123472772406,0.0508208186609,-0.0726519537448
271,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0940290113526,0.115769387289,0.0217403759359
272,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0682490341438,0.163339175024,0.0950901408801
273,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0394188750415,0.129629139703,0.0902102646616
274,R_3MG8uGwV5hZBvNL,diabetes,testing,0.133559348117,0.0301878835367,-0.103371464581
275,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0607615415915,0.0607604461558,-1.09543565338e-06
276,R_3MG8uGwV5hZBvNL,diabetes,testing,0.092746834945,0.148373078665,0.0556262437203
277,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0312851432037,0.0350033913016,0.00371824809788
278,R_3MG8uGwV5hZBvNL,diabetes,testing,0.100829307448,0.0521907219017,-0.0486385855463
279,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0731689967154,0.0676905781985,-0.00547841851694
280,R_3MG8uGwV5hZBvNL,diabetes,testing,0.100760344269,0.106152748832,0.00539240456332
281,R_3MG8uGwV5hZBvNL,diabetes,testing,0.109168127264,0.00639723191736,-0.102770895347
282,R_3MG8uGwV5hZBvNL,diabetes,testing,0.130624164369,0.109335885225,-0.0212882791432
283,R_3MG8uGwV5hZBvNL,diabetes,testing,0.109384342924,0.0966853475028,-0.0126989954213
284,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0869725749526,0.0499082514903,-0.0370643234623
285,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0659242805367,0.0592730742725,-0.0066512062642
286,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0914775860938,0.077661569917,-0.0138160161768
287,R_3MG8uGwV5hZBvNL,diabetes,testing,0.0626496649029,0.146811779718,0.0841621148151
288,R_3MG8uGwV5hZBvNL,diabetes,testing,0.180716981102,0.0164220194859,-0.164294961616
289,R_10u9fEU6tjcCgkp,diabetes,training,,,
290,R_10u9fEU6tjcCgkp,diabetes,training,,,
291,R_10u9fEU6tjcCgkp,diabetes,training,,,
292,R_10u9fEU6tjcCgkp,diabetes,training,,,
293,R_10u9fEU6tjcCgkp,diabetes,training,,,
294,R_10u9fEU6tjcCgkp,diabetes,training,,,
295,R_10u9fEU6tjcCgkp,diabetes,training,,,
296,R_10u9fEU6tjcCgkp,diabetes,training,,,
297,R_10u9fEU6tjcCgkp,diabetes,training,,,
298,R_10u9fEU6tjcCgkp,diabetes,training,,,
299,R_10u9fEU6tjcCgkp,diabetes,training,,,
300,R_10u9fEU6tjcCgkp,diabetes,training,,,
301,R_10u9fEU6tjcCgkp,diabetes,testing,0.0809912446199,0.0208139398434,-0.0601773047764
302,R_10u9fEU6tjcCgkp,diabetes,testing,0.100829307448,0.0603146419659,-0.0405146654821
303,R_10u9fEU6tjcCgkp,diabetes,testing,0.0312851432037,0.020671436003,-0.0106137072007
304,R_10u9fEU6tjcCgkp,diabetes,testing,0.123472772406,0.0757947357396,-0.047678036666
305,R_10u9fEU6tjcCgkp,diabetes,testing,0.133559348117,0.0763935824123,-0.0571657657051
306,R_10u9fEU6tjcCgkp,diabetes,testing,0.0682490341438,0.0640057768301,-0.00424325731376
307,R_10u9fEU6tjcCgkp,diabetes,testing,0.0940290113526,0.0235954664617,-0.070433544891
308,R_10u9fEU6tjcCgkp,diabetes,testing,0.092746834945,0.00377392809949,-0.0889729068455
309,R_10u9fEU6tjcCgkp,diabetes,testing,0.0394188750415,0.046214693197,0.00679581815552
310,R_10u9fEU6tjcCgkp,diabetes,testing,0.0607615415915,0.0224958093333,-0.0382657322582
311,R_10u9fEU6tjcCgkp,diabetes,testing,0.130624164369,0.369100896435,0.238476732066
312,R_10u9fEU6tjcCgkp,diabetes,testing,0.0914775860938,0.0224973343931,-0.0689802517007
313,R_10u9fEU6tjcCgkp,diabetes,testing,0.0626496649029,0.203149917866,0.140500252963
314,R_10u9fEU6tjcCgkp,diabetes,testing,0.0659242805367,0.0331449386913,-0.0327793418454
315,R_10u9fEU6tjcCgkp,diabetes,testing,0.180716981102,0.169960260959,-0.0107567201432
316,R_10u9fEU6tjcCgkp,diabetes,testing,0.109384342924,0.202044777301,0.092660434377
317,R_10u9fEU6tjcCgkp,diabetes,testing,0.109168127264,0.0717709345085,-0.0373971927558
318,R_10u9fEU6tjcCgkp,diabetes,testing,0.0869725749526,0.150326853268,0.0633542783154
319,R_10u9fEU6tjcCgkp,diabetes,testing,0.100760344269,0.0170288215307,-0.0837315227383
320,R_10u9fEU6tjcCgkp,diabetes,testing,0.0731689967154,0.0537583299657,-0.0194106667497
