participant,domain,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_10ZHzHEdKnH9gjk,housing,counterfactual,11,172,weighted examples,0.31393376954670354,0.6666666666666666,0.6666666666666666,0.32381884591446475,0.46136363625,1.0,0.0753114005,1.0,0.0,1.0,0.9501446155980969,0.9507954545454546,0.06502278496254467,0.1661054705516385
R_10ZHzHEdKnH9gjk,housing,counterfactual,12,2462,weighted examples,0.45981822669602196,1.0,0.75,0.24686004636781822,0.4576363636,0.0,0.1103438057,0.9893522727,0.0,0.0,0.9335195386269576,0.9531818181818181,0.20796738848658475,0.4805857246436517
R_10ZHzHEdKnH9gjk,housing,counterfactual,13,1657,weighted examples,0.30995109987139496,1.0,1.0,0.20384831319486466,0.31237373733333335,0.0,0.0657160307,0.9994318182,0.0,0.0,0.9657324196912666,0.9598863636363637,0.08089582303243265,0.26458243760337
R_10ZHzHEdKnH9gjk,housing,counterfactual,14,1751,weighted examples,0.5625488072820308,1.0,0.75,0.17142219813502246,0.334090909,1.0,0.0020991352,0.9984090909,0.0,0.0,0.9414150126698644,0.9575,0.11235497919498166,0.26634120642052334
R_10ZHzHEdKnH9gjk,housing,counterfactual,15,553,weighted examples,0.20018309095017706,0.3333333333333333,0.6666666666666666,0.2886969546709553,0.251339962,0.0,0.348529882,0.9966931818,1.0,0.0,0.963571954767925,0.9598863636363636,0.07750140068515027,0.2029266346588025
R_10ZHzHEdKnH9gjk,housing,counterfactual,16,2728,weighted examples,0.30364720011772145,1.0,0.3333333333333333,0.30662578204898194,0.371090909,1.0,0.3072312036,0.9904090909,0.0,1.0,0.9568502882554594,0.9589772727272727,0.08896083472215674,0.00663423872155966
R_10ZHzHEdKnH9gjk,housing,counterfactual,17,2447,weighted examples,0.3373021637835382,0.6666666666666666,0.4,0.28648445176454546,0.4199999999772728,0.0,0.2574649061,0.9858863636,0.0,0.0,0.9626333406231098,0.9782954545454545,0.0447709900642827,0.03764918418233387
R_10ZHzHEdKnH9gjk,housing,counterfactual,18,2767,weighted examples,0.40758510845914986,0.75,0.75,0.22389895096667098,0.32032196980000005,1.0,0.0744955427,0.9998295455,1.0,0.0,0.9639094258086632,0.9398863636363637,0.007729911754243035,0.32942234837988316
R_10ZHzHEdKnH9gjk,housing,counterfactual,19,456,weighted examples,0.2972735564158947,0.6666666666666666,0.8,0.2250397674233664,0.21810606033333335,0.0,0.1011783789,0.9946136364,1.0,0.0,0.958424931064247,0.9975,0.09058079864889085,0.3639631857637027
R_10ZHzHEdKnH9gjk,housing,counterfactual,20,1155,weighted examples,0.42575978939000514,1.0,0.8571428571428571,0.15014200873527028,0.37964015125,0.0,0.4673737208,0.9889772727,1.0,0.0,0.9571659963181861,0.9593181818181818,0.003190391372529078,0.6468791762377606
