row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
65,R_5ASRudX4WuOaMDD,diabetes,training,,,
66,R_5ASRudX4WuOaMDD,diabetes,training,,,
67,R_5ASRudX4WuOaMDD,diabetes,training,,,
68,R_5ASRudX4WuOaMDD,diabetes,training,,,
69,R_5ASRudX4WuOaMDD,diabetes,training,,,
70,R_5ASRudX4WuOaMDD,diabetes,training,,,
71,R_5ASRudX4WuOaMDD,diabetes,training,,,
72,R_5ASRudX4WuOaMDD,diabetes,training,,,
73,R_5ASRudX4WuOaMDD,diabetes,training,,,
74,R_5ASRudX4WuOaMDD,diabetes,training,,,
75,R_5ASRudX4WuOaMDD,diabetes,training,,,
76,R_5ASRudX4WuOaMDD,diabetes,training,,,
77,R_5ASRudX4WuOaMDD,diabetes,testing,0.0980127823706,0.237365967898,0.139353185527
78,R_5ASRudX4WuOaMDD,diabetes,testing,0.0664632820126,0.0170568398774,-0.0494064421352
79,R_5ASRudX4WuOaMDD,diabetes,testing,0.0372518432215,0.155234405897,0.117982562675
80,R_5ASRudX4WuOaMDD,diabetes,testing,0.0501717968156,0.133985194726,0.0838133979103
81,R_5ASRudX4WuOaMDD,diabetes,testing,0.281142117469,0.0585864035264,-0.222555713942
82,R_5ASRudX4WuOaMDD,diabetes,testing,0.0569726484831,0.174169393677,0.117196745194
83,R_5ASRudX4WuOaMDD,diabetes,testing,0.0395820491408,0.239055757382,0.199473708241
84,R_5ASRudX4WuOaMDD,diabetes,testing,0.0747170723186,0.115512884812,0.0407958124938
85,R_5ASRudX4WuOaMDD,diabetes,testing,0.0605519329641,0.298712382335,0.238160449371
86,R_5ASRudX4WuOaMDD,diabetes,testing,0.0929170929375,0.0611819277289,-0.0317351652086
87,R_5ASRudX4WuOaMDD,diabetes,testing,0.0818222236912,0.0954581530891,0.0136359293979
88,R_5ASRudX4WuOaMDD,diabetes,testing,0.215219871146,0.0850011211951,-0.130218749951
89,R_5ASRudX4WuOaMDD,diabetes,testing,0.030760691058,0.233306867049,0.202546175991
90,R_5ASRudX4WuOaMDD,diabetes,testing,0.038863565943,0.18420196669,0.145338400747
91,R_5ASRudX4WuOaMDD,diabetes,testing,0.558946397893,0.11008800421,-0.448858393683
92,R_5ASRudX4WuOaMDD,diabetes,testing,0.204135275223,0.238931936254,0.034796661031
93,R_5ASRudX4WuOaMDD,diabetes,testing,0.034821278767,0.119248815619,0.0844275368521
94,R_5ASRudX4WuOaMDD,diabetes,testing,0.284435118814,0.0670134809987,-0.217421637815
95,R_5ASRudX4WuOaMDD,diabetes,testing,0.0900870805017,0.043781894564,-0.0463051859377
96,R_5ASRudX4WuOaMDD,diabetes,testing,0.0606767911965,0.0191364094433,-0.0415403817531
97,R_3Qv0QTQ49yAIRot,diabetes,training,,,
98,R_3Qv0QTQ49yAIRot,diabetes,training,,,
99,R_3Qv0QTQ49yAIRot,diabetes,training,,,
100,R_3Qv0QTQ49yAIRot,diabetes,training,,,
101,R_3Qv0QTQ49yAIRot,diabetes,training,,,
102,R_3Qv0QTQ49yAIRot,diabetes,training,,,
103,R_3Qv0QTQ49yAIRot,diabetes,training,,,
104,R_3Qv0QTQ49yAIRot,diabetes,training,,,
105,R_3Qv0QTQ49yAIRot,diabetes,training,,,
106,R_3Qv0QTQ49yAIRot,diabetes,training,,,
107,R_3Qv0QTQ49yAIRot,diabetes,training,,,
108,R_3Qv0QTQ49yAIRot,diabetes,training,,,
109,R_3Qv0QTQ49yAIRot,diabetes,testing,0.281142117469,0.115774283089,-0.16536783438
110,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0605519329641,0.0772127762753,0.0166608433112
111,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0501717968156,0.0778688054193,0.0276970086037
112,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0929170929375,0.0355691211315,-0.057347971806
113,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0372518432215,0.0137296267792,-0.0235222164423
114,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0980127823706,0.047793107575,-0.0502196747956
115,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0747170723186,0.074307298439,-0.000409773879597
116,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0569726484831,0.141438703539,0.0844660550559
117,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0395820491408,0.118696339,0.079114289859
118,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0664632820126,0.0397955951295,-0.0266676868831
119,R_3Qv0QTQ49yAIRot,diabetes,testing,0.204135275223,0.100694536249,-0.103440738975
120,R_3Qv0QTQ49yAIRot,diabetes,testing,0.038863565943,0.00616235035482,-0.0327012155881
121,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0900870805017,0.00377385049187,-0.0863132300098
122,R_3Qv0QTQ49yAIRot,diabetes,testing,0.284435118814,0.490769659679,0.206334540865
123,R_3Qv0QTQ49yAIRot,diabetes,testing,0.558946397893,0.56250073282,0.00355433492654
124,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0818222236912,0.00843572628184,-0.0733864974093
125,R_3Qv0QTQ49yAIRot,diabetes,testing,0.215219871146,0.0335028758959,-0.18171699525
126,R_3Qv0QTQ49yAIRot,diabetes,testing,0.034821278767,0.145180276221,0.110358997454
127,R_3Qv0QTQ49yAIRot,diabetes,testing,0.030760691058,0.0844370861425,0.0536763950845
128,R_3Qv0QTQ49yAIRot,diabetes,testing,0.0606767911965,0.170875175171,0.110198383974
129,R_7PsMTUjq8Wa1btt,diabetes,training,,,
130,R_7PsMTUjq8Wa1btt,diabetes,training,,,
131,R_7PsMTUjq8Wa1btt,diabetes,training,,,
132,R_7PsMTUjq8Wa1btt,diabetes,training,,,
133,R_7PsMTUjq8Wa1btt,diabetes,training,,,
134,R_7PsMTUjq8Wa1btt,diabetes,training,,,
135,R_7PsMTUjq8Wa1btt,diabetes,training,,,
136,R_7PsMTUjq8Wa1btt,diabetes,training,,,
137,R_7PsMTUjq8Wa1btt,diabetes,training,,,
138,R_7PsMTUjq8Wa1btt,diabetes,training,,,
139,R_7PsMTUjq8Wa1btt,diabetes,training,,,
140,R_7PsMTUjq8Wa1btt,diabetes,training,,,
141,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0372518432215,0.0370875813794,-0.000164261842036
142,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0929170929375,0.0766007102369,-0.0163163827005
143,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0980127823706,0.0467553993956,-0.051257382975
144,R_7PsMTUjq8Wa1btt,diabetes,testing,0.281142117469,0.113991699653,-0.167150417816
