domain,xai,strategy,implied_mental_model,n_participants_with_strategy_available,n_participants_in_group,strict_best_count,selected_one_se_simplest_count,supported_one_se_count,mean_cv_normalized_l1,mean_cv_feature_f1,mean_cv_direction_accuracy
diabetes,counterfactual,change_attributes_not_matching_target_profile,prototype,19,19,1,2,2,0.12250115401706117,0.4703341687552214,0.9219904493511304
diabetes,counterfactual,change_largest_target_profile_mismatches,prototype,19,19,1,1,4,0.11481172730526845,0.38656223893066,0.926098475827578
diabetes,counterfactual,change_toward_remembered_exemplar,exemplar,19,19,0,0,0,0.1495432102483212,0.21674185463659143,0.834108862843383
diabetes,counterfactual,copy_changes_from_remembered_example,shared change memory,19,19,0,1,3,0.11283212372957785,0.5298245614035086,0.8271534098403904
diabetes,none,change_most_contributing_attributes,attribution,23,23,4,6,9,0.09034589951561012,0.44499999999999995,0.945511010728402
diabetes,none,change_most_influential_attributes_to_flip,attribution,23,23,5,4,13,0.08995316345712069,0.4753623188405798,0.9386845039018953
diabetes,none,change_most_influential_attributes_by_fixed_amount,attribution,23,23,9,5,11,0.08778233618673532,0.6432142857142856,0.9107185990338165
diabetes,none,set_attributes_to_target_profile_values,prototype,23,23,0,0,1,0.11619311429995303,0.5910524499654936,0.9174221663082883
diabetes,none,change_attributes_not_matching_target_profile,prototype,23,23,1,2,2,0.12424401581945516,0.564423740510697,0.9107524245396099
diabetes,none,change_largest_target_profile_mismatches,prototype,23,23,4,6,8,0.09983642161404586,0.6057763975155279,0.9161319896731797
diabetes,none,change_toward_remembered_exemplar,exemplar,23,23,0,0,0,0.12667115806290996,0.44852484472049686,0.9033126293995859
