participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.5,1.0,nan,nan,0,4,0.37540526069382735,0.38227112763106713,0.1330816490187218,1.0,1.2890222933528306,0.3754052606938273,0.38227112763106713,0.1330816490187218,1.0,1.2890222933528306,1
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.4208938436565638,0.26785316590855357,0.10964085322168113,1.0,1.8082506058422023,0.42755811112254705,0.26785316590855357,0.12296938815364769,1.0,1.8082506058422019,0
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.5,nan,nan,0,4,0.33393940380086623,0.5572191197557698,0.2250979273575021,0.8,1.5269340193722536,0.3339394038008662,0.5572191197557698,0.2250979273575021,0.8,1.5269340193722538,1
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.5,0,4,0.31828209420905684,0.5412381473655906,0.17780233578370425,0.75,1.5320191200621491,0.3608713371052915,0.46987928440204507,0.19162195861262815,0.75,1.9510268938555655,0
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,1.0,0.5,nan,nan,1,4,0.35020017523247443,0.4866259203064784,0.18702627077142708,0.5,1.3579731917077145,0.3502001752324744,0.48662592030647833,0.1870262707714271,0.5,1.3579731917077138,1
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.0,6.0,1.0,1,4,0.4696878862445889,0.2500151724276131,0.18939094491679082,0.4333333333333334,2.4675037754911804,0.4744458547496575,0.24262717772724995,0.19151888722656502,0.4333333333333333,2.5249245758231935,0
R_5gkJQXcSCkjRBmu,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,1.5,nan,nan,0,4,0.2934409406435571,0.6295591511054808,0.21644103239259507,1.0,1.2842260753682422,0.2989877059163804,0.6295591511054809,0.22753456293824162,1.0,1.2842260753682422,0
R_5gkJQXcSCkjRBmu,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.5,6.0,0.0,0,4,0.22939647957501158,0.6577312831708382,0.11652424232086142,0.975,1.1999643937477364,0.22939647957501155,0.6577312831708384,0.11652424232086141,0.975,1.1999643937477367,1
R_61hCu6g2tcWoJo7,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,1.5,nan,nan,0,4,0.31500821540051543,0.534253371233546,0.1642698020345768,1.0,1.5024029034779267,0.3207382751764588,0.534253371233546,0.1757299215864635,1.0,1.5024029034779267,1
R_61hCu6g2tcWoJo7,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,0,4,0.31696071445750296,0.5404985076129485,0.1744199365279543,0.8833333333333332,1.4815786918174672,0.31713178888780774,0.5320428944997119,0.16630647227532727,0.9083333333333332,1.5337037447380184,0
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.0,1.0,nan,nan,0,4,0.25024256418989516,0.6914570157399734,0.19194214411976368,1.0,0.8972148537664598,0.2586672810598331,0.6727474870272345,0.19008204914690066,1.0,0.9257050481626333,1
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.5,2.0,0.0,0,4,0.3325866104499671,0.5013366974729758,0.16650991837291007,0.9,1.7384268074220668,0.33461917484038717,0.49768825783860426,0.16692660751937877,0.9,1.7586218783506886,0
R_6I5GvkY1dba6Sm6,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,1.5,nan,nan,0,4,0.26305165798731417,0.7244857421677132,0.2505890581423415,0.9833333333333334,2.6120810615774643,0.28746023011838917,0.6756685979055631,0.2505890581423415,0.9833333333333332,3.1535675461435475,1
R_6I5GvkY1dba6Sm6,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.5,2.0,0.0,0,4,0.23626490385542126,0.7299267842125814,0.20245659192342388,0.8583333333333332,2.5300899556452996,0.29077414915828526,0.6244252180076937,0.20597351632426406,0.8583333333333334,3.5718172070662284,0
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,0,4,0.35787911863676725,0.6905599428061753,0.4063181800797097,0.5,0.7527996763145135,0.3578791186367673,0.690559942806175,0.40631818007970966,0.5,0.7527996763145135,1
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.5,2.0,1.0,0,4,0.3978892319770627,0.5943475113876926,0.39012597534181803,0.5,1.304829227945144,0.40090669832715775,0.5890148319998046,0.39082822865412037,0.5,1.3267929061780381,0
R_6upJU84Jtf3Faf5,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,4,0.28284496674761,0.5876218062688898,0.15331173976410986,1.0,1.1476387001997677,0.28284496674761006,0.5876218062688897,0.15331173976410986,1.0,1.1476387001997677,0
R_6upJU84Jtf3Faf5,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,4,0.2497954890514261,0.6056955003586709,0.10528647846152295,0.975,1.0501301234723937,0.2505822452390467,0.6053050565690198,0.10646954704711317,0.975,1.0548924273059475,1
R_771uyV9h8uinmh3,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,0.5,nan,nan,0,4,0.36537328898228194,0.43869653490265614,0.16944311286721989,1.0,0.9927988310145061,0.3653732889822819,0.43869653490265603,0.16944311286721989,1.0,0.992798831014506,1
R_771uyV9h8uinmh3,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.3253868973039277,0.4616099904295929,0.11238378503744846,1.0,1.0676465115889386,0.3253868973039277,0.461609990429593,0.11238378503744846,1.0,1.0676465115889386,0
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,4,0.28584303515712023,0.6467373470907051,0.21842341740494553,0.5333333333333333,1.6355759063049333,0.2843433352956823,0.649736746813581,0.21842341740494547,0.5333333333333333,1.721639796081727,1
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,1.0,0,4,0.24588096563703749,0.7051742773471353,0.19693620862121047,0.5333333333333333,1.6874929362764253,0.28937688998703415,0.6100952552876925,0.18884903526176075,0.5666666666666667,2.0754134878485444,0
R_7IXNpixLXSjItSq,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,1,4,0.4479314955535503,0.24992420961028108,0.14578720071738177,0.95,1.8733678503957805,0.4757850416980153,0.19421711732135108,0.14578720071738177,0.95,2.084371115905851,1
R_7IXNpixLXSjItSq,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,1,4,0.46672550904205135,0.22256329687501072,0.15601431495911336,0.85,2.0962189332138292,0.4784057072459162,0.2162679473412294,0.1730793618330618,0.85,2.142378332270615,0
R_7L78tZJ3cQDgpFH,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,4,0.34373919925102286,0.7529212930248974,0.440399691526943,0.12333333333333334,1.20080624655261,0.34373919925102286,0.7529212930248975,0.44039969152694314,0.12333333333333334,1.20080624655261,1
R_7L78tZJ3cQDgpFH,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,1.0,1,4,0.33671939053386196,0.75779105170051,0.4312298327682339,0.12333333333333334,1.201755344382433,0.336719390533862,0.75779105170051,0.4312298327682341,0.12333333333333334,1.2017553443824327,0
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.0,1.0,nan,nan,1,4,0.2781485668863348,0.5646510166688844,0.120948150441554,0.8875,1.7152888834919255,0.28620611143199753,0.5490287920954717,0.12144101495946677,0.9333333333333333,1.87663689322757,1
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.5,6.0,0.5,1,4,0.2848372060238697,0.5653375434777655,0.135011955525505,0.8,2.0652706802423046,0.28483720602386975,0.5653375434777657,0.135011955525505,0.7999999999999999,2.065270680242305,0
R_7xWlSJ5Zdqog9gt,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,4,0.28006819512517056,0.7817496887563531,0.3418860790066943,0.5916666666666667,1.218883796557014,0.28607780047131104,0.7697304780640722,0.3418860790066943,0.5916666666666667,1.3815900010415763,1
R_7xWlSJ5Zdqog9gt,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.5,6.0,0.0,0,4,0.2813356468938547,0.7370586397387886,0.299729933526498,0.6458333333333333,1.5779637282157806,0.28420097031969893,0.7353803488515636,0.3037822894909614,0.6458333333333333,1.609706008021321,0
