domain,xai,mental_model,n_participants,strict_best_count,supported_delta_bic_lt_2_count,mean_nll,mean_log_loss,mean_brier,mean_accuracy
all,all,exemplar,24,8,23,8.222060831375517,0.6851717359479595,0.2461866060084884,0.5520833333333334
all,all,attribution,24,13,23,8.102687454468844,0.6752239545390702,0.24125468368401295,0.6076388888888888
all,all,prototype,24,3,23,8.262732112818188,0.6885610094015157,0.24761456159220493,0.5659722222222222
diabetes,all,exemplar,24,8,23,8.222060831375517,0.6851717359479595,0.2461866060084884,0.5520833333333334
diabetes,all,attribution,24,13,23,8.102687454468844,0.6752239545390702,0.24125468368401295,0.6076388888888888
diabetes,all,prototype,24,3,23,8.262732112818188,0.6885610094015157,0.24761456159220493,0.5659722222222222
all,attribution,exemplar,9,2,8,8.458573441950234,0.7048811201625195,0.25550588754700737,0.48148148148148157
all,attribution,attribution,9,4,9,8.14439354658715,0.6786994622155957,0.24273182022499146,0.5833333333333334
all,attribution,prototype,9,3,8,8.39049632669238,0.699208027224365,0.25221102907995396,0.5
all,counterfactual,exemplar,8,1,8,8.300186133486731,0.691682177790561,0.2492675285951561,0.5729166666666666
all,counterfactual,attribution,8,7,8,8.035654079914156,0.6696378399928463,0.2383344215637702,0.6562500000000001
all,counterfactual,prototype,8,0,8,8.27595311518849,0.6896627595990407,0.2482584583422142,0.6666666666666667
all,none,exemplar,7,5,7,7.828687129652342,0.6523905941376951,0.23068361821705802,0.619047619047619
all,none,attribution,7,2,6,8.125674906950662,0.677139575579222,0.24269295055446097,0.5833333333333333
all,none,prototype,7,0,7,8.083354120842454,0.6736128434035378,0.240968935679374,0.5357142857142857
diabetes,attribution,exemplar,9,2,8,8.458573441950234,0.7048811201625195,0.25550588754700737,0.48148148148148157
diabetes,attribution,attribution,9,4,9,8.14439354658715,0.6786994622155957,0.24273182022499146,0.5833333333333334
diabetes,attribution,prototype,9,3,8,8.39049632669238,0.699208027224365,0.25221102907995396,0.5
diabetes,counterfactual,exemplar,8,1,8,8.300186133486731,0.691682177790561,0.2492675285951561,0.5729166666666666
diabetes,counterfactual,attribution,8,7,8,8.035654079914156,0.6696378399928463,0.2383344215637702,0.6562500000000001
diabetes,counterfactual,prototype,8,0,8,8.27595311518849,0.6896627595990407,0.2482584583422142,0.6666666666666667
diabetes,none,exemplar,7,5,7,7.828687129652342,0.6523905941376951,0.23068361821705802,0.619047619047619
diabetes,none,attribution,7,2,6,8.125674906950662,0.677139575579222,0.24269295055446097,0.5833333333333333
diabetes,none,prototype,7,0,7,8.083354120842454,0.6736128434035378,0.240968935679374,0.5357142857142857
