row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
65,R_1vbS8BCLvmrwGHr,diabetes,training,,,
66,R_1vbS8BCLvmrwGHr,diabetes,training,,,
67,R_1vbS8BCLvmrwGHr,diabetes,training,,,
68,R_1vbS8BCLvmrwGHr,diabetes,training,,,
69,R_1vbS8BCLvmrwGHr,diabetes,training,,,
70,R_1vbS8BCLvmrwGHr,diabetes,training,,,
71,R_1vbS8BCLvmrwGHr,diabetes,training,,,
72,R_1vbS8BCLvmrwGHr,diabetes,training,,,
73,R_1vbS8BCLvmrwGHr,diabetes,training,,,
74,R_1vbS8BCLvmrwGHr,diabetes,training,,,
75,R_1vbS8BCLvmrwGHr,diabetes,training,,,
76,R_1vbS8BCLvmrwGHr,diabetes,training,,,
77,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0980127823706,0.0167346380852,-0.0812781442854
78,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0569726484831,0.168642331784,0.111669683301
79,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0929170929375,0.0754363988007,-0.0174806941368
80,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0395820491408,0.166775808856,0.127193759715
81,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0664632820126,0.0408236471819,-0.0256396348307
82,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0747170723186,0.0248692866629,-0.0498477856556
83,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0372518432215,0.0317180638694,-0.00553377935205
84,R_1vbS8BCLvmrwGHr,diabetes,testing,0.281142117469,0.113134766662,-0.168007350807
85,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0605519329641,0.169232542808,0.108680609844
86,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0501717968156,0.088587447328,0.0384156505124
87,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0900870805017,0.00693842259824,-0.0831486579034
88,R_1vbS8BCLvmrwGHr,diabetes,testing,0.038863565943,0.00616235035482,-0.0327012155881
89,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0606767911965,0.158493416363,0.0978166251668
90,R_1vbS8BCLvmrwGHr,diabetes,testing,0.558946397893,0.193178976624,-0.365767421269
91,R_1vbS8BCLvmrwGHr,diabetes,testing,0.284435118814,0.0401869452881,-0.244248173526
92,R_1vbS8BCLvmrwGHr,diabetes,testing,0.215219871146,0.157737508648,-0.0574823624978
93,R_1vbS8BCLvmrwGHr,diabetes,testing,0.0818222236912,0.0551526408008,-0.0266695828904
94,R_1vbS8BCLvmrwGHr,diabetes,testing,0.034821278767,0.00665863468353,-0.0281626440835
95,R_1vbS8BCLvmrwGHr,diabetes,testing,0.030760691058,0.0152900486062,-0.0154706424519
96,R_1vbS8BCLvmrwGHr,diabetes,testing,0.204135275223,0.130364158785,-0.073771116438
97,R_1yltjaSsgo0dVO7,diabetes,training,,,
98,R_1yltjaSsgo0dVO7,diabetes,training,,,
99,R_1yltjaSsgo0dVO7,diabetes,training,,,
100,R_1yltjaSsgo0dVO7,diabetes,training,,,
101,R_1yltjaSsgo0dVO7,diabetes,training,,,
102,R_1yltjaSsgo0dVO7,diabetes,training,,,
103,R_1yltjaSsgo0dVO7,diabetes,training,,,
104,R_1yltjaSsgo0dVO7,diabetes,training,,,
105,R_1yltjaSsgo0dVO7,diabetes,training,,,
106,R_1yltjaSsgo0dVO7,diabetes,training,,,
107,R_1yltjaSsgo0dVO7,diabetes,training,,,
108,R_1yltjaSsgo0dVO7,diabetes,training,,,
109,R_1yltjaSsgo0dVO7,diabetes,testing,0.0569726484831,0.293671094782,0.236698446299
110,R_1yltjaSsgo0dVO7,diabetes,testing,0.0501717968156,0.472521612879,0.422349816063
111,R_1yltjaSsgo0dVO7,diabetes,testing,0.0372518432215,0.526584760362,0.489332917141
112,R_1yltjaSsgo0dVO7,diabetes,testing,0.0747170723186,0.324208989821,0.249491917502
113,R_1yltjaSsgo0dVO7,diabetes,testing,0.0980127823706,0.409012374021,0.31099959165
114,R_1yltjaSsgo0dVO7,diabetes,testing,0.0664632820126,0.458241716508,0.391778434496
115,R_1yltjaSsgo0dVO7,diabetes,testing,0.0605519329641,0.429030502273,0.368478569309
116,R_1yltjaSsgo0dVO7,diabetes,testing,0.281142117469,0.298809980969,0.0176678635002
117,R_1yltjaSsgo0dVO7,diabetes,testing,0.0929170929375,0.262074863655,0.169157770718
118,R_1yltjaSsgo0dVO7,diabetes,testing,0.0395820491408,0.358549897868,0.318967848727
119,R_1yltjaSsgo0dVO7,diabetes,testing,0.204135275223,0.46300740197,0.258872126747
120,R_1yltjaSsgo0dVO7,diabetes,testing,0.215219871146,0.158718148684,-0.0565017224619
121,R_1yltjaSsgo0dVO7,diabetes,testing,0.034821278767,0.426600788487,0.39177950972
122,R_1yltjaSsgo0dVO7,diabetes,testing,0.558946397893,0.0625985365062,-0.496347861387
123,R_1yltjaSsgo0dVO7,diabetes,testing,0.038863565943,0.199153164632,0.160289598689
124,R_1yltjaSsgo0dVO7,diabetes,testing,0.284435118814,0.144667989267,-0.139767129547
125,R_1yltjaSsgo0dVO7,diabetes,testing,0.0818222236912,0.316081961575,0.234259737884
126,R_1yltjaSsgo0dVO7,diabetes,testing,0.0900870805017,0.29986423682,0.209777156319
