best_counterfactual_strategy,participants,mean_success,median_success,mean_confidence_change,mean_sparsity,mean_edit_distance,mean_confidence_per_edit,mean_plausibility,mean_direction_accuracy,mean_fit_loss,mean_fit_gap
copy_changes_from_remembered_example,1,0.75,0.75,0.69410371287584,0.62,0.48704801527395,1.425123788843339,0.94558546437605,1.0,0.0737210685259193,0.0057639914018464
change_largest_target_profile_mismatches,9,0.7333333333333333,0.75,0.683469406561755,0.6322222222222222,0.6608269053142894,1.1567536923988233,0.9339577159350055,0.9222222222222223,0.07933386440655739,0.0073560953149473885
set_attributes_to_target_profile_values,1,0.7,0.7,0.6194758731934692,0.7100000000000001,0.7222952219820999,0.8576491361711114,0.92007363161865,0.8,0.0561699838497284,0.0022285431099587
change_most_contributing_attributes,8,0.65625,0.6,0.5843199505024134,0.59,0.5691417198487563,1.2103032730201895,0.9370858036912875,0.9125,0.09894704253678167,0.0045008970209359294
change_attributes_not_matching_target_profile,4,0.6375,0.6499999999999999,0.5575691994029006,0.45,0.741899378296895,0.7926404497310722,0.9372178398149,0.925,0.11531208234626428,0.001344036343207275
change_most_influential_attributes_to_flip,15,0.6266666666666667,0.65,0.5726461056388106,0.6679999999999999,0.5075501619313124,1.2095058011091813,0.9382195206967333,0.8666666666666667,0.07588274273860145,0.0044762859200489025
change_most_influential_attributes_by_fixed_amount,19,0.6236842105263157,0.7,0.5707263422341501,0.6563157894736843,0.5253508049832633,1.196460968646689,0.9395869306122421,0.863157894736842,0.06188364083905869,0.026500276749602543
