condition,model family,noise,simulations,eta exact recovery,eta mean absolute error,alpha exact recovery,alpha mean absolute error,rho exact recovery,rho mean absolute error,lambda exact recovery,lambda mean absolute error,beta exact recovery,beta mean absolute error,family exact recovery,mean true-vs-other loss margin
attribution,weighted examples,amount sd=.05 + selection swaps 10% | family recovery,27,,,,,,,,,,,1.0,0.18112520219031517
attribution,weighted examples,amount sd=.05 + selection swaps 20% | family recovery,27,,,,,,,,,,,1.0,0.1475648941029694
counterfactual,feature contribution,none,27,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,
counterfactual,feature contribution,amount noise sd=.05,27,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,
counterfactual,feature contribution,selection swaps 10%,27,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,
counterfactual,feature contribution,selection swaps 20%,27,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,
counterfactual,feature contribution,selection swaps 40%,27,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,
counterfactual,feature contribution,amount sd=.05 + selection swaps 20%,27,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,
counterfactual,weighted examples,none,40,0.85,0.1,,,1.0,0.0,1.0,0.0,1.0,0.0,,
counterfactual,weighted examples,amount noise sd=.05,40,0.775,0.1375,,,0.925,0.0375,1.0,0.0,1.0,0.0,,
counterfactual,weighted examples,selection swaps 10%,40,0.85,0.1,,,1.0,0.0,1.0,0.0,1.0,0.0,,
counterfactual,weighted examples,selection swaps 20%,40,0.85,0.1,,,1.0,0.0,0.95,0.15,1.0,0.0,,
counterfactual,weighted examples,selection swaps 40%,40,0.875,0.075,,,1.0,0.0,0.925,0.15,1.0,0.0,,
counterfactual,weighted examples,amount sd=.05 + selection swaps 20%,40,0.75,0.1625,,,0.875,0.075,0.9,0.2,1.0,0.0,,
counterfactual,feature contribution,none | family recovery,27,,,,,,,,,,,1.0,0.2711694401605752
counterfactual,feature contribution,amount noise sd=.05 | family recovery,27,,,,,,,,,,,1.0,0.2530957442536994
counterfactual,feature contribution,selection swaps 10% | family recovery,27,,,,,,,,,,,1.0,0.24597782237090338
counterfactual,feature contribution,selection swaps 20% | family recovery,27,,,,,,,,,,,1.0,0.21195496686075607
counterfactual,feature contribution,selection swaps 40% | family recovery,27,,,,,,,,,,,1.0,0.14759921804268838
counterfactual,feature contribution,amount sd=.05 + selection swaps 10% | family recovery,27,,,,,,,,,,,1.0,0.21893896348129502
counterfactual,feature contribution,amount sd=.05 + selection swaps 20% | family recovery,27,,,,,,,,,,,1.0,0.19826006246608796
counterfactual,weighted examples,none | family recovery,40,,,,,,,,,,,1.0,0.24004239376593633
counterfactual,weighted examples,amount noise sd=.05 | family recovery,40,,,,,,,,,,,1.0,0.2227834445360261
counterfactual,weighted examples,selection swaps 10% | family recovery,40,,,,,,,,,,,1.0,0.21663507387646064
counterfactual,weighted examples,selection swaps 20% | family recovery,40,,,,,,,,,,,1.0,0.20374221948649654
counterfactual,weighted examples,selection swaps 40% | family recovery,40,,,,,,,,,,,1.0,0.1522321397031259
counterfactual,weighted examples,amount sd=.05 + selection swaps 10% | family recovery,40,,,,,,,,,,,1.0,0.20382939784419118
counterfactual,weighted examples,amount sd=.05 + selection swaps 20% | family recovery,40,,,,,,,,,,,1.0,0.1870784466718759
