participant,domain,xai,testing_cases,attribute selection method,best-supported attribute selection method,raw best attribute selection method,attribute selection ranking score,attribute selection average precision,attribute selection score gap,best independent amount method,one-SE independent amount method,amount normalized MAE,change amount method,change amount normalized MAE,amount MAE gap,selection ranking score: Current-case contribution,selection ranking score: Global importance,selection ranking score: Target-profile mismatch,selection ranking score: Nearest target example,selection ranking score: Similar remembered edit,amount MAE: One fixed normalized amount,amount MAE: Feature-specific fixed amount,amount MAE: Target-specific endpoint,amount MAE: Estimated amount needed to flip,amount MAE: Target-profile centre,amount MAE: Nearest target-profile range edge,amount MAE: Nearest target-example value,amount MAE: Remembered edit amount
R_53vXmt7xog3ij55,diabetes,attribution,18,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.6805555555555556,0.7688271604938272,0.01388888888888895,Feature-specific fixed amount,Feature-specific fixed amount,0.04976820633885602,Feature-specific fixed amount,0.04976820633885602,0.01390863727437315,0.6203703703703703,0.6666666666666666,0.6805555555555556,0.5787037037037037,,0.06367684361322917,0.04976820633885602,0.1162806588448064,0.15761317268433875,0.10727553929789667,0.10716860084417003,0.10155906006830792,
R_56kBaagYoPMItRS,diabetes,attribution,18,Unclear or overlapping,Unclear,Global importance,0.4722222222222222,0.662037037037037,0.04166666666666663,Target-profile centre,Target-profile centre,0.10042362132749111,Target-profile centre,0.10042362132749111,0.0036839632934560773,0.2546296296296296,0.4722222222222222,0.4305555555555556,0.3009259259259259,,0.11217549656401944,0.11175525833143148,0.10410758462094719,0.21282602460168648,0.10042362132749111,0.15897772956261455,0.17131230968186295,
R_5AdxFNYPUVXDGcV,diabetes,counterfactual,18,Current-case contribution,Current-case contribution,Current-case contribution,0.5277777777777778,0.700925925925926,0.06018518518518523,One fixed normalized amount,Target-profile centre,0.19390642762025373,Target-profile centre,0.21893206278912186,0.005951372116180492,0.5277777777777778,0.45370370370370366,0.449074074074074,0.46759259259259256,0.45370370370370366,0.19390642762025373,0.20009585780900138,0.19985779973643422,0.3223564668147164,0.21893206278912186,0.3025152298216354,0.2660539019507562,0.3453292243237545
R_5Rv44YPGvhr8aCR,diabetes,attribution,18,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.6944444444444444,0.7787037037037037,0.03703703703703709,Target-specific endpoint,Target-specific endpoint,0.08056215373368325,Target-specific endpoint,0.08056215373368325,0.08034279533110472,0.4722222222222222,0.6574074074074073,0.6944444444444444,0.574074074074074,,0.16090494906478797,0.19754807608922778,0.08056215373368325,0.385910367883163,0.23156522438849303,0.3084925516290646,0.3082808938872347,
R_5w6IMky8ndKIb5h,diabetes,none,18,Target-profile mismatch,Target-profile mismatch,Target-profile mismatch,0.6851851851851851,0.7648148148148147,0.06944444444444442,Target-specific endpoint,Feature-specific fixed amount,0.1029213053358771,Feature-specific fixed amount,0.11983950166261649,0.016918196326739396,0.5,0.3935185185185185,0.6851851851851851,0.6157407407407407,,0.1346638996254739,0.11983950166261649,0.1029213053358771,0.25725697775702855,0.136038027434484,0.18584180189402952,0.14141931111012193,
R_5yl16n60oJpwrWu,diabetes,counterfactual,18,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.662037037037037,0.7893518518518519,0.02777777777777779,One fixed normalized amount,One fixed normalized amount,0.0900152513859963,One fixed normalized amount,0.0900152513859963,0.005374569884161101,0.6342592592592592,0.6296296296296295,0.662037037037037,0.5648148148148148,0.5925925925925926,0.0900152513859963,0.0953898212701574,0.10714814907119899,0.2484122662559581,0.13406281377671322,0.14818423247924878,0.1363115803559119,0.195737414217121
R_69tQCGOCnlsf1C1,diabetes,none,18,Unclear or overlapping,Unclear,Target-profile mismatch,0.2777777777777778,0.46574074074074073,0.16666666666666669,Target-specific endpoint,Target-specific endpoint,0.07343660351768595,Target-specific endpoint,0.07343660351768595,0.03703487613803624,0.05555555555555555,0.0,0.2777777777777778,0.1111111111111111,,0.1104714796557222,0.12185484252827782,0.07343660351768595,0.26437451479830226,0.25769680582708093,0.29836001956763225,0.28011900065482365,
R_6a1D770kyKVlljb,diabetes,none,18,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.6435185185185185,0.7558641975308641,0.02777777777777779,Target-specific endpoint,Target-specific endpoint,0.06647248561251697,Target-specific endpoint,0.06647248561251697,0.09208139323934324,0.5879629629629629,0.49537037037037035,0.6435185185185185,0.6157407407407407,,0.16071750713662405,0.1585538788518602,0.06647248561251697,0.369625203595685,0.19938126367253595,0.2894055909262354,0.24897443886043857,
R_6haS2ptrunWMddu,diabetes,attribution,18,Unclear or overlapping,Unclear,Current-case contribution,0.4259259259259259,0.6114197530864198,0.1018518518518518,Target-specific endpoint,Target-profile centre,0.08925811877248609,Target-profile centre,0.10278609120906948,0.011020724017398717,0.4259259259259259,0.2037037037037037,0.31481481481481477,0.32407407407407407,,0.1002788427898848,0.10144086232043945,0.08925811877248609,0.21762379587191988,0.10278609120906948,0.14442988797622655,0.12915349697508025,
R_6iqiXGwFokBZXvb,diabetes,counterfactual,18,Unclear or overlapping,Similar remembered edit,Similar remembered edit,0.7546296296296297,0.866435185185185,0.0,Target-specific endpoint,Target-specific endpoint,0.10662388366984735,Target-specific endpoint,0.10662388366984735,0.039754193716820235,0.7546296296296297,0.7175925925925926,0.6990740740740741,0.7314814814814814,0.7546296296296297,0.14637807738666758,0.14832023690444837,0.10662388366984735,0.2653800982180342,0.14758619594716085,0.2061463009450954,0.19615157267558858,0.25164973100064625
R_7PvOmZWmKNN4iL0,diabetes,counterfactual,18,Unclear or overlapping,Unclear,Global importance,0.4722222222222222,0.5790123456790124,0.1111111111111111,Target-specific endpoint,One fixed normalized amount,0.09580508823198991,One fixed normalized amount,0.11895300331967963,0.02314791508768972,0.25925925925925924,0.4722222222222222,0.3055555555555556,0.25925925925925924,0.3611111111111111,0.11895300331967963,0.12424751914784167,0.09580508823198991,0.1973332583460716,0.13180274798640276,0.18920440582155326,0.14268792835244926,0.22397741183484537
R_7dM8goblPKNq3uj,diabetes,counterfactual,18,Unclear or overlapping,Unclear,Similar remembered edit,0.4907407407407407,0.6966049382716049,0.0,Target-specific endpoint,Target-specific endpoint,0.09569801658946323,Target-specific endpoint,0.09569801658946323,0.04020585731280621,0.4629629629629629,0.36111111111111105,0.4907407407407407,0.39814814814814814,0.4907407407407407,0.13590387390226943,0.1444238749476398,0.09569801658946323,0.18063494825231383,0.16218253499864344,0.22296046010604872,0.22165256633985864,0.27862009348492883
R_7nq1k9p3nFmxZjK,diabetes,attribution,18,Unclear or overlapping,Unclear,Target-profile mismatch,0.4583333333333333,0.6328703703703705,0.060185185185185175,Target-specific endpoint,Target-specific endpoint,0.0892603695621707,Target-specific endpoint,0.0892603695621707,0.04251562113877497,0.35648148148148145,0.39814814814814814,0.4583333333333333,0.38425925925925924,,0.18890471239976206,0.1789377832610581,0.0892603695621707,0.23965533620082521,0.13177599070094567,0.15627404436355977,0.17160775906022321,
