participant,domain,xai,selected model family,observed validity,model validity,baseline validity,observed boundary distance,model boundary distance,baseline boundary distance,observed plausibility,model plausibility,baseline plausibility,model selection F1,baseline selection F1,model amount MAE,baseline amount MAE
R_7CymkLq1W5EbO9c,housing,attribution,feature contribution,0.3,0.8,0.5,0.12396730616,0.09168972118865915,0.12048201591961574,0.98888636365,0.9634314841002862,0.9573636363636364,0.7083333333333333,0.6357142857142857,0.2516875339966978,0.261499116118894
R_7JSvmv0y2BQADx7,diabetes,none,feature contribution,0.45,0.1,0.3,0.152906813335,0.11884571596904961,0.09187206594234981,0.9259359774350001,0.9257003853847403,0.9224826421583199,0.8089285714285716,0.6964285714285714,0.15660115454258533,0.1571106302108187
R_7K1IOxgbgv3UNdW,diabetes,counterfactual,feature contribution,0.5,0.45,0.4,0.27269359114,0.18069027237457397,0.11414244386230236,0.93130337404,0.9168063689011914,0.9252266589393153,0.89,0.8716666666666668,0.2780899192418624,0.34957224055490677
R_7Kx6vyCCC3HUpXY,diabetes,attribution,weighted examples,0.3,0.3,0.35,0.169542905215,0.08661312692735966,0.13123282660764113,0.9342270957799998,0.9370006029241991,0.9231590352331132,0.5999999999999999,0.33333333333333337,0.17529213239334637,0.1751441002239439
R_7NDOTmN9jbLS3Fq,diabetes,attribution,feature contribution,0.7,0.5,0.2,0.18034958514,0.15460267171412606,0.1107587718424771,0.911475466035,0.910923076150317,0.9229599964368382,0.8733333333333334,0.49833333333333324,0.335647669895466,0.33960680447365943
R_7PPDn8J2Th04jwl,diabetes,counterfactual,feature contribution,0.8,0.55,0.35,0.15502250067499998,0.18079523988579901,0.11202482680973436,0.9100199197150001,0.908701886246529,0.9291978402074041,0.85,0.5333333333333333,0.3319068280677124,0.3286718104016667
R_7PppHnKsPWMhHua,diabetes,counterfactual,feature contribution,0.85,0.55,0.35,0.12682005807,0.09611344540827907,0.11491570957349626,0.9239208056799999,0.9239107650273981,0.9189240124604663,0.8541666666666666,0.5725,0.2774009811077559,0.2830443749431303
R_7e3EuifgObjNXJm,diabetes,none,feature contribution,0.45,0.25,0.3,0.106001358095,0.12260630804269687,0.11128942808604689,0.9286223564149999,0.9237405825744022,0.9256983330347619,0.65,0.3083333333333333,0.16264094962076425,0.15854514354812418
R_7iwBjEgQvGNOP4l,diabetes,none,weighted examples,0.75,0.65,0.25,0.10512553446499998,0.07745025282987159,0.10395970840602713,0.9405847536999999,0.9528836243818836,0.919146912792902,0.5375,0.4878571428571428,0.19229448797902,0.20143820124158252
R_7kHwLYEKytNtFsY,diabetes,counterfactual,weighted examples,0.3,0.4,0.2,0.14457240549,0.09713004813208428,0.13601511819197132,0.94207595549,0.9494925472874556,0.9192658820438725,0.5666666666666667,0.3483333333333333,0.1255724611127638,0.16126226717583333
R_7m6pHZPK4Sqdz6p,housing,counterfactual,weighted examples,0.4,0.6,0.3,0.15321882782000001,0.1017984085377257,0.17677945462937034,0.9924284091000001,0.9676721049443303,0.9640000000000001,0.5833333333333333,0.5633333333333334,0.20084014491649366,0.2660607638781062
R_7o6kIdn4EaINkfo,housing,attribution,feature contribution,0.6,0.35,0.25,0.30189067028,0.11594343482136087,0.20717697770363724,0.956018181825,0.9833344434065643,0.9705142045454546,0.4,0.515,0.35332722811653056,0.430127683081894
R_7oigZfUmLeZhBs7,safelimit,attribution,feature contribution,0.0,0.5,0.0,0.36981959295,0.1476762243385293,0.35237027754763617,0.9760713750200001,0.9746994476294215,0.9770220681558799,0.4,0.35,0.5323917470375703,0.41621924989333337
R_7ouaHYEFOkTbFrn,housing,counterfactual,feature contribution,0.8,1.0,0.4,0.17534257489,0.1082892533872418,0.11037377269105253,0.98599810605,0.9779280413459395,0.9675340909090909,0.8333333333333333,0.6166666666666666,0.2615182129336036,0.3568134470129546
R_7rMsMTKGzMUtNfr,housing,attribution,weighted examples,0.5,0.45,0.2,0.233316743965,0.18074566714516616,0.23382588426102738,0.9786079545499999,0.972983522727273,0.9832926136363638,0.45,0.1875,0.5166185922637121,0.510274384545
R_7zCOYjoB3D2Mqot,diabetes,counterfactual,weighted examples,0.5,0.6,0.25,0.23297656446499998,0.13051317036880541,0.11727719169542217,0.9381970681550001,0.9284463435356989,0.9299374083369203,0.5583333333333333,0.4583333333333333,0.2665424132492307,0.2787044419907038
