participant,domain,xai,direction,case,instance,valid,margin_pp,boundary_progress_pp,change_l1,n_changed
R_5fiJADPk00t6Se9,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.254545,1
R_5fiJADPk00t6Se9,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-50.0000,-0.0000,0.273911,2
R_5fiJADPk00t6Se9,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.614545,1
R_5fiJADPk00t6Se9,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.693511,2
R_5fiJADPk00t6Se9,safelimit,counterfactual,Above Limit to Below Limit,1,87,1,50.0000,100.0000,1.700025,2
R_5fiJADPk00t6Se9,safelimit,counterfactual,Above Limit to Below Limit,2,203,1,50.0000,100.0000,0.754278,2
R_5fiJADPk00t6Se9,safelimit,counterfactual,Above Limit to Below Limit,3,106,1,50.0000,100.0000,0.499750,1
R_5fiJADPk00t6Se9,safelimit,counterfactual,Above Limit to Below Limit,4,143,1,50.0000,100.0000,0.766022,2
R_5fiJADPk00t6Se9,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,50.0000,100.0000,0.374813,1
R_6t07wdUJUABPKIE,safelimit,none,Above Limit to Below Limit,1,87,1,50.0000,100.0000,3.084570,4
R_6t07wdUJUABPKIE,safelimit,none,Above Limit to Below Limit,2,203,1,50.0000,100.0000,0.355187,1
R_6t07wdUJUABPKIE,safelimit,none,Above Limit to Below Limit,3,106,0,-49.9564,0.0436,1.484938,3
R_6t07wdUJUABPKIE,safelimit,none,Above Limit to Below Limit,4,143,1,50.0000,100.0000,1.539658,3
R_6t07wdUJUABPKIE,safelimit,none,Above Limit to Below Limit,5,300,1,50.0000,100.0000,0.467837,2
R_6t07wdUJUABPKIE,safelimit,none,Below Limit to Above Limit,1,98,0,-50.0000,-0.0000,1.000000,1
R_6t07wdUJUABPKIE,safelimit,none,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.058182,1
R_6t07wdUJUABPKIE,safelimit,none,Below Limit to Above Limit,3,4,0,-50.0000,-0.0000,0.614545,1
R_6t07wdUJUABPKIE,safelimit,none,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.070325,1
R_6t07wdUJUABPKIE,safelimit,none,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.054545,1
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Cheap to Expensive,1,3174,1,13.0486,22.4990,0.855758,2
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Cheap to Expensive,2,2275,1,40.9113,42.2650,0.317614,1
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Cheap to Expensive,3,675,0,-44.4284,-0.9318,1.137121,3
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Cheap to Expensive,4,102,0,-35.2518,-12.8351,1.033939,2
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Cheap to Expensive,5,577,0,-3.0861,12.2577,1.230303,3
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Expensive to Cheap,1,2447,0,-20.1802,9.9986,0.638504,3
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Expensive to Cheap,2,1751,0,-32.4979,12.2523,1.104167,3
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Expensive to Cheap,3,553,0,-3.3642,37.3339,0.883049,3
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Expensive to Cheap,4,172,1,30.7120,55.0552,0.866667,2
R_7m6pHZPK4Sqdz6p,housing,counterfactual,Expensive to Cheap,5,2728,1,36.3526,76.1899,0.962973,3
R_7ouaHYEFOkTbFrn,housing,counterfactual,Cheap to Expensive,1,3174,1,38.9808,48.4313,0.380114,1
R_7ouaHYEFOkTbFrn,housing,counterfactual,Cheap to Expensive,2,2275,1,40.9113,42.2650,0.317614,1
R_7ouaHYEFOkTbFrn,housing,counterfactual,Cheap to Expensive,3,675,1,41.2003,84.6969,0.867045,2
R_7ouaHYEFOkTbFrn,housing,counterfactual,Cheap to Expensive,4,102,1,9.3559,31.7726,0.316761,1
R_7ouaHYEFOkTbFrn,housing,counterfactual,Cheap to Expensive,5,577,1,27.7301,43.0739,1.106155,3
R_7ouaHYEFOkTbFrn,housing,counterfactual,Expensive to Cheap,1,2447,0,-6.5669,23.6119,1.654072,3
R_7ouaHYEFOkTbFrn,housing,counterfactual,Expensive to Cheap,2,1751,1,38.0316,82.7819,1.670644,3
R_7ouaHYEFOkTbFrn,housing,counterfactual,Expensive to Cheap,3,553,0,-24.4575,16.2406,1.061553,3
R_7ouaHYEFOkTbFrn,housing,counterfactual,Expensive to Cheap,4,172,1,36.8594,61.2026,1.333333,1
R_7ouaHYEFOkTbFrn,housing,counterfactual,Expensive to Cheap,5,2728,1,5.7868,45.6240,1.533333,2
R_6N8hq2tClpLxNP1,housing,none,Cheap to Expensive,1,3174,1,43.7097,53.1601,0.482481,2
R_6N8hq2tClpLxNP1,housing,none,Cheap to Expensive,2,2275,1,16.6038,17.9574,0.598390,2
R_6N8hq2tClpLxNP1,housing,none,Cheap to Expensive,3,675,0,-2.1306,41.3659,1.173390,4
R_6N8hq2tClpLxNP1,housing,none,Cheap to Expensive,4,102,1,46.3750,68.7917,1.361136,3
R_6N8hq2tClpLxNP1,housing,none,Cheap to Expensive,5,577,1,31.7265,47.0703,0.857955,3
R_6N8hq2tClpLxNP1,housing,none,Expensive to Cheap,1,2447,0,-49.4515,-19.2727,0.484375,3
R_6N8hq2tClpLxNP1,housing,none,Expensive to Cheap,2,1751,0,-44.6616,0.0886,1.078788,3
R_6N8hq2tClpLxNP1,housing,none,Expensive to Cheap,3,553,0,-46.2182,-5.5201,0.758352,2
R_6N8hq2tClpLxNP1,housing,none,Expensive to Cheap,4,172,1,25.0551,49.3983,0.792121,2
R_6N8hq2tClpLxNP1,housing,none,Expensive to Cheap,5,2728,0,-11.1150,28.7222,0.495455,2
R_5ARKBiJcbeCMbPI,housing,none,Cheap to Expensive,1,3174,1,47.6361,57.0865,0.469091,2
R_5ARKBiJcbeCMbPI,housing,none,Cheap to Expensive,2,2275,1,36.6314,37.9850,0.227273,1
R_5ARKBiJcbeCMbPI,housing,none,Cheap to Expensive,3,675,1,27.0831,70.5797,1.520360,4
R_5ARKBiJcbeCMbPI,housing,none,Cheap to Expensive,4,102,0,-16.2256,6.1911,0.868201,3
R_5ARKBiJcbeCMbPI,housing,none,Cheap to Expensive,5,577,0,-11.0549,4.2889,0.744223,2
R_5ARKBiJcbeCMbPI,housing,none,Expensive to Cheap,1,2447,0,-19.8304,10.3484,1.709148,4
R_5ARKBiJcbeCMbPI,housing,none,Expensive to Cheap,2,1751,0,-26.1032,18.6471,1.406951,4
R_5ARKBiJcbeCMbPI,housing,none,Expensive to Cheap,3,553,0,-24.4550,16.2432,1.275758,4
R_5ARKBiJcbeCMbPI,housing,none,Expensive to Cheap,4,172,1,36.8594,61.2026,1.333333,1
R_5ARKBiJcbeCMbPI,housing,none,Expensive to Cheap,5,2728,0,-3.5377,36.2996,1.593902,3
R_31GpbVwSgVHpLam,safelimit,counterfactual,Above Limit to Below Limit,1,87,0,-50.0000,0.0000,1.000000,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Above Limit to Below Limit,2,203,1,50.0000,100.0000,0.716857,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Above Limit to Below Limit,3,106,1,50.0000,100.0000,0.888100,3
R_31GpbVwSgVHpLam,safelimit,counterfactual,Above Limit to Below Limit,4,143,0,-50.0000,0.0000,0.085112,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,49.9994,99.9994,0.493024,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Below Limit to Above Limit,1,98,0,-50.0000,-0.0000,0.509091,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.345455,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-50.0000,-0.0000,0.887273,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,1.000000,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.301818,1
