participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_10u9fEU6tjcCgkp,none,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,0.25925678401358165,0.6438416644556086,0.1623552324827719,0.602109043517334,1.4396650058902305,0.2708184188076771,0.6220460163502066,0.16368285396556098,0.6018778604621673,1.583129247875109,1
R_10u9fEU6tjcCgkp,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.2531941724157295,0.6217540705478684,0.12814241537932727,0.6262142350810195,1.577581992227061,0.2593466748127716,0.6114522466559802,0.1301455962815234,0.6017056330066547,1.6667384908738252,0
R_1CWrMhp5nGpISLk,counterfactual,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,1,0.35613114562891035,0.4429474923534631,0.15520978361128376,0.8805695225677308,2.198100510422443,0.37261924051918044,0.41542612726488093,0.16066460830324183,0.8805695225677308,2.3512985786873974,1
R_1CWrMhp5nGpISLk,counterfactual,weighted examples,observed per instance,0.5,nan,0.5,6.0,0.0,1,0.39436241870824584,0.36542314658998354,0.1541479840064752,0.6727912204347819,2.70307490833184,0.40448477159585694,0.33925676198962795,0.1482263051813419,0.7101803031777478,3.0314436749635414,0
R_1Gjl0Vj3LRbQDQL,counterfactual,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.3402547051991168,0.47528994189906265,0.1557993522972962,0.7476899772202134,2.5235789209824118,0.33595084368796024,0.48572899795817026,0.1576306853340908,0.7340421333745968,3.58066678209308,0
R_1Gjl0Vj3LRbQDQL,counterfactual,weighted examples,observed per instance,0.5,nan,0.5,6.0,0.0,1,0.28618832457192656,0.5719502061711477,0.14432685531500072,0.8643726006755493,2.0432741940139554,0.27789756662073556,0.585951589055762,0.14174672229723312,0.8806884326306674,3.0835321561795674,1
R_1LqFEhCUBdcfUxb,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.4445928450958072,0.3490320810697337,0.2382177712613481,0.7345809629371574,2.0275725096995862,0.44464511941659673,0.35118101063597945,0.24047124946917298,0.7427907301411013,3.272073376349206,1
R_1LqFEhCUBdcfUxb,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,0.4421280559514279,0.35155897098540406,0.23581508288825975,0.7826412206764727,2.540305494550993,0.42981927839449413,0.3732054123355315,0.23284396912451957,0.8021708403847592,3.7668060704680046,0
R_1hM8ZPOQNryYfzQ,counterfactual,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.4054249249759597,0.36011253718598063,0.17096238713790018,0.8292922497884417,3.093888477080612,0.42820053499858124,0.3170428114429038,0.17344388144006614,0.8073176435023577,3.6740823902210975,0
R_1hM8ZPOQNryYfzQ,counterfactual,weighted examples,observed per instance,1.0,nan,0.5,2.0,0.0,1,0.33922706272603753,0.4840569545725176,0.1625110800245926,0.7749680105685792,2.3447310900147085,0.3418387695423152,0.4794318576337613,0.16310939671839172,0.7733005502605321,2.3693612785030114,1
