participant,domain,xai,direction,case,instance,valid,margin_pp,change_l1,n_changed
R_7CymkLq1W5EbO9c,housing,attribution,Expensive to Cheap,5,2728,0,-7.1020,1.510682,5
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,1,3174,1,39.9990,0.479091,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,2,2275,1,38.8921,0.350852,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,3,675,0,-23.2182,1.066667,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,4,102,0,-15.0564,1.233939,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,5,577,0,-16.8392,0.666667,1
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,1,2447,1,12.0322,0.968371,2
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,2,1751,0,-44.6336,0.605455,2
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,3,553,0,-42.1563,0.636364,1
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,4,172,1,15.3448,0.545455,1
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,5,2728,0,-28.9799,1.212121,2
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,1,87,1,50.0000,0.780025,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,2,203,1,49.9980,0.225187,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,3,106,0,-49.9966,0.374813,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,4,143,1,50.0000,0.305112,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,5,300,1,50.0000,0.374813,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,1,98,0,-6.4238,0.569604,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,0.705455,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,3,4,1,49.9593,0.249725,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,0.723636,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,5,245,0,-50.0000,0.516364,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,1,98,0,-50.0000,1.000000,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-49.9988,0.644563,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-50.0000,0.360000,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-49.4661,1.379675,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,2.000000,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,1,87,1,49.9888,0.460025,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,2,203,1,50.0000,0.662045,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,3,106,0,-49.9999,0.469526,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,4,143,1,50.0000,1.315112,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,47.5962,0.249875,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,1,87,0,-50.0000,1.000000,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,2,203,0,-50.0000,0.106857,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,3,106,0,-50.0000,0.600000,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,4,143,0,-45.3240,0.341818,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,5,300,0,-50.0000,0.372210,2
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,1,98,0,-50.0000,0.170350,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,0.694545,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,3,4,0,-50.0000,0.380275,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,0.796364,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,5,245,0,-50.0000,0.374813,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,1,87,0,-43.6671,1.582319,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,2,203,1,50.0000,0.881136,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,3,106,1,50.0000,2.624464,4
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,4,143,1,50.0000,1.618687,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,50.0000,0.943291,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,1,98,1,50.0000,1.009255,2
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-50.0000,0.095437,1
