target label,instance id,original label,mean_boundary,median_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_n_features_changed,move_toward_target_rate,mean_helpful_shap,glucose_changed,bp_changed,insulin_changed,bmi_changed,age_changed,glucose_signed,bp_signed,insulin_signed,bmi_signed,age_signed
Diabetes,160218,No Diabetes,0.08813268265635717,0.0710283615512,0.0818222236912,-0.006310458965157163,0.5161290322580645,0.38501834803576035,1.7258064516129032,0.7258064516129032,0.4489151621101217,0.41935483870967744,0.3225806451612903,0.45161290322580644,0.4838709677419355,0.04838709677419355,-0.06534712661333064,-0.023492286115019353,0.050290969178824196,0.07294138440496839,-0.013513513513501612
Diabetes,160217,No Diabetes,0.09226392015743838,0.0740965137763,0.030760691057999997,-0.06150322909943839,0.2903225806451613,0.4928845506270129,1.8387096774193548,0.4838709677419355,0.2746687098995442,0.5,0.3225806451612903,0.43548387096774194,0.5,0.08064516129032258,0.11765609315948065,0.009817671809248385,0.14209194466394354,-0.040425953285379033,0.025719267654725805
Diabetes,160219,No Diabetes,0.09468298000593557,0.0858376106076,0.03886356594299999,-0.055819414062935564,0.3064516129032258,0.49948525154448226,2.064516129032258,0.5645161290322581,0.2995329676097875,0.5161290322580645,0.46774193548387094,0.4838709677419355,0.4838709677419355,0.11290322580645161,-0.006793336660924193,0.08204768583454032,0.07477122930819194,0.09257955750545806,0.03400174367914355
Diabetes,160216,No Diabetes,0.10064197515384259,0.06809790922549999,0.034821278767,-0.06582069638684257,0.5645161290322581,0.44712318181960803,1.8709677419354838,0.8387096774193549,0.5584944318459598,0.46774193548387094,0.45161290322580644,0.4838709677419355,0.43548387096774194,0.03225806451612903,-0.05677112187414194,0.09116409537166935,0.10101433425669518,-0.038698891497112906,0.009154315605919354
Diabetes,160215,No Diabetes,0.10122950155586694,0.08308154025985001,0.0606767911965,-0.040552710359366945,0.41935483870967744,0.48512493959518543,1.935483870967742,0.5483870967741935,0.3698956072859824,0.532258064516129,0.3709677419354839,0.5483870967741935,0.41935483870967744,0.06451612903225806,0.09221330583452902,0.09081346423559677,0.14129101441407743,-0.01720295661149355,0.0039232781168258065
Diabetes,160208,No Diabetes,0.13978635269958145,0.102664556346,0.0900870805017,-0.04969927219788145,0.24193548387096775,0.4906255065621482,1.8387096774193548,0.5483870967741935,0.30318527500779363,0.4838709677419355,0.3387096774193548,0.532258064516129,0.45161290322580644,0.03225806451612903,0.04785778148330645,-0.03716690042078225,0.17082698043966613,0.1029222144676679,-0.005666957279854839
Diabetes,160207,No Diabetes,0.16430151917058997,0.157391555712,0.204135275223,0.039833756052410046,0.4032258064516129,0.5566641645466048,1.8870967741935485,0.7419354838709677,0.4507933256883512,0.5161290322580645,0.3870967741935484,0.43548387096774194,0.4838709677419355,0.06451612903225806,0.20144149283366936,-0.04488078541374677,0.15163791566553225,0.030698909624838712,-0.003051438535306451
Diabetes,160209,No Diabetes,0.17033100180028582,0.1564387104235,0.215219871146,0.044888869345714184,0.45161290322580644,0.6088542316543936,1.7580645161290323,0.6935483870967742,0.45254210973793657,0.5161290322580645,0.3225806451612903,0.46774193548387094,0.3870967741935484,0.06451612903225806,0.2549215351788871,-0.06977559607289033,0.15356706659966773,0.04593375268528387,0.00784655623364516
Diabetes,160205,No Diabetes,0.1860650222179377,0.144386507583,0.284435118814,0.09837009659606234,0.22580645161290322,0.6403616488588532,1.8548387096774193,0.8387096774193549,0.23950097936337653,0.4032258064516129,0.3548387096774194,0.532258064516129,0.532258064516129,0.03225806451612903,0.13726544201937418,-0.07082748948103387,0.19444510966893871,0.207741935483871,0.006974716652129033
Diabetes,160206,No Diabetes,0.22565631172519357,0.1917100737645,0.558946397893,0.33329008616780653,0.11290322580645161,0.6453826700960597,1.9193548387096775,0.9354838709677419,0.1344522135895858,0.41935483870967744,0.3870967741935484,0.4838709677419355,0.532258064516129,0.0967741935483871,0.1394594950386984,-0.10764375876578387,0.1465489485462161,0.2111290322580645,0.027027027027016128
