cohort,applicable feature-contribution participants,mean alpha=0 CV selection NLL,mean alpha=1 CV selection NLL,mean delta NLL (alpha=1 - alpha=0; positive favors alpha=0),mean delta 95% bootstrap CI low,mean delta 95% bootstrap CI high,participants favoring alpha=0,participants tied,participants favoring alpha=1,one-sided paired Wilcoxon statistic,one-sided paired Wilcoxon p (alpha=0 better)
direction-qualified 46,30,1.7289595215890297,2.0434732256002235,0.31451370401119344,0.046072143590499035,0.5610384871967221,24,0,6,360.0,0.0038060685619711876
all 62,43,1.8557083079766896,1.9330767770276585,0.07736846905096884,-0.16087346374787947,0.30592918595079927,27,0,16,557.0,0.15835635157941397
