variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv
base_prototype,base,prototype,0.4,0.0,nan,0.25,0.0,0,0.0,2.684153327499602,0.298001667052478,0.3,0.15,0.45,0.26857517534199576,0.4827586206896552,0.2588474150180345,2.7080381937714315,0.2915095007582151,0.3,0.15,0.45,0.27058159431955736,0.47904761904761906,0.258950351198481,R_7TxHLeYywuSEX5v,attribution,20,1
base_exemplar,base,exemplar,0.4,4.0,0.0,1.0,0.0,0,0.0,2.977206448152762,0.38721905411380086,0.3416666666666666,0.1,0.75,0.3868360229406954,0.4722222222222222,0.3323906711136556,3.0281219862073607,0.3698355670921235,0.3416666666666666,0.1,0.75,0.3994345845859056,0.4711904761904762,0.331486529904447,R_7b1EBSWXsqGvAlj,none,20,0
base_prototype,base,prototype,0.4,4.0,nan,1.0,0.0,0,0.0,2.977206448152762,0.38721905411380086,0.3416666666666666,0.1,0.75,0.3868360229406954,0.4722222222222222,0.3323906711136556,3.0281219862073607,0.3698355670921235,0.3416666666666666,0.1,0.75,0.3994345845859056,0.4711904761904762,0.331486529904447,R_7b1EBSWXsqGvAlj,none,20,1
additive_exemplar,additive,exemplar,0.4,0.0,2.0,1.0,0.0,0,0.0,1.971522156007877,0.410796538160995,0.75,0.75,0.0,0.23693018965324253,0.45,0.11392620302672248,2.280907546707534,0.35599427356167024,0.7833333333333333,0.75,0.05,0.2341129186634928,0.5,0.11392620302672249,R_7iO98bSObFU2FDT,counterfactual,20,0
additive_prototype,additive,prototype,0.4,0.0,nan,1.0,0.0,0,0.0,1.9893640234510497,0.40827901445769105,0.75,0.75,0.0,0.2469931417559376,0.45,0.11392620302672248,2.023024896820014,0.3789890328354125,0.75,0.75,0.0,0.2469931417559376,0.45,0.11392620302672249,R_7iO98bSObFU2FDT,counterfactual,20,0
base_exemplar,base,exemplar,0.4,0.0,24.0,0.025,0.0,0,0.0,2.110764423656942,0.23179996435221772,0.2,0.2,0.0,0.12985050885938162,0.5,0.11392620302672248,2.115182322409212,0.23086987504307147,0.2,0.2,0.0,0.12255128417413805,0.55,0.11392620302672249,R_7iO98bSObFU2FDT,counterfactual,20,0
base_prototype,base,prototype,0.4,0.0,nan,0.025,0.0,0,0.0,2.1150507369106117,0.23156569851473616,0.1,0.1,0.0,0.15984601976105553,0.45,0.11392620302672248,2.1150507369106117,0.23156569851473616,0.1,0.1,0.0,0.15984601976105553,0.45,0.11392620302672249,R_7iO98bSObFU2FDT,counterfactual,20,0
counterfactual_exemplar,counterfactual,exemplar,0.4,0.0,0.0,0.25,1.0,0,0.0,2.0013200574140546,0.30702137664626583,1.0,1.0,0.0,0.11963951708895892,0.5,0.11392620302672248,2.0013200574140546,0.3070213766462659,1.0,1.0,0.0,0.1196395170889589,0.5,0.11392620302672249,R_7iO98bSObFU2FDT,counterfactual,20,0
counterfactual_prototype,counterfactual,prototype,0.4,0.0,nan,0.25,1.0,0,0.0,2.0013200574140546,0.30702137664626583,1.0,1.0,0.0,0.11963951708895892,0.5,0.11392620302672248,2.0013200574140546,0.3070213766462659,1.0,1.0,0.0,0.1196395170889589,0.5,0.11392620302672249,R_7iO98bSObFU2FDT,counterfactual,20,1
additive_exemplar,additive,exemplar,0.4,0.5,24.0,0.5,0.0,0,0.1,3.004105565975572,0.36802580611306374,0.29999999999999993,0.1,0.8,0.3610860000787814,0.6111111111111112,0.3839148779330028,3.1724180515468454,0.35387100226226453,0.26666666666666666,0.05,0.7,0.40272846607239143,0.6178571428571429,0.3824372462544171,R_7v6cmYcGicLMBxW,attribution,20,0
additive_prototype,additive,prototype,0.4,0.0,nan,0.5,0.0,0,0.2,3.0481921099614686,0.36462623067100913,0.3333333333333333,0.1,0.8,0.3347675125081343,0.6388888888888888,0.3839148779330028,3.163741408722783,0.3421132476176191,0.2833333333333333,0.05,0.8,0.38333688337353566,0.6464285714285714,0.3824372462544171,R_7v6cmYcGicLMBxW,attribution,20,1
base_exemplar,base,exemplar,0.4,4.0,24.0,0.1,0.0,0,0.05,3.207789958294152,0.30929429615772863,0.1,0.0,0.8,0.39006785652620696,0.5277777777777778,0.3839148779330028,3.2756872352095243,0.3015624744618945,0.0,0.0,0.8,0.40371130459767546,0.6178571428571428,0.3824372462544171,R_7v6cmYcGicLMBxW,attribution,20,0
base_prototype,base,prototype,0.4,4.0,nan,0.1,0.0,0,0.0,3.2101264644435297,0.30885067165015234,0.06666666666666667,0.0,0.8,0.3933586577599966,0.5,0.3839148779330028,3.2455693417242863,0.3050124633945816,0.03333333333333333,0.0,0.8,0.400168901138741,0.5892857142857142,0.3824372462544171,R_7v6cmYcGicLMBxW,attribution,20,0
