cohort,xai,xai label,parameter,parameter label,parameter value,metric,metric label,applicable participants,mean,95% bootstrap CI low,95% bootstrap CI high
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,actionability,Actionability rate,16,0.79375,0.634375,0.94375
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,edit L1,Normalized edit distance (L1),16,0.5341464933070924,0.44449873882147845,0.628617699359664
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.5,success,Counterfactual success rate,16,0.5375,0.478125,0.596875
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.5,target confidence gain,Target-confidence gain,16,0.5141560778566884,0.46389974009901724,0.5621161245118399
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.5,boundary improvement,Boundary-distance improvement,16,0.0027281051701928943,-0.008995871147729666,0.015070863417274271
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.5,plausibility,Plausibility,16,0.9401426682109975,0.9372016973171573,0.943205430547517
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.5,actionability,Actionability rate,16,0.8843749999999999,0.78125,0.971875
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.5,edit L1,Normalized edit distance (L1),16,0.4891494306491906,0.40751365160532876,0.5775899481441855
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),1.0,success,Counterfactual success rate,16,0.5375,0.478125,0.5906250000000001
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),1.0,target confidence gain,Target-confidence gain,16,0.522409342234556,0.4720844114985926,0.5665830563787219
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),1.0,boundary improvement,Boundary-distance improvement,16,0.01208529043877703,-0.0005426771157549904,0.024139568142888063
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),1.0,plausibility,Plausibility,16,0.9438935335037218,0.940459408993934,0.9475509138593072
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),1.0,actionability,Actionability rate,16,0.959375,0.890625,1.0
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),1.0,edit L1,Normalized edit distance (L1),16,0.44589484477773866,0.36817874706991516,0.524354513900252
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,success,Counterfactual success rate,2,0.47500000000000003,0.4,0.55
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,target confidence gain,Target-confidence gain,2,0.48420725428458244,0.4403173632529442,0.5280971453162208
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,boundary improvement,Boundary-distance improvement,2,0.03547852642618907,0.028696909700591404,0.04226014315178674
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,plausibility,Plausibility,2,0.9445209678113857,0.942361934132269,0.9466800014905024
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,actionability,Actionability rate,2,0.775,0.55,1.0
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,edit L1,Normalized edit distance (L1),2,0.37774943804533967,0.37091709909982806,0.3845817769908512
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),2.0,success,Counterfactual success rate,2,0.42500000000000004,0.4,0.45
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),2.0,target confidence gain,Target-confidence gain,2,0.45908689378815576,0.43434611161156933,0.4838276759647422
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),2.0,boundary improvement,Boundary-distance improvement,2,0.044765817245006556,0.03595931739036,0.05357231709965311
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),2.0,plausibility,Plausibility,2,0.94512037284468,0.9427753885470675,0.9474653571422923
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),2.0,actionability,Actionability rate,2,0.775,0.55,1.0
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),2.0,edit L1,Normalized edit distance (L1),2,0.36617445373278873,0.3534959669983473,0.37885294046723017
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),6.0,success,Counterfactual success rate,2,0.425,0.35,0.5
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),6.0,target confidence gain,Target-confidence gain,2,0.44720194442764166,0.41058875063912936,0.48381513821615396
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),6.0,boundary improvement,Boundary-distance improvement,2,0.048842808034888024,0.04015450667066438,0.05753110939911168
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),6.0,plausibility,Plausibility,2,0.946056675007868,0.9427712820655589,0.9493420679501773
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),6.0,actionability,Actionability rate,2,0.775,0.55,1.0
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),6.0,edit L1,Normalized edit distance (L1),2,0.34510165622440403,0.3221842397579197,0.3680190726908884
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,success,Counterfactual success rate,16,0.33125000000000004,0.296875,0.3625
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,target confidence gain,Target-confidence gain,16,0.35128057692270553,0.3249921303495884,0.3752452201572748
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,boundary improvement,Boundary-distance improvement,16,0.03280412062731593,0.024346015516422306,0.040941601046531974
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,plausibility,Plausibility,16,0.9562326473302312,0.9536594843062898,0.95840622361994
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,actionability,Actionability rate,16,0.94375,0.8749218750000001,1.0
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,edit L1,Normalized edit distance (L1),16,0.27732717322269507,0.24944698637967352,0.30771862362111957
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.05,success,Counterfactual success rate,16,0.47187500000000004,0.43125,0.509375
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.05,target confidence gain,Target-confidence gain,16,0.4795641553197636,0.4554931937517522,0.5026663137518561
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.05,boundary improvement,Boundary-distance improvement,16,0.033812893498737076,0.02314794374453218,0.04428899344152826
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.05,plausibility,Plausibility,16,0.9489193376547463,0.9463193962135402,0.9511530005147683
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.05,actionability,Actionability rate,16,0.9375,0.86875,0.9875
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.05,edit L1,Normalized edit distance (L1),16,0.36005348483642186,0.3303831086032933,0.3913796263193227
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.1,success,Counterfactual success rate,16,0.575,0.546875,0.6000000000000001
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.1,target confidence gain,Target-confidence gain,16,0.5524916158101963,0.5317054271256108,0.5733877688478932
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.1,boundary improvement,Boundary-distance improvement,16,0.01614283113047562,0.003104545652553206,0.028099754235686607
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.1,plausibility,Plausibility,16,0.9418313886878756,0.9384581555292759,0.944780724365982
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.1,actionability,Actionability rate,16,0.9375,0.8687499999999999,0.9875
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.1,edit L1,Normalized edit distance (L1),16,0.44253349734897424,0.4070019725035416,0.47717026090742737
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.15,success,Counterfactual success rate,16,0.621875,0.6000000000000001,0.6437499999999999
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.15,target confidence gain,Target-confidence gain,16,0.5874818727124393,0.5657019742325591,0.6076017919675497
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.15,boundary improvement,Boundary-distance improvement,16,-0.009164109242084523,-0.024697028786409034,0.004095620984474695
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.15,plausibility,Plausibility,16,0.9348328825944717,0.9309058856484065,0.9380984116255954
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.15,actionability,Actionability rate,16,0.9375,0.86875,0.99375
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.15,edit L1,Normalized edit distance (L1),16,0.5236023804753109,0.4788579448887407,0.568256039928269
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.2,success,Counterfactual success rate,16,0.6343749999999999,0.60625,0.6625000000000001
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.2,target confidence gain,Target-confidence gain,16,0.60482877833828,0.5816998550805169,0.6273304403030008
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.2,boundary improvement,Boundary-distance improvement,16,-0.03297125723837372,-0.048096760436165814,-0.01964885293763299
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.2,plausibility,Plausibility,16,0.9301492621293284,0.9253121134483133,0.9340133610202408
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.2,actionability,Actionability rate,16,0.9375,0.8687499999999999,0.9875
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.2,edit L1,Normalized edit distance (L1),16,0.6016267581747617,0.5460442884699014,0.6549863472382441
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.25,success,Counterfactual success rate,16,0.621875,0.59375,0.653125
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.25,target confidence gain,Target-confidence gain,16,0.6091071005477049,0.584759398991919,0.6368617900171288
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.25,boundary improvement,Boundary-distance improvement,16,-0.057544401619907065,-0.07256318885813551,-0.04391233898567304
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.25,plausibility,Plausibility,16,0.9250856263355496,0.9195980952382939,0.9295682606074789
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.25,actionability,Actionability rate,16,0.9375,0.86875,0.9875
