participant,direction-qualified cohort (0/1),xai,model family,parameter,parameter label,parameter value,testing trials,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,age actionable,Age actionable,0.0,20,0.35,0.32403854907930396,0.021798743125802322,0.9478316618203444,1.0,0.30248763685806057
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,age actionable,Age actionable,1.0,20,0.35,0.32403854907930396,0.021798743125802322,0.9478316618203444,1.0,0.30248763685806057
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.0,20,0.45,0.4182007040608945,0.0637491662566077,0.9512341725824177,0.5,0.43623484098527543
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.5,20,0.6,0.5402809765196174,0.06341355670178478,0.949992392490884,0.5,0.3852020462982599
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),1.0,20,0.35,0.32403854907930396,0.021798743125802322,0.9478316618203444,1.0,0.30248763685806057
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,eta,Explanation reliance (η),0.0,20,0.35,0.34764600731422823,0.012951096179980045,0.9496702926832263,0.4,0.25504095819335765
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,eta,Explanation reliance (η),0.5,20,0.35,0.32403854907930396,0.021798743125802322,0.9478316618203444,1.0,0.30248763685806057
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,eta,Explanation reliance (η),1.0,20,0.15,0.1812956769686292,0.05606496201292925,0.9573078140818645,1.0,0.23178451543905793
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.0,20,0.35,0.32403854907930396,0.021798743125802322,0.9478316618203444,1.0,0.30248763685806057
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.05,20,0.45,0.40889104162220297,0.007680806896265527,0.9397109028818804,1.0,0.3849876368580606
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.1,20,0.45,0.4221397497280995,-0.0028325554330456415,0.9326462373184328,1.0,0.4674876368580606
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.15,20,0.45,0.4091979520521787,-0.016265928376436867,0.92319315850141,1.0,0.5477205710056698
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.2,20,0.4,0.40489260731175725,-0.03533360435227826,0.9160818326413855,1.0,0.6218059637416546
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.25,20,0.4,0.397577182907791,-0.04598461114985579,0.9084049477016649,1.0,0.688851688739466
R_6P1wxXrNHroPf9i,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.3,20,0.4,0.39414596481708225,-0.0516184068237082,0.9001692885308217,1.0,0.7517890893353515
R_6R9HRjc1dD88yPW,1,none,weighted examples,age actionable,Age actionable,0.0,20,0.5,0.5070198324405786,0.051067106600475434,0.9496261430369589,1.0,0.32091709909982813
R_6R9HRjc1dD88yPW,1,none,weighted examples,age actionable,Age actionable,1.0,20,0.4,0.4403173632529442,0.0286969097005914,0.942361934132269,0.55,0.38458177699085133
R_6R9HRjc1dD88yPW,1,none,weighted examples,lambda,Exemplar locality (λ),0.0,20,0.4,0.4403173632529442,0.0286969097005914,0.942361934132269,0.55,0.38458177699085133
R_6R9HRjc1dD88yPW,1,none,weighted examples,lambda,Exemplar locality (λ),2.0,20,0.4,0.43434611161156933,0.03595931739036,0.9427753885470679,0.55,0.37885294046723017
R_6R9HRjc1dD88yPW,1,none,weighted examples,lambda,Exemplar locality (λ),6.0,20,0.35,0.41058875063912925,0.04015450667066437,0.9427712820655589,0.55,0.36801907269088835
R_6R9HRjc1dD88yPW,1,none,weighted examples,rho,Additive change margin (ρ),0.0,20,0.4,0.4403173632529442,0.0286969097005914,0.942361934132269,0.55,0.38458177699085133
R_6R9HRjc1dD88yPW,1,none,weighted examples,rho,Additive change margin (ρ),0.05,20,0.5,0.46235200183738934,0.02599322469074536,0.9383001690921959,0.55,0.43458177699085115
R_6R9HRjc1dD88yPW,1,none,weighted examples,rho,Additive change margin (ρ),0.1,20,0.5,0.49913897632671667,0.019635028522996662,0.9349989795756282,0.55,0.48458177699085125
R_6R9HRjc1dD88yPW,1,none,weighted examples,rho,Additive change margin (ρ),0.15,20,0.55,0.5194202138310453,-0.0006039272747316068,0.9324514505843761,0.55,0.5345817769908513
R_6R9HRjc1dD88yPW,1,none,weighted examples,rho,Additive change margin (ρ),0.2,20,0.5,0.5093378120969427,-0.005919681263088839,0.9306927816523508,0.55,0.5845817769908512
R_6R9HRjc1dD88yPW,1,none,weighted examples,rho,Additive change margin (ρ),0.25,20,0.55,0.5241348075121717,-0.023545888481096323,0.9271008008896364,0.55,0.6345817769908513
R_6R9HRjc1dD88yPW,1,none,weighted examples,rho,Additive change margin (ρ),0.3,20,0.55,0.5331188138476506,-0.04118789693054275,0.9216590280638828,0.55,0.6845817769908512
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,age actionable,Age actionable,0.0,19,0.7894736842105263,0.74596492275502,-0.020185008083897903,0.9333212060682854,1.0,0.5308434365060213
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,age actionable,Age actionable,1.0,20,0.8,0.7551312950489766,-0.01156689454422792,0.9340742874680045,1.0,0.5537041868785084
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.0,20,0.65,0.6418295478298183,0.03698877455140054,0.9388922817325159,0.4,0.7700043938622909
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.5,20,0.65,0.6577643344117512,0.033580303975622575,0.946285594084667,0.6,0.6227898508584814
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,beta,Remembered-change reliance (β),1.0,20,0.8,0.7551312950489766,-0.01156689454422792,0.9340742874680045,1.0,0.5537041868785084
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,20,0.75,0.6782767347290932,-0.0068730304416126185,0.9329284300426609,1.0,0.5511998986971303
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,20,0.8,0.7551312950489766,-0.01156689454422792,0.9340742874680045,1.0,0.5537041868785084
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,20,0.85,0.7740870209626541,-0.01779318101375371,0.9351759648383571,1.0,0.5610524941746198
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,lambda,Exemplar locality (λ),0.0,20,0.5,0.5040537830167214,-0.01283289246988357,0.931688463123335,1.0,0.5764496633529264
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,lambda,Exemplar locality (λ),2.0,20,0.6,0.5863569006064967,-0.015394812039649028,0.9304349052785174,1.0,0.5644988853263351
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,lambda,Exemplar locality (λ),6.0,20,0.8,0.7551312950489766,-0.01156689454422792,0.9340742874680045,1.0,0.5537041868785084
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,20,0.55,0.4962492611500128,0.046581677093174914,0.9540706302289832,1.0,0.21847734101583036
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,20,0.65,0.618713951152277,0.02543584084914701,0.9469387473702854,1.0,0.33097734101583043
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,20,0.65,0.6662416084335498,0.004808582619579729,0.9412926277086962,1.0,0.44347734101583036
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,20,0.8,0.7551312950489766,-0.01156689454422792,0.9340742874680045,1.0,0.5537041868785084
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.2,20,0.8,0.7934453027123833,-0.03863106956269121,0.9274192088661195,1.0,0.6630427283652017
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.25,20,0.85,0.8269715357785955,-0.0677776879944172,0.9180298669086339,1.0,0.7686212262061836
R_6aqu1LmTSlgucVN,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.3,20,0.9,0.8419616393377408,-0.10145413483888088,0.9084648619353619,1.0,0.8675035360149816
R_6dM4kpwwdD2TmDK,1,none,weighted examples,age actionable,Age actionable,0.0,20,0.45,0.44729048185143744,0.0695326182955629,0.953319246010833,1.0,0.6230709884024057
R_6dM4kpwwdD2TmDK,1,none,weighted examples,age actionable,Age actionable,1.0,20,0.65,0.6047682567195273,0.06319535589631617,0.9502209250872266,0.3,0.7563162863659766
R_6dM4kpwwdD2TmDK,1,none,weighted examples,lambda,Exemplar locality (λ),0.0,20,0.65,0.6047682567195273,0.06319535589631617,0.9502209250872266,0.3,0.7563162863659766
R_6dM4kpwwdD2TmDK,1,none,weighted examples,lambda,Exemplar locality (λ),2.0,20,0.65,0.5927325475503153,0.0672900873560738,0.949393357746044,0.3,0.7427703652873884
R_6dM4kpwwdD2TmDK,1,none,weighted examples,lambda,Exemplar locality (λ),6.0,20,0.55,0.5188505433462602,0.07337928190061324,0.9477286200598899,0.35,0.7187445817554328
R_6dM4kpwwdD2TmDK,1,none,weighted examples,rho,Additive change margin (ρ),0.0,20,0.65,0.6047682567195273,0.06319535589631617,0.9502209250872266,0.3,0.7563162863659766
R_6dM4kpwwdD2TmDK,1,none,weighted examples,rho,Additive change margin (ρ),0.05,20,0.6,0.5974411505785825,0.05612263773510299,0.9438703386134826,0.3,0.8813162863659766
R_6dM4kpwwdD2TmDK,1,none,weighted examples,rho,Additive change margin (ρ),0.1,20,0.7,0.6544579053868783,0.04348294310480611,0.9373874179291993,0.3,1.0063162863659767
R_6dM4kpwwdD2TmDK,1,none,weighted examples,rho,Additive change margin (ρ),0.15,20,0.75,0.69042208640078,0.03109917264679173,0.940740810013363,0.3,1.118820410757629
R_6dM4kpwwdD2TmDK,1,none,weighted examples,rho,Additive change margin (ρ),0.2,20,0.75,0.7151914406736819,0.01902716987448924,0.9413803786797164,0.3,1.2313204107576288
R_6dM4kpwwdD2TmDK,1,none,weighted examples,rho,Additive change margin (ρ),0.25,20,0.85,0.7733031991419459,0.0005968151112425976,0.9359717229331259,0.3,1.3438204107576288
R_6dM4kpwwdD2TmDK,1,none,weighted examples,rho,Additive change margin (ρ),0.3,20,0.9,0.8411434726169345,-0.041301063887412684,0.9247848349456668,0.3,1.4563204107576286
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,age actionable,Age actionable,0.0,20,0.4,0.4074564222582634,0.004263686071222514,0.9422759927273112,1.0,0.4311489197892211
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,age actionable,Age actionable,1.0,20,0.1,0.1799799132601407,0.05740507636279738,0.9507154384193933,0.35,0.3128047383546024
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.0,20,0.4,0.4074564222582634,0.004263686071222514,0.9422759927273112,1.0,0.4311489197892211
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.5,20,0.4,0.38719154204508544,0.009610836004750975,0.9477643594758822,1.0,0.32292923718234195
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,alpha,Global relevance reliance (α),1.0,20,0.3,0.3486709968752765,-0.020914769461069398,0.9466498191527324,1.0,0.27151631154871786
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,eta,Explanation reliance (η),0.0,20,0.4,0.4074564222582634,0.004263686071222514,0.9422759927273112,1.0,0.4311489197892211
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,eta,Explanation reliance (η),0.5,20,0.4,0.4108072864927646,0.04687901114763722,0.9480532977890954,1.0,0.4108486327970332
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,eta,Explanation reliance (η),1.0,20,0.3,0.30703098988223104,0.059385509212907875,0.9575399567838255,1.0,0.2563349919724718
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.0,20,0.4,0.4074564222582634,0.004263686071222514,0.9422759927273112,1.0,0.4311489197892211
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.05,20,0.55,0.5143854426855521,-0.011646066994684252,0.9356368121550338,1.0,0.49487730297364846
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.1,20,0.6,0.5746115832534607,-0.029763851751352897,0.9309326399535885,1.0,0.5573773029736484
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.15,20,0.6,0.5951624785456622,-0.04391765776700338,0.9253356616761377,1.0,0.6175081519564335
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.2,20,0.6,0.5976026220043933,-0.05508499744980083,0.9218426509174724,1.0,0.6708233896767467
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.25,20,0.6,0.5870983583400663,-0.06459794606022826,0.9203005283437165,1.0,0.7200920315870959
R_6dXBSsEnSWPHZg1,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.3,20,0.55,0.5654422361371798,-0.07161086155700527,0.9141064332847337,1.0,0.7674561984579862
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,age actionable,Age actionable,0.0,20,0.25,0.2974581885896384,0.04401177245827471,0.9662766361702623,1.0,0.12966311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,age actionable,Age actionable,1.0,20,0.25,0.2974581885896384,0.04401177245827471,0.9662766361702623,1.0,0.12966311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.0,20,0.45,0.4181998738169422,0.041388956795194734,0.9540808019738339,0.8,0.25601545504827194
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.5,20,0.35,0.3513457832632332,0.054215840511027326,0.9635836580040863,0.85,0.17527390488565414
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,beta,Remembered-change reliance (β),1.0,20,0.25,0.2974581885896384,0.04401177245827471,0.9662766361702623,1.0,0.12966311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,20,0.3,0.27726507888506224,0.028027187223346267,0.965480723202386,1.0,0.12551471908135414
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,20,0.3,0.2725417990178082,0.03652751292988203,0.9663498674465425,1.0,0.12540190718817093
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,20,0.25,0.2974581885896384,0.04401177245827471,0.9662766361702623,1.0,0.12966311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,lambda,Exemplar locality (λ),0.0,20,0.4,0.33636387456413214,0.010309066625548088,0.9600181391005723,1.0,0.1585711528238213
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,lambda,Exemplar locality (λ),2.0,20,0.3,0.28960393400758716,0.011977786753468282,0.9644120546553616,1.0,0.13552285874426478
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,lambda,Exemplar locality (λ),6.0,20,0.25,0.2974581885896384,0.04401177245827471,0.9662766361702623,1.0,0.12966311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,20,0.25,0.2974581885896384,0.04401177245827471,0.9662766361702623,1.0,0.12966311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,20,0.55,0.4940188897971585,0.03574104535745667,0.9597926072801333,1.0,0.18466311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,20,0.55,0.5501221248245474,0.019716185902089338,0.9532288867882803,1.0,0.23966311591416645
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,20,0.6,0.5694189038682624,0.016481149271861416,0.9474590794395539,1.0,0.29466311591416644
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.2,20,0.6,0.5853310464404057,0.009085079209287032,0.9432017144581526,1.0,0.34966311591416643
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.25,20,0.6,0.6123722820972608,0.0028083101046739237,0.9366207613393293,1.0,0.40290177011125106
R_6dth5vhxVEBQV2p,1,counterfactual,weighted examples,rho,Additive change margin (ρ),0.3,20,0.7,0.6565481308069219,0.00013134105234273024,0.9324965064367084,1.0,0.45290177011125116
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,age actionable,Age actionable,0.0,20,0.45,0.5035934839421345,0.03402722897778545,0.9486583693377808,1.0,0.6293980732141835
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,age actionable,Age actionable,1.0,20,0.55,0.5765081161255706,0.06768320679235298,0.9477700546278139,0.35,0.6818535069817063
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.0,20,0.45,0.5035934839421345,0.03402722897778545,0.9486583693377808,1.0,0.6293980732141835
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.5,20,0.55,0.5589571322699405,0.03586271577296708,0.9460220436027882,1.0,0.6308330744608666
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,alpha,Global relevance reliance (α),1.0,20,0.6,0.6078557306703505,-0.00785067459654491,0.9296099224352503,1.0,0.5870660326848356
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,eta,Explanation reliance (η),0.0,20,0.65,0.6081722666069918,-0.03822590459825824,0.9368288474151305,1.0,0.6592108878324482
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,eta,Explanation reliance (η),0.5,20,0.45,0.5035934839421345,0.03402722897778545,0.9486583693377808,1.0,0.6293980732141835
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,eta,Explanation reliance (η),1.0,20,0.75,0.6244026817290476,0.07083333949707585,0.9487002961409692,1.0,0.5230118764704883
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.0,20,0.5,0.4325987826224319,0.05338411591906751,0.9558587502103026,1.0,0.3843980732141835
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.05,20,0.5,0.4723625303483442,0.057177347180410155,0.9520268031928577,1.0,0.5068980732141835
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.1,20,0.45,0.5035934839421345,0.03402722897778545,0.9486583693377808,1.0,0.6293980732141835
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.15,20,0.6,0.5752811828834788,-0.005514519239036242,0.94093106829585,1.0,0.7518980732141833
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.2,20,0.7,0.6458192828807563,-0.028143851221295514,0.9314347487036306,1.0,0.8721293015691497
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.25,20,0.8,0.7367234267527384,-0.04780445364830088,0.9241329146487349,1.0,0.9861325594777428
R_6ltB5PoMoQ8gakx,1,counterfactual,feature contribution,rho,Additive change margin (ρ),0.3,20,0.85,0.800286277430413,-0.07406643191908727,0.9181984888381125,1.0,1.09533739150907
R_6upJU84Jtf3Faf5,1,none,weighted examples,age actionable,Age actionable,0.0,20,0.4,0.40748172602778937,0.04007571141511325,0.9512124754963948,1.0,0.4923695867577747
R_6upJU84Jtf3Faf5,1,none,weighted examples,age actionable,Age actionable,1.0,20,0.35,0.4221041692254544,0.06293587079346827,0.946840789308844,0.45,0.6159743747131633
R_6upJU84Jtf3Faf5,1,none,weighted examples,lambda,Exemplar locality (λ),0.0,20,0.35,0.4221041692254544,0.06293587079346827,0.946840789308844,0.45,0.6159743747131633
R_6upJU84Jtf3Faf5,1,none,weighted examples,lambda,Exemplar locality (λ),2.0,20,0.35,0.41720821562220517,0.06794368862307672,0.9468669888300358,0.45,0.6055332563254756
R_6upJU84Jtf3Faf5,1,none,weighted examples,lambda,Exemplar locality (λ),6.0,20,0.4,0.42381069524880155,0.07212837965690873,0.9452309423668245,0.45,0.5869521165205791
R_6upJU84Jtf3Faf5,1,none,weighted examples,rho,Additive change margin (ρ),0.0,20,0.35,0.4221041692254544,0.06293587079346827,0.946840789308844,0.45,0.6159743747131633
R_6upJU84Jtf3Faf5,1,none,weighted examples,rho,Additive change margin (ρ),0.05,20,0.45,0.4512592769200231,0.058220093807299714,0.9434920343448983,0.45,0.7084743747131632
R_6upJU84Jtf3Faf5,1,none,weighted examples,rho,Additive change margin (ρ),0.1,20,0.5,0.5164713473904231,0.05989844585331509,0.9351708047008301,0.45,0.8009743747131631
R_6upJU84Jtf3Faf5,1,none,weighted examples,rho,Additive change margin (ρ),0.15,20,0.55,0.5569710282807019,0.04057914184550389,0.9318168349013911,0.45,0.888476024469824
R_6upJU84Jtf3Faf5,1,none,weighted examples,rho,Additive change margin (ρ),0.2,20,0.7,0.6195652496243544,0.025551069973876288,0.9307885534016777,0.45,0.975976024469824
R_6upJU84Jtf3Faf5,1,none,weighted examples,rho,Additive change margin (ρ),0.25,20,0.75,0.6824162211559909,-0.01268603622452614,0.9252717341762766,0.45,1.0634760244698243
R_6upJU84Jtf3Faf5,1,none,weighted examples,rho,Additive change margin (ρ),0.3,20,0.75,0.7003743364754043,-0.047615453615885386,0.9181283470811504,0.45,1.1509760244698242
R_771uyV9h8uinmh3,1,attribution,feature contribution,age actionable,Age actionable,0.0,20,0.6,0.5610762708658779,0.017064539976292183,0.9448299291961832,1.0,0.3912198025328195
R_771uyV9h8uinmh3,1,attribution,feature contribution,age actionable,Age actionable,1.0,20,0.6,0.5665858098123239,0.019802367603411076,0.9450287307429528,0.9,0.3902351760665636
R_771uyV9h8uinmh3,1,attribution,feature contribution,alpha,Global relevance reliance (α),0.0,20,0.6,0.5610762708658779,0.017064539976292183,0.9448299291961832,1.0,0.3912198025328195
R_771uyV9h8uinmh3,1,attribution,feature contribution,alpha,Global relevance reliance (α),0.5,20,0.65,0.6142625247154831,0.0009426287411691186,0.9449799311211147,1.0,0.2727996272036822
R_771uyV9h8uinmh3,1,attribution,feature contribution,alpha,Global relevance reliance (α),1.0,20,0.5,0.495101127132832,-0.02054278142997377,0.9425046271606365,1.0,0.2496321469779011
R_771uyV9h8uinmh3,1,attribution,feature contribution,eta,Explanation reliance (η),0.0,20,0.6,0.5640327485468951,-0.03788953732167194,0.927706938072479,1.0,0.4483862726464933
R_771uyV9h8uinmh3,1,attribution,feature contribution,eta,Explanation reliance (η),0.5,20,0.55,0.5349405002337249,-0.004852268782369334,0.9381095050239219,1.0,0.37828868414612027
R_771uyV9h8uinmh3,1,attribution,feature contribution,eta,Explanation reliance (η),1.0,20,0.6,0.5610762708658779,0.017064539976292183,0.9448299291961832,1.0,0.3912198025328195
R_771uyV9h8uinmh3,1,attribution,feature contribution,rho,Additive change margin (ρ),0.0,20,0.25,0.29026404820787727,0.028060094537913617,0.9565719972996216,1.0,0.29121980253281954
R_771uyV9h8uinmh3,1,attribution,feature contribution,rho,Additive change margin (ρ),0.05,20,0.35,0.4153943337165057,0.03426141052030596,0.95064065855486,1.0,0.3412198025328196
R_771uyV9h8uinmh3,1,attribution,feature contribution,rho,Additive change margin (ρ),0.1,20,0.6,0.5610762708658779,0.017064539976292183,0.9448299291961832,1.0,0.3912198025328195
R_771uyV9h8uinmh3,1,attribution,feature contribution,rho,Additive change margin (ρ),0.15,20,0.65,0.6276105426994093,0.0005225247593085347,0.9386805789434195,1.0,0.43920281247318754
R_771uyV9h8uinmh3,1,attribution,feature contribution,rho,Additive change margin (ρ),0.2,20,0.65,0.6304347713537298,-0.019241625290732565,0.9343780572315403,1.0,0.48259509673312256
R_771uyV9h8uinmh3,1,attribution,feature contribution,rho,Additive change margin (ρ),0.25,20,0.65,0.6261812287501465,-0.03505318518331964,0.9288295471991009,1.0,0.5209512199843473
R_771uyV9h8uinmh3,1,attribution,feature contribution,rho,Additive change margin (ρ),0.3,20,0.65,0.6217602068520289,-0.04483945003972971,0.9239591511854808,1.0,0.5513470013274706
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,age actionable,Age actionable,0.0,20,0.65,0.5021564878871232,0.036171524607601827,0.9505526221830332,1.0,0.35868627026506494
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,age actionable,Age actionable,1.0,20,0.65,0.5021564878871232,0.036171524607601827,0.9505526221830332,1.0,0.35868627026506494
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.0,20,0.55,0.5232561924263741,0.07708000182915127,0.9552418212132349,0.7,0.40767106920631296
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.5,20,0.65,0.5847824661028166,0.0750856031996643,0.9482697401344513,0.95,0.3898000704424713
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),1.0,20,0.65,0.5021564878871232,0.036171524607601827,0.9505526221830332,1.0,0.35868627026506494
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,eta,Explanation reliance (η),0.0,20,0.55,0.4899740085007848,0.00713705575002564,0.9337172777721523,0.15,0.4122365902744914
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,eta,Explanation reliance (η),0.5,20,0.55,0.5006587590745198,0.006891376227424996,0.9344220760129576,0.95,0.4578838890036245
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,eta,Explanation reliance (η),1.0,20,0.65,0.5021564878871232,0.036171524607601827,0.9505526221830332,1.0,0.35868627026506494
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.0,20,0.25,0.23695823963014623,0.030154486264864073,0.9573506167460926,1.0,0.23618627026506492
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.05,20,0.65,0.5021564878871232,0.036171524607601827,0.9505526221830332,1.0,0.35868627026506494
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.1,20,0.75,0.6621446969849831,0.014031681192180272,0.9415048877134176,1.0,0.48118627026506494
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.15,20,0.75,0.7472842484608677,-0.029426068432754936,0.9333758686518928,1.0,0.6036862702650649
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.2,20,0.8,0.7616579321776372,-0.058886041579582105,0.9252225770296814,1.0,0.7239759907949497
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.25,20,0.85,0.7928542795649474,-0.09275118229601127,0.919641632421941,1.0,0.8393054661222779
R_7DtIw0Gr58M4CAa,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.3,20,0.85,0.8175308027804633,-0.1297217340604014,0.9166748401840741,1.0,0.9476641057208373
R_7IXNpixLXSjItSq,0,none,feature contribution,age actionable,Age actionable,0.0,20,0.35,0.35649350291180115,-0.021650634809522885,0.9460178133273933,1.0,0.2382786398664541
