participant,direction-qualified cohort (0/1),xai,model family,parameter,parameter label,parameter value,case,instance id,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,9,160213,0.0,-0.007152493169561937,-0.011566986222126374,0.9705817826906697,1.0,0.14709108654665154
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,10,160204,1.0,0.9643954648581659,-0.06813756728877068,0.9590097827356027,1.0,0.2049510863219866
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,11,160206,0.0,-1.258055881692144e-10,-0.03660176478279875,0.9696845403769783,1.0,0.15157729811510845
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,12,160205,0.0,-1.8659085485484006e-05,-0.12831561466272495,0.9755474870684415,1.0,0.15302181289259875
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,13,160217,0.0,-0.1458253306844196,-0.09403643747448814,0.9555828027998177,1.0,0.2782938424956002
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,14,160209,0.0,5.789739500750013e-05,0.049636638163152835,0.9674579516332255,1.0,0.16271024183387284
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,15,160218,1.0,0.9731591581568706,-0.030731342484507942,0.9312329706671435,1.0,0.3438351466642824
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,16,160207,0.0,0.0002595642576473933,0.08803702443796504,0.9662706696009608,1.0,0.16864665199519624
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,17,160219,1.0,0.9369641772302154,-0.09532431357678348,0.9321690535984825,1.0,0.3502702498267522
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,18,160215,0.0,0.07397745121749022,0.029824505014657506,0.9596404796542297,1.0,0.29196415862118985
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,19,160216,1.0,0.9296180895590495,-0.07531716538560537,0.9283317360564979,1.0,0.3583413197175104
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,20,160208,0.0,0.16132326213007186,0.0538404387036584,0.9687710276021063,1.0,0.15614486198946864
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,1,160200,0.0,0.3769939841105967,0.07938261139406157,0.9308606348990832,1.0,0.16981869163704294
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,2,160210,0.0,0.11391424707073207,0.04713003007482115,0.9054647249408027,1.0,0.14236847090243665
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,3,160211,1.0,0.7237262579720496,0.05170790139531453,0.9627100672054936,1.0,0.15030718928700082
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,4,160201,0.0,0.0003025708279358352,0.060281792098792614,0.9464378299594461,1.0,0.23694027214350366
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,5,160214,1.0,0.9952773983744677,-0.03114981574695138,0.960424279279655,1.0,0.19787860360172474
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,6,160212,1.0,0.9850874443790919,-0.02500370719384625,0.9705053838352219,1.0,0.20244569123233813
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,7,160202,1.0,0.49522847050337276,0.05611294361635289,0.969514030976028,1.0,0.15242984511986035
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,8,160203,1.0,0.638570726313634,0.05011318846994037,0.9775689789324656,1.0,0.1121551053376717
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,9,160213,0.0,-0.0068747271506710145,0.02572943950690551,0.9714175385707355,1.0,0.14291230714632236
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,10,160204,1.0,0.9642890050861097,-0.06755206406277067,0.9591268833809186,1.0,0.20436558309540737
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,11,160206,0.0,-1.2552558992240392e-10,0.0009685149474314425,0.973203169094627,1.0,0.13398415452686496
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,12,160205,0.0,-1.8590838304133328e-05,-0.08830486370208479,0.9787060885763529,1.0,0.13722880535304205
