cohort,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,applicable participants,mean change (high - low),95% bootstrap CI low,95% bootstrap CI high
all 62,none,No XAI,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,19,0.021798941002117964,0.005577735849533863,0.03852334802464815
all 62,none,No XAI,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),19,0.020945803750568835,-0.023816018708239572,0.06768526902924012
all 62,none,No XAI,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,19,0.003292166446278967,-3.161355245438492e-05,0.006700345691095992
all 62,none,No XAI,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,19,-0.028393351800554,-0.08628808864265926,0.03060941828254849
all 62,none,No XAI,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,19,-0.029624589770648347,-0.07404430712758547,0.01661884788129173
all 62,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,10,0.05499999999999999,0.0,0.16499999999999998
all 62,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,10,-0.0218845462067208,-0.03206197762928382,-0.010689841302183896
all 62,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),10,-0.1118609616118281,-0.13483110986245211,-0.08852186299841609
all 62,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,10,-0.004285875896677505,-0.009455554923143079,0.0005821294461172078
all 62,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,10,-0.03000000000000002,-0.07500000000000002,0.014999999999999975
all 62,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,10,-0.012899426383666816,-0.0384667754769914,0.01845219879769607
all 62,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,9,0.011111111111111112,0.0,0.027777777777777776
all 62,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,9,0.016488768476713482,0.01191782818243447,0.02148146245498984
all 62,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),9,-0.025242847844093235,-0.031402465033867795,-0.0192683940027711
all 62,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,9,-0.0004082144709945575,-0.0018571805425402035,0.0009438151000580761
all 62,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,9,-0.061111111111111116,-0.1333333333333333,-0.00555555555555556
all 62,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,9,-0.042028672194918314,-0.06897698860037174,-0.017477572681775178
all 62,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,actionability,Actionability rate,19,0.0,0.0,0.0
all 62,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,boundary improvement,Boundary-distance improvement,19,-0.09466749633762943,-0.10986926637042345,-0.07908886395337393
all 62,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,edit L1,Normalized edit distance (L1),19,0.5077743073556465,0.4138161001089367,0.6040446463484987
all 62,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,plausibility,Plausibility,19,-0.03366048420421844,-0.03731434037602825,-0.030117038483491725
all 62,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,success,Counterfactual success rate,19,0.22894736842105265,0.1710526315789474,0.2947368421052632
all 62,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,target confidence gain,Target-confidence gain,19,0.21152775744593097,0.16742145855927307,0.2618889192589227
