cohort,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,applicable participants,mean change (high - low),95% bootstrap CI low,95% bootstrap CI high
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),17,0.006113588293564431,-0.013561823067374022,0.021434419592603945
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,17,0.0010945794097383715,-0.0008873982119668855,0.003638826199467764
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,17,-0.004024767801857585,-0.05171439628482974,0.038239164086687275
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,17,-0.0018338457419446957,-0.039979863685220135,0.03383026474753544
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,10,0.11000000000000001,-0.0001249999999999572,0.27
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,10,-0.043352150137635194,-0.06016994797083752,-0.028151147880739122
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),10,-0.07386593546161044,-0.09685992397880913,-0.055223552559046554
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,10,-0.011485098288711281,-0.016398501285494364,-0.006337073659389465
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,10,0.04500000000000002,-0.009999999999999998,0.09500000000000004
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,10,0.02726738555953535,-0.015856286710974374,0.06775581088890396
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,actionability,Actionability rate,7,0.43571428571428567,0.17857142857142858,0.6785714285714286
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,boundary improvement,Boundary-distance improvement,7,-0.03692027391428933,-0.05011189204034904,-0.02124935037211225
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,edit L1,Normalized edit distance (L1),7,-0.19394867700408322,-0.22012064362233602,-0.16554227757265857
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,plausibility,Plausibility,7,0.0024087307291615107,-0.0017555153842949436,0.006735647152313705
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,success,Counterfactual success rate,7,-0.06428571428571427,-0.16428571428571428,0.035714285714285754
direction-qualified 46,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,target confidence gain,Target-confidence gain,7,-0.01914843454995877,-0.12343415067926648,0.0725433975297634
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,actionability,Actionability rate,17,0.17058823529411765,0.026470588235294114,0.33242647058823427
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,boundary improvement,Boundary-distance improvement,17,0.029108949503878472,0.0111992574708841,0.04758677451578852
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),17,-0.04925755631234678,-0.07770084370223437,-0.023648925476002936
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,17,0.006616452109018015,0.0034458756796944207,0.010348700761300525
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,17,0.04117647058823528,-0.005882352941176489,0.09117647058823529
direction-qualified 46,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,17,0.04155273620097039,0.006475655995294308,0.07550535593353877
direction-qualified 46,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,7,0.0,0.0,0.0
direction-qualified 46,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,7,0.0060901860901106395,-0.004597063461947877,0.01744992636969772
direction-qualified 46,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),7,-0.025226729901012483,-0.029907908299827552,-0.02102955348503756
direction-qualified 46,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,7,0.0036087165071726967,0.0009104437542130718,0.006313604838874855
direction-qualified 46,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,7,0.04285714285714288,-0.05714285714285715,0.1571428571428572
direction-qualified 46,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,7,0.07285296854042887,-0.007105912548887713,0.1593486394944818
direction-qualified 46,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,actionability,Actionability rate,17,0.0,0.0,0.0
direction-qualified 46,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,boundary improvement,Boundary-distance improvement,17,-0.11833568378445503,-0.1379470127719121,-0.09989786404245282
direction-qualified 46,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,edit L1,Normalized edit distance (L1),17,0.6014081790383037,0.5285982576669709,0.6742067157775388
direction-qualified 46,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,plausibility,Plausibility,17,-0.037768343785129395,-0.04086969944924548,-0.034252867660482064
direction-qualified 46,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,success,Counterfactual success rate,17,0.3411764705882353,0.23529411764705882,0.4264705882352941
direction-qualified 46,counterfactual,Counterfactual example,rho,Additive change margin (ρ),0.0,0.3,target confidence gain,Target-confidence gain,17,0.3385299694458893,0.24986600651921628,0.41178509696383714
direction-qualified 46,none,No XAI,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,13,-0.6769230769230771,-0.7307692307692307,-0.6192307692307693
direction-qualified 46,none,No XAI,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,13,0.028863852540976762,0.007933382846243755,0.05068322789166556
direction-qualified 46,none,No XAI,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),13,0.03254927977696283,-0.02693830737828678,0.09464529609553983
direction-qualified 46,none,No XAI,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,13,0.003767573193895526,-0.0002504392571192574,0.008070855335683438
direction-qualified 46,none,No XAI,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,13,-0.0068825910931173875,-0.07995951417004045,0.06702429149797545
direction-qualified 46,none,No XAI,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,13,-0.005022740235099081,-0.05777392256834134,0.049483983147470156
direction-qualified 46,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,6,0.0,0.0,0.0
direction-qualified 46,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,6,-0.026130627058944898,-0.03887997894521493,-0.00949500876160883
direction-qualified 46,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),6,-0.11128569042283372,-0.1459931386781653,-0.0810352570659868
direction-qualified 46,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,6,-0.008590430071632016,-0.013892121418268955,-0.0026720356897389865
direction-qualified 46,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,6,-0.05000000000000002,-0.10833333333333334,0.008333333333333295
direction-qualified 46,none,No XAI,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,6,-0.024795733212940447,-0.05140033757840397,0.00013657160073580568
direction-qualified 46,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,7,0.014285714285714287,0.0,0.02857142857142858
direction-qualified 46,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,7,0.01698014333248437,0.011552910698509422,0.02329862445591832
direction-qualified 46,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),7,-0.028073093931993896,-0.034436766283129014,-0.021418988454471283
direction-qualified 46,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,7,-0.0005006379492282458,-0.002299430652373876,0.0012626492724831756
direction-qualified 46,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,7,-0.07857142857142856,-0.16428571428571428,-0.014285714285714275
direction-qualified 46,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,7,-0.05245548701537791,-0.08174660493926773,-0.02428431822529953
direction-qualified 46,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,actionability,Actionability rate,13,0.0,0.0,0.0
direction-qualified 46,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,boundary improvement,Boundary-distance improvement,13,-0.10785200957406721,-0.12292203362961299,-0.09326987303075514
direction-qualified 46,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,edit L1,Normalized edit distance (L1),13,0.6046159630057241,0.5033432892102107,0.7049424051498008
direction-qualified 46,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,plausibility,Plausibility,13,-0.034576398908404346,-0.03873868564747291,-0.030330501697144636
direction-qualified 46,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,success,Counterfactual success rate,13,0.24615384615384617,0.16153846153846158,0.3423076923076923
direction-qualified 46,none,No XAI,rho,Additive change margin (ρ),0.0,0.3,target confidence gain,Target-confidence gain,13,0.23456707951863898,0.17703168735792943,0.2976505706078712
all 62,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,16,-0.278125,-0.3875,-0.178125
all 62,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,16,0.005314802230984064,-0.00283832054971933,0.015312632240635869
all 62,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),16,0.009566250165197535,-0.008997193896015812,0.026926870577633037
all 62,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,16,0.0007799776673065653,-0.0017150913489063894,0.0032849025903045627
all 62,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,16,-0.03601973684210526,-0.062499999999999986,-0.0125
all 62,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,16,-0.022437607571245903,-0.036847967735488096,-0.008304934335373345
all 62,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,14,0.060714285714285714,0.0,0.13214285714285715
all 62,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,14,-0.04805673083882371,-0.05938178582204107,-0.03728493345253869
all 62,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),14,-0.10676695070970076,-0.12187197112457797,-0.09116625929360568
all 62,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,14,-0.011588213334242203,-0.017067300358890022,-0.006542472123778621
all 62,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,14,0.02142857142857143,-0.024999999999999984,0.06785714285714285
all 62,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,14,0.024630934349684257,-0.011456926170134642,0.058603530846090046
all 62,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,actionability,Actionability rate,16,0.165625,0.034375,0.31562500000000004
all 62,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,boundary improvement,Boundary-distance improvement,16,0.03068568417874811,0.014426640464997875,0.04435878165372565
