variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv,locked_feature,fixed_cardinality
base_exemplar,base,exemplar,0.4,0.0,24.0,8.0,0.0,1,0.4,1.3446550339551249,0.28289309457539924,0.1,0.1,0.0,0.17161624401079617,0.95,0.5241803042155,1.4416393199445818,0.25266551370928786,0.15,0.15,0.0,0.15355490632251584,0.95,0.5241803042155,R_3akpeiY5qAXqHJo,attribution,20,0,glucose,1
base_prototype,base,prototype,0.4,0.0,nan,0.025,0.0,1,0.3,1.3902633777367082,0.2491110920902603,0.2,0.2,0.0,0.17850618901969076,0.95,0.5241803042155,1.390263377736708,0.2491110920902603,0.2,0.2,0.0,0.19415008255608276,0.95,0.5241803042155,R_3akpeiY5qAXqHJo,attribution,20,1,glucose,1
base_exemplar,base,exemplar,0.4,1.0,0.0,8.0,0.0,1,0.2,1.1423784834919664,0.32998946362349635,0.3,0.3,0.0,0.12285475886799165,0.9,0.33180981488445493,1.183602275927281,0.3238738165721654,0.3,0.3,0.0,0.1469582614392603,0.9,0.331809814884455,R_3dnoIyf6ByhM7Jf,none,20,0,glucose,1
base_prototype,base,prototype,0.4,1.0,nan,8.0,0.0,1,0.2,1.1423784834919664,0.32998946362349635,0.3,0.3,0.0,0.12285475886799165,0.9,0.33180981488445493,1.183602275927281,0.3238738165721654,0.3,0.3,0.0,0.1469582614392603,0.9,0.331809814884455,R_3dnoIyf6ByhM7Jf,none,20,1,glucose,1
additive_exemplar,additive,exemplar,0.4,0.0,12.0,8.0,0.0,1,0.2,1.1541240093955092,0.3886174442004844,0.45,0.45,0.0,0.1171816453589761,0.85,0.297942883533115,1.3255048024689053,0.3443176524053327,0.5,0.5,0.0,0.11503287129923376,0.85,0.29794288353311493,R_3iWRB9ySGSqtvml,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.4,0.0,nan,1.0,0.0,1,0.1,1.2550850109017562,0.3171625043371152,0.35,0.35,0.0,0.14996421638397323,0.8,0.297942883533115,1.2935287388573298,0.3000720131523314,0.35,0.35,0.0,0.15996421638397323,0.8,0.29794288353311493,R_3iWRB9ySGSqtvml,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.4,1.0,12.0,8.0,0.0,1,0.1,1.1933986768530733,0.3326296048087431,0.4,0.4,0.0,0.15236499055262867,0.8,0.297942883533115,1.414816238248096,0.2990311461049215,0.4,0.4,0.0,0.17339972927737052,0.8,0.29794288353311493,R_3iWRB9ySGSqtvml,counterfactual,20,0,glucose,1
base_prototype,base,prototype,0.4,1.0,nan,8.0,0.0,1,0.1,1.2789984226084463,0.3029130005734867,0.25,0.25,0.0,0.15883079360519345,0.8,0.297942883533115,1.4045543900346793,0.2807077588372766,0.3,0.3,0.0,0.15086240386659577,0.8,0.29794288353311493,R_3iWRB9ySGSqtvml,counterfactual,20,0,glucose,1
counterfactual_exemplar,counterfactual,exemplar,0.4,0.0,2.0,2.0,0.5,1,0.1,1.089010979311675,0.37011331958963667,0.5,0.5,0.0,0.12347903767715218,0.8,0.297942883533115,1.141247089941293,0.3646927926448417,0.55,0.55,0.0,0.1238232966364093,0.8,0.29794288353311493,R_3iWRB9ySGSqtvml,counterfactual,20,1,glucose,1
counterfactual_prototype,counterfactual,prototype,0.4,0.0,nan,2.0,0.5,1,0.1,1.1173031972152412,0.3587322643987009,0.5,0.5,0.0,0.12373546842992209,0.8,0.297942883533115,1.1642176998759124,0.34903788730585755,0.5,0.5,0.0,0.12373546842992207,0.8,0.29794288353311493,R_3iWRB9ySGSqtvml,counterfactual,20,0,glucose,1
