participant,direction-qualified cohort (0/1),xai,model family held fixed,fold,trial index,selected inverse temperature gamma,current selection NLL,current observed subset probability,current observed subset rank,current top-1 hit,current top-3 hit,current observed subset impossible,current maximum subset probability,current normalized entropy,current effective subset count,current possible subset count,temperature-scaled selection NLL,temperature-scaled observed subset probability,temperature-scaled observed subset rank,temperature-scaled top-1 hit,temperature-scaled top-3 hit,temperature-scaled observed subset impossible,temperature-scaled maximum subset probability,temperature-scaled normalized entropy,temperature-scaled effective subset count,temperature-scaled possible subset count
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,0,0,0.25,1.0789615327514879,0.33994836765178754,1,1,1,0,0.33994836765178754,0.7788975669806849,4.037384539840461,6,1.5149225592440538,0.21982520761887908,1,1,1,0,0.21982520761887908,0.9776532316857101,5.764505855601726,6
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,0,5,0.25,0.9765018427742433,0.3766262951242433,2,0,1,0,0.4854706527202505,0.7767218481646724,2.935169251623335,4,1.2101916323512687,0.2981401406590817,2,0,1,0,0.3176753651929917,0.9788079915281637,3.884195948258564,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,0,10,0.25,2.7672857406285982,0.06283231670661794,3,0,1,0,0.5829319823392801,0.7300794029399321,2.7513864808109796,4,1.6477887945745415,0.19247504027414344,3,0,1,0,0.3359178807668136,0.9774875428505285,3.877092312584641,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,0,15,0.25,2.47492846309105,0.08416901123283978,3,0,1,0,0.7625620020334887,0.5809735630957933,2.237592194311186,4,1.543416544953879,0.21364990854462113,3,0,1,0,0.37066659206725566,0.9738727567441516,3.8577121909697847,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,1,1,0.25,3.601204695959227,0.027290825488664423,6,0,0,0,0.3327015154053459,0.7787963482774373,4.036652387909749,6,2.145463502744759,0.11701378826083406,6,0,0,0,0.21864853222798764,0.9776524327821647,5.76449760404612,6
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,1,6,0.25,0.9039007738874858,0.4049868125998907,1,1,1,0,0.4049868125998907,0.7717273109013206,3.9858465227372895,6,1.4698137834905596,0.22996830509476987,1,1,1,0,0.22996830509476987,0.9776018623993197,5.76397530679842,6
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,1,11,0.25,1.8022404282613633,0.1649289624716328,3,0,1,0,0.6110874116317297,0.7451559587479043,2.8094971123889265,4,1.4124623880883576,0.24354284719770816,3,0,1,0,0.33789127808059755,0.9786723229733965,3.8834654907686716,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,1,16,0.25,3.4180479072850503,0.03277635501361035,4,0,0,0,0.4480555229850729,0.8453659644428732,3.228204400791095,4,1.8370444741538714,0.15928750944413514,4,0,0,0,0.306284145727435,0.9812587827208453,3.897415017246552,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,2,2,0.75,1.576320572580992,0.20673436460506636,3,0,1,0,0.23511387708582673,0.8221155065150799,6.639196253625123,10,1.6730570927354471,0.18767245566741436,3,0,1,0,0.2066806072501861,0.8784532576901015,7.558807019222391,10
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,2,7,0.75,0.7289455814345611,0.4824173918632362,1,1,1,0,0.4824173918632362,0.8194962649022979,3.739411917796638,5,0.8908880580212314,0.41029122850044863,1,1,1,0,0.41029122850044863,0.884141402876064,4.149428831228909,5
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,2,12,0.75,3.1988158535783424,0.040810500986066985,5,0,0,0,0.27470795207236476,0.7693154448399647,5.879162237232227,10,2.866446779324276,0.05690074872503131,5,0,0,0,0.23778938294618224,0.8476307069718477,7.040941029762355,10
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,2,17,0.75,3.4319549794254196,0.0323236868202778,6,0,0,0,0.2601386381241821,0.7674992239307789,5.854626901180607,10,3.040106060515055,0.04782981637021485,6,0,0,0,0.2285397208211137,0.8455613739056752,7.007472045105848,10
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,3,3,0.25,1.0623630130246293,0.345638097251614,2,0,1,0,0.4340626129083917,0.8346467804800164,3.1805881270543144,4,1.2455259346501646,0.28778950984627616,2,0,1,0,0.30465453914068047,0.9808660448114919,3.8952936458227976,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,3,8,0.25,3.5278643517230925,0.029367567737483797,5,0,0,0,0.3112545329735969,0.782193584474858,4.061298547461769,6,2.1277770790186166,0.11910175359393949,5,0,0,0,0.2148968662137627,0.9776778212167764,5.764759836822817,6
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,3,13,0.25,2.2140984887479704,0.10925196173885021,2,0,1,0,0.7562971626963187,0.5884674555176138,2.2609591259906723,4,1.4799190912901827,0.2276561070005889,2,0,1,0,0.36927092286863045,0.9740811043435196,3.8588265791609433,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,3,18,0.25,3.434855893875784,0.032230054445508374,4,0,0,0,0.3761832381838834,0.8639906559949185,3.3126397346438017,4,1.8449712311944835,0.15802986715476613,4,0,0,0,0.29209476625352043,0.9817258430602801,3.8999393448033692,4
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,4,4,0.75,1.4357166616890522,0.23794477698961694,3,0,1,0,0.29380255526148213,0.7663316891684927,5.838908763225144,10,1.5425453749288405,0.2138361150377785,3,0,1,0,0.2504757004984509,0.8452283745582975,7.002101059902442,10
