training-distance bucket,xai,rows,participants,mean boundary distance new,median boundary distance new,mean boundary distance change (new - original),success rate,target-directed rate,mean normalized edit distance,mean target confidence gain
near training,counterfactual,270,27,0.14412776499246305,0.110623605752,-0.023312878862400344,0.45555555555555555,0.7962962962962963,0.5246583297173858,0.45689401142114877
near training,attribution,160,16,0.14627991771409352,0.1303584146595,-0.021160726140784618,0.54375,0.85,0.4474581477317841,0.5373525306956469
near training,none,190,19,0.16017366048577192,0.125949110403,-0.007266983369101878,0.5368421052631579,0.8368421052631579,0.5649732402584287,0.527666046780572
far from training,counterfactual,270,27,0.11104541383495417,0.0863429857308,0.032730966493214386,0.4925925925925926,0.7,0.519837043963028,0.4597575567894608
far from training,attribution,160,16,0.08732972027236173,0.0755842879277,0.009015272930607682,0.53125,0.8,0.47398130541166655,0.518309682876132
far from training,none,190,19,0.1144743950053671,0.08526391579055001,0.036159947663624015,0.5578947368421052,0.7894736842105263,0.5328534356287181,0.5265989710659219
