participant,xai,mean boundary distance new,sd boundary distance new,mean boundary distance when correct,mean boundary distance when wrong,success rate,target-directed rate,mean normalized edit distance,mean changed features,rho,model family,within-condition boundary group
R_7ojrp9raD1YDwJj,none,0.10093423527958849,0.08812609646331167,0.06842659542195,0.12260599518468081,0.4,0.65,0.32977259027565,1.45,0.0,feature contribution,closer-boundary group
R_7arfHhy57BRFG9z,none,0.11180026149061251,0.08738558225969766,0.06642686675263333,0.13124600209260356,0.3,0.6,0.23765903428274998,1.0,0.0,feature contribution,closer-boundary group
R_3pZ1OVs4kWTC7GB,none,0.12354808259950951,0.09043931745870966,0.09634002534175713,0.13819857496906846,0.35,0.85,0.38581151771598005,1.4,0.05,weighted examples,closer-boundary group
R_7IXNpixLXSjItSq,none,0.13203791230276,0.15440542440031824,0.06783626948555,0.15955290208156428,0.3,0.6,0.24171502812495502,1.05,0.0,feature contribution,closer-boundary group
R_5F38AMuOCY994Y9,none,0.14717165269732752,0.1334259261345017,0.10472690320255999,0.189616402192095,0.5,0.7,0.45374526013729993,2.0,0.0,feature contribution,closer-boundary group
R_3OpQ58fnUhzHRsd,none,0.150716795927065,0.16785864620301225,0.05323503924734999,0.19249469164694283,0.3,0.6,0.54550199705981,1.6,0.0,feature contribution,closer-boundary group
R_6J90tRZsF1dbkUv,none,0.24004774137482002,0.12547110615308313,0.22323307308487275,0.26059900261808894,0.55,0.65,0.45565041086115504,1.3,0.15,weighted examples,closer-boundary group
R_1Fh1UMJw1me9wFr,none,0.07778198983411069,0.06439628732118098,0.07523429141702133,0.0854250850853788,0.75,0.95,0.5558097662434001,2.5,0.1,feature contribution,farther/spread group
R_5gkJQXcSCkjRBmu,none,0.10244165003285502,0.06683104274389885,0.10957094971926666,0.08105375097362,0.75,0.9,0.7411908240669001,2.2,0.1,weighted examples,farther/spread group
R_3ENoszlL5q7JglI,none,0.17113564630686498,0.09693093358907208,0.1789536425814105,0.0225937170905,0.95,1.0,0.8978499994711001,2.75,0.2,weighted examples,farther/spread group
R_6I5GvkY1dba6Sm6,none,0.2071518912118,0.1387717552113479,0.2175009534831579,0.010519708056,0.95,1.0,1.0423836847628498,2.85,0.2,feature contribution,farther/spread group
R_7xWlSJ5Zdqog9gt,none,0.23872968455759494,0.0810269349318786,0.2646088095129,0.21285055960229,0.5,0.75,0.9527351838092502,3.15,0.05,feature contribution,farther/spread group
R_1yltjaSsgo0dVO7,none,0.31042295554071,0.13367832777735683,0.31042295554071,nan,1.0,1.0,1.4350464346529503,3.3,0.25,weighted examples,farther/spread group
