xai,boundary group,participants,mean boundary distance new,mean sd boundary distance new,mean boundary distance when correct,mean boundary distance when wrong,success rate,target-directed rate,mean normalized edit distance,mean changed features,model family counts
counterfactual,closer-boundary group,18,0.10315379020781255,0.08333212520666734,0.08187977313422344,0.11496777517567448,0.44722222222222224,0.7694444444444445,0.40756495776474955,1.8527777777777779,"{'weighted examples': 3, 'feature contribution': 15}"
counterfactual,farther/spread group,9,0.1764521878255011,0.12011673827217278,0.15332037887194522,0.1974892840849082,0.5277777777777778,0.7055555555555555,0.7516131449911216,2.716666666666667,"{'weighted examples': 5, 'feature contribution': 4}"
attribution,closer-boundary group,7,0.1019813761445625,0.09814422576557828,0.06850983913589397,0.12314628137239493,0.4428571428571428,0.8071428571428572,0.2734697243867582,1.1714285714285713,"{'weighted examples': 2, 'feature contribution': 5}"
attribution,farther/spread group,9,0.12833416343107826,0.08582148092146949,0.12451258869334575,0.11712757326423022,0.6111111111111112,0.8388888888888889,0.6063586171600329,2.05,{'feature contribution': 9}
none,closer-boundary group,13,0.11549943920629883,0.09729983909053073,0.08927413693073433,0.127214951405338,0.4230769230769231,0.7576923076923077,0.3695644252247265,1.5076923076923079,"{'weighted examples': 6, 'feature contribution': 7}"
none,farther/spread group,6,0.18461063624732257,0.0969392135957892,0.19271526704241104,0.08248856416155775,0.8166666666666668,0.9333333333333332,0.9375026488344084,2.7916666666666665,"{'feature contribution': 3, 'weighted examples': 3}"
